,left,right,combine
0,91?DzVY-#8AyoMe`!XPcSC|6[=(hfExURmHuki,"Bq;sZjt,nI{5dv]0aw3\L 7g^%NW_)<$@*pO4T2G.&""}+Q'rJ~KFlb>:/","91?DzVY-#8AyoMe`!XPcSC|6[=(hfExURmHukiBq;sZjt,nI{5dv]0aw3\L 7g^%NW_)<$@*pO4T2G.&""}+Q'rJ~KFlb>:/"
1,"Bq;sZjt,nI{5dv]0aw3\L 7g^%","NW_)<$@*pO4T2G.&""}+Q'rJ~KFlb>:/","Bq;sZjt,nI{5dv]0aw3\L 7g^%NW_)<$@*pO4T2G.&""}+Q'rJ~KFlb>:/"
2,91?DzVY-#8AyoMe`!X,PcSC|6[=(hfExURmHuki,91?DzVY-#8AyoMe`!XPcSC|6[=(hfExURmHuki
3,NW_)<$@*pO4T2G,".&""}+Q'rJ~KFlb>:/","NW_)<$@*pO4T2G.&""}+Q'rJ~KFlb>:/"
4,"Bq;sZjt,nI{",5dv]0aw3\L 7g^%,"Bq;sZjt,nI{5dv]0aw3\L 7g^%"
5,PcSC|6[=(,hfExURmHuki,PcSC|6[=(hfExURmHuki
6,91?DzVY-#8,AyoMe`!X,91?DzVY-#8AyoMe`!X
7,".&""}+Q",'rJ~KFlb>:/,".&""}+Q'rJ~KFlb>:/"
8,NW_)<$@,*pO4T2G,NW_)<$@*pO4T2G
9,Bq;sZjt,",nI{","Bq;sZjt,nI{"
10,5dv]0a,w3\L 7g^%,5dv]0aw3\L 7g^%
11,hfExUR,mHuki,hfExURmHuki
12,PcSC,|6[=(,PcSC|6[=(
13,AyoM,e`!X,AyoMe`!X
14,91?D,zVY-#8,91?DzVY-#8
15,'rJ,~KFlb>:/,'rJ~KFlb>:/
16,".&""}",+Q,".&""}+Q"
17,*pO4,T2G,*pO4T2G
18,NW_),<$@,NW_)<$@
19,w3\L, 7g^%,w3\L 7g^%
20,mH,uki,mHuki
21,",n",I{,",nI{"
22,5dv],0a,5dv]0a
23,Bq;,sZjt,Bq;sZjt
24,hfE,xUR,hfExUR
25,e`,!X,e`!X
26,|6[,=(,|6[=(
27,Pc,SC,PcSC
28,zVY-,#8,zVY-#8
29,Ay,oM,AyoM
30,~KFlb,>:/,~KFlb>:/
31,91,?D,91?D
32,',rJ,'rJ
33,+,Q,+Q
34,*p,O4,*pO4
35,T,2G,T2G
36,.&,"""}",".&""}"
37,<$,@,<$@
38,NW_,),NW_)
39,0,a,0a
40,u,ki,uki
41,B,q;,Bq;
42, 7,g^%, 7g^%
43,",",n,",n"
44,w3,\L,w3\L
45,5d,v],5dv]
46,x,UR,xUR
47,m,H,mH
48,sZj,t,sZjt
49,I,{,I{
50,h,fE,hfE
51,e,`,e`
52,=,(,=(
53,!,X,!X
54,S,C,SC
55,|,6[,|6[
56,P,c,Pc
57,?,D,?D
58,r,J,rJ
59,>:,/,>:/
60,#,8,#8
61,~,KFlb,~KFlb
62,o,M,oM
63,9,1,91
64,A,y,Ay
65,zV,Y-,zVY-
66,.,&,.&
67,2,G,2G
68,O,4,O4
69,"""",},"""}"
70,*,p,*p
71,<,$,<$
72,v,],v]
73, ,7, 7
74,w,3,w3
75,f,E,fE
76,\,L,\L
77,k,i,ki
78,g,^%,g^%
79,q,;,q;
80,5,d,5d
81,NW,_,NW_
82,sZ,j,sZj
83,U,R,UR
84,6,[,6[
85,Y,-,Y-
86,>,:,>:
87,z,V,zV
88,KFl,b,KFlb
89,^,%,^%
90,N,W,NW
91,s,Z,sZ
92,K,Fl,KFl
93,F,l,Fl
