,left,right,combine
0,"*zFS+$D.3QIsG[kYv- @&25""nU{Tbjh|",";c4u'RL:0K^!E)_oX/qa7lZt},rC%m(x6eWdw9\>gfHMO`<#BPA=yp~?]1JiV8N","*zFS+$D.3QIsG[kYv- @&25""nU{Tbjh|;c4u'RL:0K^!E)_oX/qa7lZt},rC%m(x6eWdw9\>gfHMO`<#BPA=yp~?]1JiV8N"
1,";c4u'RL:0K^!E)_oX/qa7lZt},rC",%m(x6eWdw9\>gfHMO`<#BPA=yp~?]1JiV8N,";c4u'RL:0K^!E)_oX/qa7lZt},rC%m(x6eWdw9\>gfHMO`<#BPA=yp~?]1JiV8N"
2,*zFS+$D.3QIsG[kY,"v- @&25""nU{Tbjh|","*zFS+$D.3QIsG[kYv- @&25""nU{Tbjh|"
3,%m(x6eWdw9\>gfH,MO`<#BPA=yp~?]1JiV8N,%m(x6eWdw9\>gfHMO`<#BPA=yp~?]1JiV8N
4,;c4u'RL:0K^!,"E)_oX/qa7lZt},rC",";c4u'RL:0K^!E)_oX/qa7lZt},rC"
5,v- @&25,"""nU{Tbjh|","v- @&25""nU{Tbjh|"
6,*zFS+$D.3Q,IsG[kY,*zFS+$D.3QIsG[kY
7,MO`<#BPA=y,p~?]1JiV8N,MO`<#BPA=yp~?]1JiV8N
8,%m(x6e,Wdw9\>gfH,%m(x6eWdw9\>gfH
9,E)_oX/qa,"7lZt},rC","E)_oX/qa7lZt},rC"
10,;c4u'RL,:0K^!,;c4u'RL:0K^!
11,"""nU{",Tbjh|,"""nU{Tbjh|"
12,v- ,@&25,v- @&25
13,p~?]1,JiV8N,p~?]1JiV8N
14,*zFS+,$D.3Q,*zFS+$D.3Q
15,Is,G[kY,IsG[kY
16,MO`<,#BPA=y,MO`<#BPA=y
17,Wdw9\,>gfH,Wdw9\>gfH
18,%m,(x6e,%m(x6e
19,E)_oX,/qa,E)_oX/qa
20,:0K,^!,:0K^!
21,7l,"Zt},rC","7lZt},rC"
22,;c,4u'RL,;c4u'RL
23,"""n",U{,"""nU{"
24,@&,25,@&25
25,Tb,jh|,Tbjh|
26,v-, ,v- 
27,*z,FS+,*zFS+
28,$D.,3Q,$D.3Q
29,G[,kY,G[kY
30,Ji,V8N,JiV8N
31,I,s,Is
32,p~?,]1,p~?]1
33,#,BPA=y,#BPA=y
34,Wdw,9\,Wdw9\
35,>g,fH,>gfH
36,MO,`<,MO`<
37,(,x6e,(x6e
38,%,m,%m
39,4u',RL,4u'RL
40,:,0K,:0K
41,E)_o,X,E)_oX
42,Zt,"},rC","Zt},rC"
43,^,!,^!
44,7,l,7l
45,/,qa,/qa
46,;,c,;c
47,j,h|,jh|
48,T,b,Tb
49,2,5,25
50,U,{,U{
51,"""",n,"""n"
52,@,&,@&
53,v,-,v-
54,G,[,G[
55,J,i,Ji
56,$,D.,$D.
57,B,PA=y,BPA=y
58,3,Q,3Q
59,V,8N,V8N
60,k,Y,kY
61,*,z,*z
62,F,S+,FS+
63,],1,]1
64,p,~?,p~?
65,Wd,w,Wdw
66,f,H,fH
67,M,O,MO
68,9,\,9\
69,`,<,`<
70,>,g,>g
71,x6,e,x6e
72,R,L,RL
73,4,u',4u'
74,Z,t,Zt
75,0,K,0K
76,E),_o,E)_o
77,"},",rC,"},rC"
78,q,a,qa
79,h,|,h|
80,S,+,S+
81,P,A=y,PA=y
82,D,.,D.
83,~,?,~?
84,8,N,8N
85,W,d,Wd
86,},",","},"
87,x,6,x6
88,u,',u'
89,_,o,_o
90,E,),E)
91,r,C,rC
92,A,=y,A=y
93,=,y,=y
