,left,right,combine
0,"60?5^/Y""O%'F|txw>~n1_a-k]u#;*VAR[Kb)s7B","+Lzr}pU&ohc$Hv2ef3GQ`X!Pg(\WyTMjC=Z@EJ{9qil.8I4Sd:m ,ND<","60?5^/Y""O%'F|txw>~n1_a-k]u#;*VAR[Kb)s7B+Lzr}pU&ohc$Hv2ef3GQ`X!Pg(\WyTMjC=Z@EJ{9qil.8I4Sd:m ,ND<"
1,+Lzr}pU&ohc$Hv2ef3GQ`X!Pg(\WyT,"MjC=Z@EJ{9qil.8I4Sd:m ,ND<","+Lzr}pU&ohc$Hv2ef3GQ`X!Pg(\WyTMjC=Z@EJ{9qil.8I4Sd:m ,ND<"
2,"60?5^/Y""O%'F|txw>~n1_",a-k]u#;*VAR[Kb)s7B,"60?5^/Y""O%'F|txw>~n1_a-k]u#;*VAR[Kb)s7B"
3,MjC=Z@EJ{9qi,"l.8I4Sd:m ,ND<","MjC=Z@EJ{9qil.8I4Sd:m ,ND<"
4,+Lzr}pU&ohc,$Hv2ef3GQ`X!Pg(\WyT,+Lzr}pU&ohc$Hv2ef3GQ`X!Pg(\WyT
5,a-k]u#;*,VAR[Kb)s7B,a-k]u#;*VAR[Kb)s7B
6,"60?5^/Y""O%'F",|txw>~n1_,"60?5^/Y""O%'F|txw>~n1_"
7,l.8I4Sd,":m ,ND<","l.8I4Sd:m ,ND<"
8,MjC=Z@E,J{9qi,MjC=Z@EJ{9qi
9,$Hv2ef3GQ,`X!Pg(\WyT,$Hv2ef3GQ`X!Pg(\WyT
10,+Lzr,}pU&ohc,+Lzr}pU&ohc
11,VAR,[Kb)s7B,VAR[Kb)s7B
12,a-k],u#;*,a-k]u#;*
13,|txw,>~n1_,|txw>~n1_
14,60?5^,"/Y""O%'F","60?5^/Y""O%'F"
15,l.8I,4Sd,l.8I4Sd
16,:m ,",ND<",":m ,ND<"
17,J{,9qi,J{9qi
18,MjC=,Z@E,MjC=Z@E
19,$H,v2ef3GQ,$Hv2ef3GQ
20,`X!Pg(\,WyT,`X!Pg(\WyT
21,}pU,&ohc,}pU&ohc
22,V,AR,VAR
23,[Kb)s,7B,[Kb)s7B
24,+L,zr,+Lzr
25,u#,;*,u#;*
26,a-,k],a-k]
27,"/Y""O",%'F,"/Y""O%'F"
28,>~,n1_,>~n1_
29,|t,xw,|txw
30,60?,5^,60?5^
31,4,Sd,4Sd
32,l,.8I,l.8I
33,9,qi,9qi
34,",N",D<,",ND<"
35,:m, ,:m 
36,J,{,J{
37,Z@,E,Z@E
38,MjC,=,MjC=
39,`X!P,g(\,`X!Pg(\
40,Wy,T,WyT
41,&o,hc,&ohc
42,$,H,$H
43,v2,ef3GQ,v2ef3GQ
44,},pU,}pU
45,+,L,+L
46,z,r,zr
47,[Kb),s,[Kb)s
48,;,*,;*
49,A,R,AR
50,7,B,7B
51,u,#,u#
52,%,'F,%'F
53,/Y,"""O","/Y""O"
54,x,w,xw
55,k,],k]
56,|,t,|t
57,a,-,a-
58,5,^,5^
59,n,1_,n1_
60,>,~,>~
61,6,0?,60?
62,",",N,",N"
63,q,i,qi
64,S,d,Sd
65,:,m,:m
66,D,<,D<
67,.,8I,.8I
68,Z,@,Z@
69,Mj,C,MjC
70,h,c,hc
71,ef3G,Q,ef3GQ
72,p,U,pU
73,W,y,Wy
74,g,(\,g(\
75,&,o,&o
76,v,2,v2
77,`,X!P,`X!P
78,[,Kb),[Kb)
79,0,?,0?
80,1,_,1_
81,/,Y,/Y
82,',F,'F
83,"""",O,"""O"
84,8,I,8I
85,K,b),Kb)
86,(,\,(\
87,M,j,Mj
88,X!,P,X!P
89,ef,3G,ef3G
90,e,f,ef
91,3,G,3G
92,b,),b)
93,X,!,X!
