,left,right,combine
0,*jF]t3#ol-M$(Rua_G|?5hfc>[Ud`+nKI^LWqC,"Tsg4;v%H:=NXPrOkZm)i\/DyV~bx7&',@""Sw9Q<AB{pe}.208YJ! 1E6z","*jF]t3#ol-M$(Rua_G|?5hfc>[Ud`+nKI^LWqCTsg4;v%H:=NXPrOkZm)i\/DyV~bx7&',@""Sw9Q<AB{pe}.208YJ! 1E6z"
1,Tsg4;v%H:=NXPrOkZm)i\/Dy,"V~bx7&',@""Sw9Q<AB{pe}.208YJ! 1E6z","Tsg4;v%H:=NXPrOkZm)i\/DyV~bx7&',@""Sw9Q<AB{pe}.208YJ! 1E6z"
2,*jF]t3#ol-M$(Rua,_G|?5hfc>[Ud`+nKI^LWqC,*jF]t3#ol-M$(Rua_G|?5hfc>[Ud`+nKI^LWqC
3,"V~bx7&',@""Sw9",Q<AB{pe}.208YJ! 1E6z,"V~bx7&',@""Sw9Q<AB{pe}.208YJ! 1E6z"
4,Tsg4;v%H:=N,XPrOkZm)i\/Dy,Tsg4;v%H:=NXPrOkZm)i\/Dy
5,_G|?5hfc>,[Ud`+nKI^LWqC,_G|?5hfc>[Ud`+nKI^LWqC
6,*jF]t3#,ol-M$(Rua,*jF]t3#ol-M$(Rua
7,Q<AB{pe}.2,08YJ! 1E6z,Q<AB{pe}.208YJ! 1E6z
8,V~bx7&',",@""Sw9","V~bx7&',@""Sw9"
9,XPrOkZm,)i\/Dy,XPrOkZm)i\/Dy
10,Tsg4;v,%H:=N,Tsg4;v%H:=N
11,[Ud`,+nKI^LWqC,[Ud`+nKI^LWqC
12,_G|?5,hfc>,_G|?5hfc>
13,08YJ!, 1E6z,08YJ! 1E6z
14,*jF,]t3#,*jF]t3#
15,ol-M,$(Rua,ol-M$(Rua
16,Q<A,B{pe}.2,Q<AB{pe}.2
17,",@""",Sw9,",@""Sw9"
18,V~b,x7&',V~bx7&'
19,)i\/,Dy,)i\/Dy
20,Tsg,4;v,Tsg4;v
21,%H:,=N,%H:=N
22,XPrO,kZm,XPrOkZm
23,+n,KI^LWqC,+nKI^LWqC
24,[U,d`,[Ud`
25,hf,c>,hfc>
26,_G,|?5,_G|?5
27,B{p,e}.2,B{pe}.2
28,ol,-M,ol-M
29,*j,F,*jF
30,$(R,ua,$(Rua
31,]t,3#,]t3#
32,08Y,J!,08YJ!
33, ,1E6z, 1E6z
34,Q,<A,Q<A
35,x7,&',x7&'
36,S,w9,Sw9
37,",","@""",",@"""
38,V,~b,V~b
39,D,y,Dy
40,%,H:,%H:
41,)i,\/,)i\/
42,XP,rO,XPrO
43,Ts,g,Tsg
44,4;,v,4;v
45,KI^LWq,C,KI^LWqC
46,kZ,m,kZm
47,=,N,=N
48,h,f,hf
49,c,>,c>
50,+,n,+n
51,d,`,d`
52,|?,5,|?5
53,[,U,[U
54,u,a,ua
55,J,!,J!
56,3,#,3#
57,0,8Y,08Y
58,_,G,_G
59,e},.2,e}.2
60,*,j,*j
61,B{,p,B{p
62,1E,6z,1E6z
63,],t,]t
64,$,(R,$(R
65,-,M,-M
66,o,l,ol
67,<,A,<A
68,&,',&'
69,x,7,x7
70,~,b,~b
71,@,"""","@"""
72,w,9,w9
73,KI,^LWq,KI^LWq
74,r,O,rO
75,H,:,H:
76,),i,)i
77,4,;,4;
78,T,s,Ts
79,\,/,\/
80,k,Z,kZ
81,X,P,XP
82,|,?,|?
83,.,2,.2
84,1,E,1E
85,(,R,(R
86,e,},e}
87,6,z,6z
88,B,{,B{
89,8,Y,8Y
90,K,I,KI
91,^L,Wq,^LWq
92,^,L,^L
93,W,q,Wq
