,left,right,combine
0,"}{F4lx[u3-"".+/7Py)_q=Vvh|fMpZUg! t0;2rdT'W\",":N^(G<@s5`YKow%aL9CRJ#S~OjbcBIE?DzHi6mQ,ne*A&8>X1]k$","}{F4lx[u3-"".+/7Py)_q=Vvh|fMpZUg! t0;2rdT'W\:N^(G<@s5`YKow%aL9CRJ#S~OjbcBIE?DzHi6mQ,ne*A&8>X1]k$"
1,:N^(G<@s5`YKow%aL9CRJ#S,"~OjbcBIE?DzHi6mQ,ne*A&8>X1]k$",":N^(G<@s5`YKow%aL9CRJ#S~OjbcBIE?DzHi6mQ,ne*A&8>X1]k$"
2,"}{F4lx[u3-"".+/7Py)_q=Vvh|fM",pZUg! t0;2rdT'W\,"}{F4lx[u3-"".+/7Py)_q=Vvh|fMpZUg! t0;2rdT'W\"
3,~OjbcBIE?DzHi6,"mQ,ne*A&8>X1]k$","~OjbcBIE?DzHi6mQ,ne*A&8>X1]k$"
4,:N^(G<@,s5`YKow%aL9CRJ#S,:N^(G<@s5`YKow%aL9CRJ#S
5,pZUg! t0,;2rdT'W\,pZUg! t0;2rdT'W\
6,"}{F4lx[u3-""",.+/7Py)_q=Vvh|fM,"}{F4lx[u3-"".+/7Py)_q=Vvh|fM"
7,"mQ,ne",*A&8>X1]k$,"mQ,ne*A&8>X1]k$"
8,s5`YKow,%aL9CRJ#S,s5`YKow%aL9CRJ#S
9,~OjbcB,IE?DzHi6,~OjbcBIE?DzHi6
10,:N^(,G<@,:N^(G<@
11,;2rd,T'W\,;2rdT'W\
12,pZUg!, t0,pZUg! t0
13,*A&,8>X1]k$,*A&8>X1]k$
14,}{F4l,"x[u3-""","}{F4lx[u3-"""
15,.+/7Py)_,q=Vvh|fM,.+/7Py)_q=Vvh|fM
16,"mQ,",ne,"mQ,ne"
17,~Ojb,cB,~OjbcB
18,%aL9,CRJ#S,%aL9CRJ#S
19,s5`Y,Kow,s5`YKow
20,IE?D,zHi6,IE?DzHi6
21,G,<@,G<@
22,;2,rd,;2rd
23,T',W\,T'W\
24,:N,^(,:N^(
25, ,t0, t0
26,}{F,4l,}{F4l
27,*,A&,*A&
28,q=Vv,h|fM,q=Vvh|fM
29,pZU,g!,pZUg!
30,.+/,7Py)_,.+/7Py)_
31,x[u,"3-""","x[u3-"""
32,8>X,1]k$,8>X1]k$
33,n,e,ne
34,mQ,",","mQ,"
35,C,RJ#S,CRJ#S
36,zH,i6,zHi6
37,~O,jb,~Ojb
38,c,B,cB
39,IE,?D,IE?D
40,%a,L9,%aL9
41,s5,`Y,s5`Y
42,Ko,w,Kow
43,<,@,<@
44,T,',T'
45,r,d,rd
46,:,N,:N
47,^,(,^(
48,W,\,W\
49,;,2,;2
50,t,0,t0
51,3-,"""","3-"""
52,g,!,g!
53,.,+/,.+/
54,4,l,4l
55,7Py),_,7Py)_
56,},{F,}{F
57,1]k,$,1]k$
58,x,[u,x[u
59,A,&,A&
60,h|,fM,h|fM
61,q=V,v,q=Vv
62,pZ,U,pZU
63,8>,X,8>X
64,j,b,jb
65,i,6,i6
66,s,5,s5
67,L,9,L9
68,~,O,~O
69,m,Q,mQ
70,?,D,?D
71,`,Y,`Y
72,R,J#S,RJ#S
73,%,a,%a
74,K,o,Ko
75,z,H,zH
76,I,E,IE
77,+,/,+/
78,8,>,8>
79,[,u,[u
80,h,|,h|
81,3,-,3-
82,{,F,{F
83,1],k,1]k
84,q=,V,q=V
85,7P,y),7Py)
86,f,M,fM
87,p,Z,pZ
88,J,#S,J#S
89,#,S,#S
90,1,],1]
91,q,=,q=
92,7,P,7P
93,y,),y)
