,left,right,combine
0,"O&T~Y=Z;1^@(GI`a5{6.$QKnq#}h,zNFvb\X09iR","2mdJPs<[38:t*pSC""e)A|>-]u4wc+o?VxHWELykl_j7 B%'fDUg!/Mr","O&T~Y=Z;1^@(GI`a5{6.$QKnq#}h,zNFvb\X09iR2mdJPs<[38:t*pSC""e)A|>-]u4wc+o?VxHWELykl_j7 B%'fDUg!/Mr"
1,"2mdJPs<[38:t*pSC""e)A|>-]u4wc",+o?VxHWELykl_j7 B%'fDUg!/Mr,"2mdJPs<[38:t*pSC""e)A|>-]u4wc+o?VxHWELykl_j7 B%'fDUg!/Mr"
2,O&T~Y=Z;1^@(GI`a5,"{6.$QKnq#}h,zNFvb\X09iR","O&T~Y=Z;1^@(GI`a5{6.$QKnq#}h,zNFvb\X09iR"
3,+o?VxHWELykl_j,7 B%'fDUg!/Mr,+o?VxHWELykl_j7 B%'fDUg!/Mr
4,2mdJPs<[38:t*pSC,"""e)A|>-]u4wc","2mdJPs<[38:t*pSC""e)A|>-]u4wc"
5,{6.$QKnq#}h,",zNFvb\X09iR","{6.$QKnq#}h,zNFvb\X09iR"
6,O&T~Y=Z;1^,@(GI`a5,O&T~Y=Z;1^@(GI`a5
7,7 B%',fDUg!/Mr,7 B%'fDUg!/Mr
8,+o?VxH,WELykl_j,+o?VxHWELykl_j
9,"""e)A|>",-]u4wc,"""e)A|>-]u4wc"
10,",zNFvb",\X09iR,",zNFvb\X09iR"
11,2mdJPs<[38,:t*pSC,2mdJPs<[38:t*pSC
12,{6.$QK,nq#}h,{6.$QKnq#}h
13,@(G,I`a5,@(GI`a5
14,fDUg,!/Mr,fDUg!/Mr
15,O&T~Y,=Z;1^,O&T~Y=Z;1^
16,7 ,B%',7 B%'
17,WELy,kl_j,WELykl_j
18,+o?,VxH,+o?VxH
19,-],u4wc,-]u4wc
20,"""e)A",|>,"""e)A|>"
21,",z",NFvb,",zNFvb"
22,nq#,}h,nq#}h
23,\X0,9iR,\X09iR
24,:t*,pSC,:t*pSC
25,2mdJP,s<[38,2mdJPs<[38
26,I`,a5,I`a5
27,{6.$,QK,{6.$QK
28,!/,Mr,!/Mr
29,fD,Ug,fDUg
30,=Z;,1^,=Z;1^
31,O&T,~Y,O&T~Y
32,@(,G,@(G
33,7, ,7 
34,B%,',B%'
35,kl_,j,kl_j
36,V,xH,VxH
37,WE,Ly,WELy
38,+,o?,+o?
39,u4,wc,u4wc
40,-,],-]
41,|,>,|>
42,nq,#,nq#
43,s<,[38,s<[38
44,9i,R,9iR
45,",",z,",z"
46,2md,JP,2mdJP
47,p,SC,pSC
48,NFv,b,NFvb
49,"""",e)A,"""e)A"
50,},h,}h
51,:t,*,:t*
52,\X,0,\X0
53,a,5,a5
54,{6.,$,{6.$
55,I,`,I`
56,Q,K,QK
57,@,(,@(
58,!,/,!/
59,=,Z;,=Z;
60,M,r,Mr
61,O,&T,O&T
62,1,^,1^
63,~,Y,~Y
64,f,D,fD
65,U,g,Ug
66,B,%,B%
67,L,y,Ly
68,x,H,xH
69,o,?,o?
70,k,l_,kl_
71,w,c,wc
72,u,4,u4
73,W,E,WE
74,n,q,nq
75,NF,v,NFv
76,\,X,\X
77,e,)A,e)A
78,2m,d,2md
79,:,t,:t
80,s,<,s<
81,[,38,[38
82,S,C,SC
83,J,P,JP
84,9,i,9i
85,{6,.,{6.
86,Z,;,Z;
87,&,T,&T
88,l,_,l_
89,),A,)A
90,2,m,2m
91,3,8,38
92,N,F,NF
93,{,6,{6
