,left,right,combine
0,";R%tlQ|B("":2qd.1D)gO70_@b]TnuzWYA*Z68ax[5G,",Nv`H'EX~yC^rsK\4Lm?=-MhP}+</w!eUk{Fpoc$ J>VfIj9i#S&3,";R%tlQ|B("":2qd.1D)gO70_@b]TnuzWYA*Z68ax[5G,Nv`H'EX~yC^rsK\4Lm?=-MhP}+</w!eUk{Fpoc$ J>VfIj9i#S&3"
1,Nv`H'EX~yC^rsK\4Lm?=-M,hP}+</w!eUk{Fpoc$ J>VfIj9i#S&3,Nv`H'EX~yC^rsK\4Lm?=-MhP}+</w!eUk{Fpoc$ J>VfIj9i#S&3
2,";R%tlQ|B("":2qd.1D)g","O70_@b]TnuzWYA*Z68ax[5G,",";R%tlQ|B("":2qd.1D)gO70_@b]TnuzWYA*Z68ax[5G,"
3,hP}+</w!eUk{Fpoc$, J>VfIj9i#S&3,hP}+</w!eUk{Fpoc$ J>VfIj9i#S&3
4,Nv`H'EX~,yC^rsK\4Lm?=-M,Nv`H'EX~yC^rsK\4Lm?=-M
5,O70_@b]Tnuz,"WYA*Z68ax[5G,","O70_@b]TnuzWYA*Z68ax[5G,"
6,;R%tlQ|,"B("":2qd.1D)g",";R%tlQ|B("":2qd.1D)g"
7, J>Vf,Ij9i#S&3, J>VfIj9i#S&3
8,hP}+</w!,eUk{Fpoc$,hP}+</w!eUk{Fpoc$
9,yC^rsK\4,Lm?=-M,yC^rsK\4Lm?=-M
10,Nv`H,'EX~,Nv`H'EX~
11,"B("":2qd",.1D)g,"B("":2qd.1D)g"
12,O70_@b,]Tnuz,O70_@b]Tnuz
13,WYA*Z68a,"x[5G,","WYA*Z68ax[5G,"
14,;R%t,lQ|,;R%tlQ|
15,Ij9i#,S&3,Ij9i#S&3
16, J,>Vf, J>Vf
17,eUk{Fp,oc$,eUk{Fpoc$
18,Lm?=,-M,Lm?=-M
19,yC^,rsK\4,yC^rsK\4
20,hP}+,</w!,hP}+</w!
21,'E,X~,'EX~
22,Nv,`H,Nv`H
23,"B(""",:2qd,"B("":2qd"
24,]T,nuz,]Tnuz
25,O7,0_@b,O70_@b
26,WY,A*Z68a,WYA*Z68a
27,x[5,"G,","x[5G,"
28,.1D,)g,.1D)g
29,lQ,|,lQ|
30,Ij,9i#,Ij9i#
31,S&,3,S&3
32,;R,%t,;R%t
33,>,Vf,>Vf
34, ,J, J
35,o,c$,oc$
36,rs,K\4,rsK\4
37,y,C^,yC^
38,hP,}+,hP}+
39,-,M,-M
40,Lm?,=,Lm?=
41,</,w!,</w!
42,eUk,{Fp,eUk{Fp
43,',E,'E
44,X,~,X~
45,`,H,`H
46,0_,@b,0_@b
47,B(,"""","B("""
48,.,1D,.1D
49,W,Y,WY
50,),g,)g
51,A*,Z68a,A*Z68a
52,nu,z,nuz
53,:2,qd,:2qd
54,N,v,Nv
55,O,7,O7
56,x,[5,x[5
57,],T,]T
58,G,",","G,"
59,I,j,Ij
60,%,t,%t
61,;,R,;R
62,l,Q,lQ
63,9,i#,9i#
64,V,f,Vf
65,S,&,S&
66,c,$,c$
67,<,/,</
68,eU,k,eUk
69,h,P,hP
70,K\,4,K\4
71,w,!,w!
72,Lm,?,Lm?
73,C,^,C^
74,r,s,rs
75,{F,p,{Fp
76,},+,}+
77,B,(,B(
78,A,*,A*
79,1,D,1D
80,Z68,a,Z68a
81,@,b,@b
82,n,u,nu
83,q,d,qd
84,0,_,0_
85,:,2,:2
86,[,5,[5
87,i,#,i#
88,{,F,{F
89,K,\,K\
90,e,U,eU
91,L,m,Lm
92,Z,68,Z68
93,6,8,68
