,left,right,combine
0,"J.}WEK@$]hk4wM,fidyZ2Tsqp)5^voP#(c>R","|!jF%=V1x6;eUgLz/?r:BN0XQC+'""-8n*~HG_IY3{7ta` l9Ab[\&<DuOmS","J.}WEK@$]hk4wM,fidyZ2Tsqp)5^voP#(c>R|!jF%=V1x6;eUgLz/?r:BN0XQC+'""-8n*~HG_IY3{7ta` l9Ab[\&<DuOmS"
1,|!jF%=V1x6;eUgLz/?r:BN0XQC+,"'""-8n*~HG_IY3{7ta` l9Ab[\&<DuOmS","|!jF%=V1x6;eUgLz/?r:BN0XQC+'""-8n*~HG_IY3{7ta` l9Ab[\&<DuOmS"
2,"J.}WEK@$]hk4wM,fidyZ",2Tsqp)5^voP#(c>R,"J.}WEK@$]hk4wM,fidyZ2Tsqp)5^voP#(c>R"
3,"'""-8n*~HG_IY3{7t",a` l9Ab[\&<DuOmS,"'""-8n*~HG_IY3{7ta` l9Ab[\&<DuOmS"
4,|!jF%=V1x6;eU,gLz/?r:BN0XQC+,|!jF%=V1x6;eUgLz/?r:BN0XQC+
5,2Tsqp)5^v,oP#(c>R,2Tsqp)5^voP#(c>R
6,J.}WEK@$],"hk4wM,fidyZ","J.}WEK@$]hk4wM,fidyZ"
7,a` l9Ab,[\&<DuOmS,a` l9Ab[\&<DuOmS
8,"'""-8n*~HG_IY",3{7t,"'""-8n*~HG_IY3{7t"
9,gLz/?r:BN,0XQC+,gLz/?r:BN0XQC+
10,|!jF,%=V1x6;eU,|!jF%=V1x6;eU
11,oP#(,c>R,oP#(c>R
12,hk4wM,",fidyZ","hk4wM,fidyZ"
13,2Ts,qp)5^v,2Tsqp)5^v
14,J.},WEK@$],J.}WEK@$]
15,a` ,l9Ab,a` l9Ab
16,[\&<D,uOmS,[\&<DuOmS
17,3{,7t,3{7t
18,0XQ,C+,0XQC+
19,gLz,/?r:BN,gLz/?r:BN
20,"'""-8n",*~HG_IY,"'""-8n*~HG_IY"
21,%=V1x,6;eU,%=V1x6;eU
22,|!,jF,|!jF
23,c,>R,c>R
24,oP#,(,oP#(
25,2T,s,2Ts
26,qp),5^v,qp)5^v
27,hk4,wM,hk4wM
28,",fid",yZ,",fidyZ"
29,WEK,@$],WEK@$]
30,a`, ,a` 
31,l9,Ab,l9Ab
32,[\,&<D,[\&<D
33,J,.},J.}
34,uO,mS,uOmS
35,7,t,7t
36,3,{,3{
37,*~HG,_IY,*~HG_IY
38,/?,r:BN,/?r:BN
39,g,Lz,gLz
40,6;e,U,6;eU
41,"'""-",8n,"'""-8n"
42,C,+,C+
43,0X,Q,0XQ
44,%,=V1x,%=V1x
45,>,R,>R
46,j,F,jF
47,|,!,|!
48,oP,#,oP#
49,",f",id,",fid"
50,w,M,wM
51,hk,4,hk4
52,@$,],@$]
53,5,^v,5^v
54,y,Z,yZ
55,2,T,2T
56,qp,),qp)
57,W,EK,WEK
58,u,O,uO
59,.,},.}
60,m,S,mS
61,a,`,a`
62,l,9,l9
63,&<,D,&<D
64,A,b,Ab
65,[,\,[\
66,=V1,x,=V1x
67,8,n,8n
68,/,?,/?
69,0,X,0X
70,_,IY,_IY
71,r,:BN,r:BN
72,L,z,Lz
73,"'""",-,"'""-"
74,6;,e,6;e
75,*,~HG,*~HG
76,@,$,@$
77,o,P,oP
78,^,v,^v
79,q,p,qp
80,h,k,hk
81,E,K,EK
82,i,d,id
83,",",f,",f"
84,&,<,&<
85,6,;,6;
86,',"""","'"""
87,I,Y,IY
88,=V,1,=V1
89,~,HG,~HG
90,:B,N,:BN
91,:,B,:B
92,=,V,=V
93,H,G,HG
