,left,right,combine
0,"/R8Y;NG!mp.6wa&h\WQy23u[B)=q}M0A,","e($x@^~-t%d'>Db5 cJ""Pg|rI:4lEOZiL#?U`VXzKTk_]H<FfSjv{n*Co97s+1","/R8Y;NG!mp.6wa&h\WQy23u[B)=q}M0A,e($x@^~-t%d'>Db5 cJ""Pg|rI:4lEOZiL#?U`VXzKTk_]H<FfSjv{n*Co97s+1"
1,"e($x@^~-t%d'>Db5 cJ""Pg",|rI:4lEOZiL#?U`VXzKTk_]H<FfSjv{n*Co97s+1,"e($x@^~-t%d'>Db5 cJ""Pg|rI:4lEOZiL#?U`VXzKTk_]H<FfSjv{n*Co97s+1"
2,/R8Y;NG!mp.6wa&h\W,"Qy23u[B)=q}M0A,","/R8Y;NG!mp.6wa&h\WQy23u[B)=q}M0A,"
3,|rI:4lEOZiL#?U`VX,zKTk_]H<FfSjv{n*Co97s+1,|rI:4lEOZiL#?U`VXzKTk_]H<FfSjv{n*Co97s+1
4,e($x@^~-t%d'>,"Db5 cJ""Pg","e($x@^~-t%d'>Db5 cJ""Pg"
5,Qy23u[B,")=q}M0A,","Qy23u[B)=q}M0A,"
6,/R8Y;NG!,mp.6wa&h\W,/R8Y;NG!mp.6wa&h\W
7,zKTk_]H<FfSj,v{n*Co97s+1,zKTk_]H<FfSjv{n*Co97s+1
8,|rI:4l,EOZiL#?U`VX,|rI:4lEOZiL#?U`VX
9,e($x@,^~-t%d'>,e($x@^~-t%d'>
10,Db5 ,"cJ""Pg","Db5 cJ""Pg"
11,)=q},"M0A,",")=q}M0A,"
12,Qy23,u[B,Qy23u[B
13,mp.6wa,&h\W,mp.6wa&h\W
14,zKTk_],H<FfSj,zKTk_]H<FfSj
15,v{n*Co9,7s+1,v{n*Co97s+1
16,/R8Y,;NG!,/R8Y;NG!
17,EOZi,L#?U`VX,EOZiL#?U`VX
18,|rI:,4l,|rI:4l
19,cJ,"""Pg","cJ""Pg"
20,Db5, ,Db5 
21,^~-t,%d'>,^~-t%d'>
22,e($,x@,e($x@
23,M0,"A,","M0A,"
24,u[,B,u[B
25,&h,\W,&h\W
26,Qy,23,Qy23
27,)=,q},)=q}
28,mp.,6wa,mp.6wa
29,/,R8Y,/R8Y
30,v{n*C,o9,v{n*Co9
31,zK,Tk_],zKTk_]
32,7s,+1,7s+1
33,H<Ff,Sj,H<FfSj
34,L#,?U`VX,L#?U`VX
35,;N,G!,;NG!
36,E,OZi,EOZi
37,4,l,4l
38,|,rI:,|rI:
39,e(,$,e($
40,D,b5,Db5
41,^~,-t,^~-t
42,%d,'>,%d'>
43,c,J,cJ
44,"""P",g,"""Pg"
45,x,@,x@
46,A,",","A,"
47,&,h,&h
48,Q,y,Qy
49,2,3,23
50,u,[,u[
51,),=,)=
52,M,0,M0
53,q,},q}
54,\,W,\W
55,6,wa,6wa
56,;,N,;N
57,R8,Y,R8Y
58,mp,.,mp.
59,T,k_],Tk_]
60,L,#,L#
61,+,1,+1
62,H,<Ff,H<Ff
63,7,s,7s
64,o,9,o9
65,G,!,G!
66,z,K,zK
67,?U`,VX,?U`VX
68,S,j,Sj
69,v{n,*C,v{n*C
70,OZ,i,OZi
71,r,I:,rI:
72,-,t,-t
73,^,~,^~
74,b,5,b5
75,%,d,%d
76,',>,'>
77,"""",P,"""P"
78,e,(,e(
79,w,a,wa
80,I,:,I:
81,m,p,mp
82,v,{n,v{n
83,V,X,VX
84,R,8,R8
85,O,Z,OZ
86,*,C,*C
87,k_,],k_]
88,?U,`,?U`
89,<F,f,<Ff
90,<,F,<F
91,{,n,{n
92,k,_,k_
93,?,U,?U
