,left,right,combine
0,Ycnsj:F+Oxik=|>$UXo(]KEJTzyu@/VBp%m8#5[aR.',"N62r4*73v`d0LWAh_M<;\-bflw!{?SqIP Z^Dt1g9C&e~H},""G)Q","Ycnsj:F+Oxik=|>$UXo(]KEJTzyu@/VBp%m8#5[aR.'N62r4*73v`d0LWAh_M<;\-bflw!{?SqIP Z^Dt1g9C&e~H},""G)Q"
1,N62r4*73v`d0LWAh_M<;\-bf,"lw!{?SqIP Z^Dt1g9C&e~H},""G)Q","N62r4*73v`d0LWAh_M<;\-bflw!{?SqIP Z^Dt1g9C&e~H},""G)Q"
2,Ycnsj:F+Oxik=|>$U,Xo(]KEJTzyu@/VBp%m8#5[aR.',Ycnsj:F+Oxik=|>$UXo(]KEJTzyu@/VBp%m8#5[aR.'
3,lw!{?SqIP Z,"^Dt1g9C&e~H},""G)Q","lw!{?SqIP Z^Dt1g9C&e~H},""G)Q"
4,N62r4*73v`,d0LWAh_M<;\-bf,N62r4*73v`d0LWAh_M<;\-bf
5,Xo(]KEJTzyu@,/VBp%m8#5[aR.',Xo(]KEJTzyu@/VBp%m8#5[aR.'
6,Ycnsj:F+,Oxik=|>$U,Ycnsj:F+Oxik=|>$U
7,^Dt1g9C&,"e~H},""G)Q","^Dt1g9C&e~H},""G)Q"
8,lw!{?,SqIP Z,lw!{?SqIP Z
9,d0LWAh_M,<;\-bf,d0LWAh_M<;\-bf
10,N62r,4*73v`,N62r4*73v`
11,/VBp%,m8#5[aR.',/VBp%m8#5[aR.'
12,Xo(]K,EJTzyu@,Xo(]KEJTzyu@
13,Oxik=,|>$U,Oxik=|>$U
14,e~H},",""G)Q","e~H},""G)Q"
15,Ycn,sj:F+,Ycnsj:F+
16,^Dt,1g9C&,^Dt1g9C&
17,SqIP, Z,SqIP Z
18,<;\-,bf,<;\-bf
19,d0LW,Ah_M,d0LWAh_M
20,lw,!{?,lw!{?
21,4*7,3v`,4*73v`
22,m8#5[a,R.',m8#5[aR.'
23,EJT,zyu@,EJTzyu@
24,N6,2r,N62r
25,/V,Bp%,/VBp%
26,Xo,(]K,Xo(]K
27,Ox,ik=,Oxik=
28,|>,$U,|>$U
29,sj:,F+,sj:F+
30,1g,9C&,1g9C&
31,",""G",)Q,",""G)Q"
32,e~,H},e~H}
33,Yc,n,Ycn
34,^,Dt,^Dt
35, ,Z, Z
36,<;,\-,<;\-
37,d0,LW,d0LW
38,Ah,_M,Ah_M
39,!{,?,!{?
40,b,f,bf
41,l,w,lw
42,Sq,IP,SqIP
43,3,v`,3v`
44,4,*7,4*7
45,2,r,2r
46,/,V,/V
47,zyu,@,zyu@
48,(],K,(]K
49,E,JT,EJT
50,R.,',R.'
51,Bp,%,Bp%
52,N,6,N6
53,m8,#5[a,m8#5[a
54,X,o,Xo
55,ik,=,ik=
56,$,U,$U
57,|,>,|>
58,O,x,Ox
59,",","""G",",""G"
60,9C,&,9C&
61,),Q,)Q
62,F,+,F+
63,H,},H}
64,e,~,e~
65,s,j:,sj:
66,1,g,1g
67,D,t,Dt
68,Y,c,Yc
69,v,`,v`
70,\,-,\-
71,!,{,!{
72,<,;,<;
73,I,P,IP
74,S,q,Sq
75,A,h,Ah
76,d,0,d0
77,_,M,_M
78,L,W,LW
79,*,7,*7
80,(,],(]
81,#5[,a,#5[a
82,J,T,JT
83,R,.,R.
84,B,p,Bp
85,m,8,m8
86,zy,u,zyu
87,i,k,ik
88,"""",G,"""G"
89,9,C,9C
90,j,:,j:
91,z,y,zy
92,#5,[,#5[
93,#,5,#5
