,left,right,combine
0,"{>)&OwEq^cPRn%WbfY/0tHl k72se}(r*J=jh,zS","""3AM:[mN$\D<gZ#T+aiUxV5_?F-198B;CGLuX~d@p6]'.v|K`y4!IoQ","{>)&OwEq^cPRn%WbfY/0tHl k72se}(r*J=jh,zS""3AM:[mN$\D<gZ#T+aiUxV5_?F-198B;CGLuX~d@p6]'.v|K`y4!IoQ"
1,"""3AM:[mN$\D<gZ#T+aiUxV5_?F-",198B;CGLuX~d@p6]'.v|K`y4!IoQ,"""3AM:[mN$\D<gZ#T+aiUxV5_?F-198B;CGLuX~d@p6]'.v|K`y4!IoQ"
2,{>)&OwEq^cPRn%WbfY/,"0tHl k72se}(r*J=jh,zS","{>)&OwEq^cPRn%WbfY/0tHl k72se}(r*J=jh,zS"
3,198B;CGLuX~d,@p6]'.v|K`y4!IoQ,198B;CGLuX~d@p6]'.v|K`y4!IoQ
4,"""3AM:[mN$\",D<gZ#T+aiUxV5_?F-,"""3AM:[mN$\D<gZ#T+aiUxV5_?F-"
5,0tHl k72s,"e}(r*J=jh,zS","0tHl k72se}(r*J=jh,zS"
6,{>)&OwEq^,cPRn%WbfY/,{>)&OwEq^cPRn%WbfY/
7,@p6]'.v|,K`y4!IoQ,@p6]'.v|K`y4!IoQ
8,198B;,CGLuX~d,198B;CGLuX~d
9,D<gZ#T+aiUx,V5_?F-,D<gZ#T+aiUxV5_?F-
10,"""3AM:",[mN$\,"""3AM:[mN$\"
11,e}(r*J,"=jh,zS","e}(r*J=jh,zS"
12,0tHl, k72s,0tHl k72s
13,cPRn%W,bfY/,cPRn%WbfY/
14,K`y4,!IoQ,K`y4!IoQ
15,{>)&O,wEq^,{>)&OwEq^
16,@p6],'.v|,@p6]'.v|
17,CGLu,X~d,CGLuX~d
18,198,B;,198B;
19,V5_,?F-,V5_?F-
20,D<gZ,#T+aiUx,D<gZ#T+aiUx
21,[m,N$\,[mN$\
22,"""3A",M:,"""3AM:"
23,"=jh,",zS,"=jh,zS"
24,e}(,r*J,e}(r*J
25, ,k72s, k72s
26,bf,Y/,bfY/
27,0t,Hl,0tHl
28,K`,y4,K`y4
29,cPR,n%W,cPRn%W
30,wE,q^,wEq^
31,!I,oQ,!IoQ
32,{>),&O,{>)&O
33,'.,v|,'.v|
34,@p,6],@p6]
35,X,~d,X~d
36,CG,Lu,CGLu
37,B,;,B;
38,1,98,198
39,?F,-,?F-
40,V5,_,V5_
41,D<,gZ,D<gZ
42,#T+ai,Ux,#T+aiUx
43,N$,\,N$\
44,[,m,[m
45,M,:,M:
46,"""3",A,"""3A"
47,k7,2s,k72s
48,=j,"h,","=jh,"
49,e,}(,e}(
50,r*,J,r*J
51,z,S,zS
52,b,f,bf
53,Y,/,Y/
54,H,l,Hl
55,0,t,0t
56,{>,),{>)
57,y,4,y4
58,o,Q,oQ
59,c,PR,cPR
60,K,`,K`
61,w,E,wE
62,&,O,&O
63,n,%W,n%W
64,q,^,q^
65,!,I,!I
66,v,|,v|
67,L,u,Lu
68,~,d,~d
69,',.,'.
70,@,p,@p
71,6,],6]
72,C,G,CG
73,9,8,98
74,D,<,D<
75,#T+a,i,#T+ai
76,g,Z,gZ
77,V,5,V5
78,?,F,?F
79,U,x,Ux
80,N,$,N$
81,r,*,r*
82,"""",3,"""3"
83,h,",","h,"
84,k,7,k7
85,=,j,=j
86,},(,}(
87,2,s,2s
88,P,R,PR
89,%,W,%W
90,{,>,{>
91,#,T+a,#T+a
92,T+,a,T+a
93,T,+,T+
