,left,right,combine
0,bL#8)P_n0Z7Sr'j|zcpXN@:i+h-w3e92Hl 4IUy,"W%{mO*;,6&~d/J><vQ^""5t=]KD1gTEGkVa!($oq[C}`uAM.f\YFxs?RB","bL#8)P_n0Z7Sr'j|zcpXN@:i+h-w3e92Hl 4IUyW%{mO*;,6&~d/J><vQ^""5t=]KD1gTEGkVa!($oq[C}`uAM.f\YFxs?RB"
1,"W%{mO*;,6&~d/J><vQ^""5t=]K",D1gTEGkVa!($oq[C}`uAM.f\YFxs?RB,"W%{mO*;,6&~d/J><vQ^""5t=]KD1gTEGkVa!($oq[C}`uAM.f\YFxs?RB"
2,bL#8)P_n0Z7Sr'j|zcpXN,@:i+h-w3e92Hl 4IUy,bL#8)P_n0Z7Sr'j|zcpXN@:i+h-w3e92Hl 4IUy
3,D1gTEGkVa!($oq[C,}`uAM.f\YFxs?RB,D1gTEGkVa!($oq[C}`uAM.f\YFxs?RB
4,"W%{mO*;,6","&~d/J><vQ^""5t=]K","W%{mO*;,6&~d/J><vQ^""5t=]K"
5,@:i+h-w3e92,Hl 4IUy,@:i+h-w3e92Hl 4IUy
6,bL#8)P_,n0Z7Sr'j|zcpXN,bL#8)P_n0Z7Sr'j|zcpXN
7,}`uAM.f,\YFxs?RB,}`uAM.f\YFxs?RB
8,D1gTEGkVa,!($oq[C,D1gTEGkVa!($oq[C
9,&~d/J><,"vQ^""5t=]K","&~d/J><vQ^""5t=]K"
10,W%{mO,"*;,6","W%{mO*;,6"
11,Hl ,4IUy,Hl 4IUy
12,n0Z7Sr,'j|zcpXN,n0Z7Sr'j|zcpXN
13,@:i+h,-w3e92,@:i+h-w3e92
14,bL#,8)P_,bL#8)P_
15,\YFx,s?RB,\YFxs?RB
16,}`u,AM.f,}`uAM.f
17,!($o,q[C,!($oq[C
18,"vQ^""5",t=]K,"vQ^""5t=]K"
19,D1gTE,GkVa,D1gTEGkVa
20,&~,d/J><,&~d/J><
21,W%{,mO,W%{mO
22,4I,Uy,4IUy
23,*;,",6","*;,6"
24,Hl, ,Hl 
25,@:,i+h,@:i+h
26,n0Z,7Sr,n0Z7Sr
27,'j|zc,pXN,'j|zcpXN
28,-w3e,92,-w3e92
29,8),P_,8)P_
30,AM,.f,AM.f
31,\Y,Fx,\YFx
32,bL,#,bL#
33,s?,RB,s?RB
34,},`u,}`u
35,q[,C,q[C
36,!($,o,!($o
37,v,"Q^""5","vQ^""5"
38,D,1gTE,D1gTE
39,t,=]K,t=]K
40,d/,J><,d/J><
41,Gk,Va,GkVa
42,m,O,mO
43,",",6,",6"
44,*,;,*;
45,4,I,4I
46,&,~,&~
47,U,y,Uy
48,W,%{,W%{
49,H,l,Hl
50,n0,Z,n0Z
51,-w,3e,-w3e
52,'j|z,c,'j|zc
53,7,Sr,7Sr
54,9,2,92
55,i,+h,i+h
56,@,:,@:
57,p,XN,pXN
58,P,_,P_
59,A,M,AM
60,b,L,bL
61,`,u,`u
62,R,B,RB
63,8,),8)
64,s,?,s?
65,.,f,.f
66,F,x,Fx
67,\,Y,\Y
68,=],K,=]K
69,!(,$,!($
70,q,[,q[
71,V,a,Va
72,d,/,d/
73,"Q^""",5,"Q^""5"
74,J,><,J><
75,G,k,Gk
76,1gT,E,1gTE
77,%,{,%{
78,-,w,-w
79,3,e,3e
80,n,0,n0
81,X,N,XN
82,',j|z,'j|z
83,+,h,+h
84,S,r,Sr
85,1g,T,1gT
86,=,],=]
87,>,<,><
88,Q^,"""","Q^"""
89,!,(,!(
90,j,|z,j|z
91,|,z,|z
92,1,g,1g
93,Q,^,Q^
