,left,right,combine
0,JKTn}IUVBRdCY1)!`;Sa~%EGgAM6O0/t\j&]DXw,"?3{i|Q<mc*Zoyl82f+#r7H(s>, .$5_u9[z@-pvkbh=xF4""e^N'WL:Pq","JKTn}IUVBRdCY1)!`;Sa~%EGgAM6O0/t\j&]DXw?3{i|Q<mc*Zoyl82f+#r7H(s>, .$5_u9[z@-pvkbh=xF4""e^N'WL:Pq"
1,"?3{i|Q<mc*Zoyl82f+#r7H(s>, .","$5_u9[z@-pvkbh=xF4""e^N'WL:Pq","?3{i|Q<mc*Zoyl82f+#r7H(s>, .$5_u9[z@-pvkbh=xF4""e^N'WL:Pq"
2,JKTn}IUVBRdCY1)!`;Sa,~%EGgAM6O0/t\j&]DXw,JKTn}IUVBRdCY1)!`;Sa~%EGgAM6O0/t\j&]DXw
3,$5_u9[z@-pvkbh,"=xF4""e^N'WL:Pq","$5_u9[z@-pvkbh=xF4""e^N'WL:Pq"
4,?3{i|Q<mc*Zoyl,"82f+#r7H(s>, .","?3{i|Q<mc*Zoyl82f+#r7H(s>, ."
5,~%EGgAM6,O0/t\j&]DXw,~%EGgAM6O0/t\j&]DXw
6,JKTn}IUVBR,dCY1)!`;Sa,JKTn}IUVBRdCY1)!`;Sa
7,"=xF4""e",^N'WL:Pq,"=xF4""e^N'WL:Pq"
8,$5_u9[,z@-pvkbh,$5_u9[z@-pvkbh
9,82f+#r7H,"(s>, .","82f+#r7H(s>, ."
10,?3{i|,Q<mc*Zoyl,?3{i|Q<mc*Zoyl
11,O0/t,\j&]DXw,O0/t\j&]DXw
12,~%EG,gAM6,~%EGgAM6
13,JKTn},IUVBR,JKTn}IUVBR
14,dCY1,)!`;Sa,dCY1)!`;Sa
15,^N',WL:Pq,^N'WL:Pq
16,z@-p,vkbh,z@-pvkbh
17,=x,"F4""e","=xF4""e"
18,$5_,u9[,$5_u9[
19,"(s>,", .,"(s>, ."
20,?3{,i|,?3{i|
21,Q<mc,*Zoyl,Q<mc*Zoyl
22,82,f+#r7H,82f+#r7H
23,\j&],DXw,\j&]DXw
24,O0,/t,O0/t
25,gA,M6,gAM6
26,~%,EG,~%EG
27,JK,Tn},JKTn}
28,)!,`;Sa,)!`;Sa
29,dC,Y1,dCY1
30,IU,VBR,IUVBR
31,WL:,Pq,WL:Pq
32,^,N',^N'
33,u9,[,u9[
34,z@-,p,z@-p
35,F4,"""e","F4""e"
36,=,x,=x
37,vk,bh,vkbh
38,$,5_,$5_
39, ,., .
40,(s>,",","(s>,"
41,*Zo,yl,*Zoyl
42,?3,{,?3{
43,f+,#r7H,f+#r7H
44,i,|,i|
45,Q<,mc,Q<mc
46,DX,w,DXw
47,8,2,82
48,/,t,/t
49,M,6,M6
50,\,j&],\j&]
51,O,0,O0
52,E,G,EG
53,g,A,gA
54,I,U,IU
55,V,BR,VBR
56,`;,Sa,`;Sa
57,),!,)!
58,~,%,~%
59,WL,:,WL:
60,Y,1,Y1
61,T,n},Tn}
62,J,K,JK
63,P,q,Pq
64,N,',N'
65,d,C,dC
66,u,9,u9
67,z,@-,z@-
68,b,h,bh
69,v,k,vk
70,F,4,F4
71,5,_,5_
72,"""",e,"""e"
73,*Z,o,*Zo
74,?,3,?3
75,Q,<,Q<
76,y,l,yl
77,m,c,mc
78,(s,>,(s>
79,D,X,DX
80,f,+,f+
81,#r7,H,#r7H
82,j,&],j&]
83,n,},n}
84,`,;,`;
85,W,L,WL
86,B,R,BR
87,S,a,Sa
88,@,-,@-
89,(,s,(s
90,*,Z,*Z
91,&,],&]
92,#r,7,#r7
93,#,r,#r
