,left,right,combine
0,g4o8x#'^+L%eSwy!)}dvnR=VmbzOkAC~79a:&/K," Y5H@""2rc>UM,$JQh_|NF1`?qu<]GDT\lP0jpBfXtiW;[Z(*{3I-.E6s","g4o8x#'^+L%eSwy!)}dvnR=VmbzOkAC~79a:&/K Y5H@""2rc>UM,$JQh_|NF1`?qu<]GDT\lP0jpBfXtiW;[Z(*{3I-.E6s"
1," Y5H@""2rc>UM,$JQh_|NF1`?qu",<]GDT\lP0jpBfXtiW;[Z(*{3I-.E6s," Y5H@""2rc>UM,$JQh_|NF1`?qu<]GDT\lP0jpBfXtiW;[Z(*{3I-.E6s"
2,g4o8x#'^+L%eSwy!)}dv,nR=VmbzOkAC~79a:&/K,g4o8x#'^+L%eSwy!)}dvnR=VmbzOkAC~79a:&/K
3,<]GDT\lP0jpB,fXtiW;[Z(*{3I-.E6s,<]GDT\lP0jpBfXtiW;[Z(*{3I-.E6s
4," Y5H@""2rc>UM,",$JQh_|NF1`?qu," Y5H@""2rc>UM,$JQh_|NF1`?qu"
5,nR=VmbzO,kAC~79a:&/K,nR=VmbzOkAC~79a:&/K
6,g4o8x#'^+L,%eSwy!)}dv,g4o8x#'^+L%eSwy!)}dv
7,fXtiW;[Z,(*{3I-.E6s,fXtiW;[Z(*{3I-.E6s
8,<]GDT\l,P0jpB,<]GDT\lP0jpB
9,$JQh_|,NF1`?qu,$JQh_|NF1`?qu
10,kAC~7,9a:&/K,kAC~79a:&/K
11," Y5H@""2r","c>UM,"," Y5H@""2rc>UM,"
12,nR=V,mbzO,nR=VmbzO
13,%eSwy!,)}dv,%eSwy!)}dv
14,g4o8,x#'^+L,g4o8x#'^+L
15,(*{3,I-.E6s,(*{3I-.E6s
16,P0j,pB,P0jpB
17,fXti,W;[Z,fXtiW;[Z
18,<],GDT\l,<]GDT\l
19,NF1`,?qu,NF1`?qu
20,kA,C~7,kAC~7
21, Y5H@,"""2r"," Y5H@""2r"
22,$J,Qh_|,$JQh_|
23,c>,"UM,","c>UM,"
24,9a:,&/K,9a:&/K
25,)},dv,)}dv
26,mb,zO,mbzO
27,nR,=V,nR=V
28,%eS,wy!,%eSwy!
29,g4,o8,g4o8
30,x#',^+L,x#'^+L
31,I-.,E6s,I-.E6s
32,(,*{3,(*{3
33,GD,T\l,GDT\l
34,P0,j,P0j
35,fX,ti,fXti
36,p,B,pB
37,W;,[Z,W;[Z
38,<,],<]
39,?,qu,?qu
40,c,>,c>
41,k,A,kA
42,Qh,_|,Qh_|
43, ,Y5H@, Y5H@
44,&/,K,&/K
45,$,J,$J
46,C,~7,C~7
47,U,"M,","UM,"
48,N,F1`,NF1`
49,"""2",r,"""2r"
50,9,a:,9a:
51,=,V,=V
52,),},)}
53,m,b,mb
54,n,R,nR
55,z,O,zO
56,d,v,dv
57,wy,!,wy!
58,g,4,g4
59,^+,L,^+L
60,I-,.,I-.
61,E6,s,E6s
62,o,8,o8
63,%e,S,%eS
64,x#,',x#'
65,*,{3,*{3
66,t,i,ti
67,G,D,GD
68,W,;,W;
69,T\,l,T\l
70,[,Z,[Z
71,P,0,P0
72,f,X,fX
73,q,u,qu
74,Q,h,Qh
75,"""",2,"""2"
76,&,/,&/
77,a,:,a:
78,Y5H,@,Y5H@
79,M,",","M,"
80,_,|,_|
81,F,1`,F1`
82,~,7,~7
83,%,e,%e
84,x,#,x#
85,E,6,E6
86,I,-,I-
87,^,+,^+
88,{,3,{3
89,w,y,wy
90,T,\,T\
91,1,`,1`
92,Y5,H,Y5H
93,Y,5,Y5
