,left,right,combine
0,"$teE?&0~f]=(<O5Za3_P#""}/@>*+nis!TzH A.d%^9","lC-m67VB:Wj8X\{N)cYQ,Low'kD|1MIh4b`uRFxpUyqSvK2Gg;[rJ","$teE?&0~f]=(<O5Za3_P#""}/@>*+nis!TzH A.d%^9lC-m67VB:Wj8X\{N)cYQ,Low'kD|1MIh4b`uRFxpUyqSvK2Gg;[rJ"
1,"lC-m67VB:Wj8X\{N)cYQ,L",ow'kD|1MIh4b`uRFxpUyqSvK2Gg;[rJ,"lC-m67VB:Wj8X\{N)cYQ,Low'kD|1MIh4b`uRFxpUyqSvK2Gg;[rJ"
2,$teE?&0~f]=(<O5Za3,"_P#""}/@>*+nis!TzH A.d%^9","$teE?&0~f]=(<O5Za3_P#""}/@>*+nis!TzH A.d%^9"
3,ow'kD|1MIh4b`,uRFxpUyqSvK2Gg;[rJ,ow'kD|1MIh4b`uRFxpUyqSvK2Gg;[rJ
4,lC-m67VB:W,"j8X\{N)cYQ,L","lC-m67VB:Wj8X\{N)cYQ,L"
5,"_P#""}/@>*+n",is!TzH A.d%^9,"_P#""}/@>*+nis!TzH A.d%^9"
6,$teE?&0~f,]=(<O5Za3,$teE?&0~f]=(<O5Za3
7,uRFxpUy,qSvK2Gg;[rJ,uRFxpUyqSvK2Gg;[rJ
8,ow'kD|1M,Ih4b`,ow'kD|1MIh4b`
9,j8X\{,"N)cYQ,L","j8X\{N)cYQ,L"
10,lC-m6,7VB:W,lC-m67VB:W
11,is!TzH, A.d%^9,is!TzH A.d%^9
12,"_P#""",}/@>*+n,"_P#""}/@>*+n"
13,]=(<O,5Za3,]=(<O5Za3
14,$teE?,&0~f,$teE?&0~f
15,qSvK2,Gg;[rJ,qSvK2Gg;[rJ
16,uR,FxpUy,uRFxpUy
17,Ih,4b`,Ih4b`
18,N)cY,"Q,L","N)cYQ,L"
19,ow'k,D|1M,ow'kD|1M
20,j8,X\{,j8X\{
21,7V,B:W,7VB:W
22,lC-,m6,lC-m6
23, ,A.d%^9, A.d%^9
24,}/@,>*+n,}/@>*+n
25,is,!TzH,is!TzH
26,_P,"#""","_P#"""
27,5Z,a3,5Za3
28,]=(,<O,]=(<O
29,&0,~f,&0~f
30,$te,E?,$teE?
31,Fxp,Uy,FxpUy
32,qSv,K2,qSvK2
33,Gg;,[rJ,Gg;[rJ
34,u,R,uR
35,4b,`,4b`
36,I,h,Ih
37,D|,1M,D|1M
38,"Q,",L,"Q,L"
39,ow,'k,ow'k
40,X,\{,X\{
41,N),cY,N)cY
42,B,:W,B:W
43,j,8,j8
44,m,6,m6
45,i,s,is
46,>*+,n,>*+n
47,!,TzH,!TzH
48,lC,-,lC-
49,},/@,}/@
50,A.d%,^9,A.d%^9
51,7,V,7V
52,#,"""","#"""
53,_,P,_P
54,~,f,~f
55,<,O,<O
56,]=,(,]=(
57,5,Z,5Z
58,a,3,a3
59,&,0,&0
60,K,2,K2
61,F,xp,Fxp
62,E,?,E?
63,U,y,Uy
64,[r,J,[rJ
65,$,te,$te
66,Gg,;,Gg;
67,q,Sv,qSv
68,4,b,4b
69,Q,",","Q,"
70,\,{,\{
71,N,),N)
72,D,|,D|
73,1,M,1M
74,c,Y,cY
75,',k,'k
76,o,w,ow
77,:,W,:W
78,A.d,%,A.d%
79,l,C,lC
80,^,9,^9
81,T,zH,TzH
82,>*,+,>*+
83,/,@,/@
84,],=,]=
85,x,p,xp
86,S,v,Sv
87,t,e,te
88,[,r,[r
89,G,g,Gg
90,>,*,>*
91,z,H,zH
92,A.,d,A.d
93,A,.,A.
