,left,right,combine
0,DSx9LPbCU-R(^cH0M a=K$oBs>]i|8eVAlfE,"4?3:t,_Y1%TGgq[rZ""N.&j@h`J{w5/;7+!un}Xm2OIFvQ)#W<'k*~dy\pz6","DSx9LPbCU-R(^cH0M a=K$oBs>]i|8eVAlfE4?3:t,_Y1%TGgq[rZ""N.&j@h`J{w5/;7+!un}Xm2OIFvQ)#W<'k*~dy\pz6"
1,"4?3:t,_Y1%TGgq[rZ""N.&j@h`J",{w5/;7+!un}Xm2OIFvQ)#W<'k*~dy\pz6,"4?3:t,_Y1%TGgq[rZ""N.&j@h`J{w5/;7+!un}Xm2OIFvQ)#W<'k*~dy\pz6"
2,DSx9LPbCU-R(^cH,0M a=K$oBs>]i|8eVAlfE,DSx9LPbCU-R(^cH0M a=K$oBs>]i|8eVAlfE
3,{w5/;7+!un}Xm2OI,FvQ)#W<'k*~dy\pz6,{w5/;7+!un}Xm2OIFvQ)#W<'k*~dy\pz6
4,"4?3:t,_Y1","%TGgq[rZ""N.&j@h`J","4?3:t,_Y1%TGgq[rZ""N.&j@h`J"
5,0M a=K$,oBs>]i|8eVAlfE,0M a=K$oBs>]i|8eVAlfE
6,DSx9LPb,CU-R(^cH,DSx9LPbCU-R(^cH
7,FvQ)#W,<'k*~dy\pz6,FvQ)#W<'k*~dy\pz6
8,{w5/;7+,!un}Xm2OI,{w5/;7+!un}Xm2OI
9,%TGgq[,"rZ""N.&j@h`J","%TGgq[rZ""N.&j@h`J"
10,oBs>,]i|8eVAlfE,oBs>]i|8eVAlfE
11,4?3:,"t,_Y1","4?3:t,_Y1"
12,0M ,a=K$,0M a=K$
13,CU-R,(^cH,CU-R(^cH
14,DSx,9LPb,DSx9LPb
15,<'k*~d,y\pz6,<'k*~dy\pz6
16,{w5/,;7+,{w5/;7+
17,!un},Xm2OI,!un}Xm2OI
18,FvQ,)#W,FvQ)#W
19,"rZ""N.",&j@h`J,"rZ""N.&j@h`J"
20,%T,Ggq[,%TGgq[
21,oBs,>,oBs>
22,"t,",_Y1,"t,_Y1"
23,]i|8eV,AlfE,]i|8eVAlfE
24,4?,3:,4?3:
25,a=,K$,a=K$
26,0M, ,0M 
27,CU,-R,CU-R
28,(^,cH,(^cH
29,9L,Pb,9LPb
30,D,Sx,DSx
31,y\pz,6,y\pz6
32,&j,@h`J,&j@h`J
33,{w,5/,{w5/
34,!un,},!un}
35,<',k*~d,<'k*~d
36,;,7+,;7+
37,),#W,)#W
38,Fv,Q,FvQ
39,Xm2,OI,Xm2OI
40,r,"Z""N.","rZ""N."
41,G,gq[,Ggq[
42,%,T,%T
43,3,:,3:
44,_Y,1,_Y1
45,Al,fE,AlfE
46,]i,|8eV,]i|8eV
47,t,",","t,"
48,o,Bs,oBs
49,K,$,K$
50,4,?,4?
51,a,=,a=
52,c,H,cH
53,S,x,Sx
54,(,^,(^
55,-,R,-R
56,P,b,Pb
57,9,L,9L
58,0,M,0M
59,C,U,CU
60,F,v,Fv
61,!u,n,!un
62,{,w,{w
63,"Z""N",.,"Z""N."
64,k,*~d,k*~d
65,5,/,5/
66,&,j,&j
67,@h`,J,@h`J
68,7,+,7+
69,O,I,OI
70,X,m2,Xm2
71,#,W,#W
72,y,\pz,y\pz
73,<,',<'
74,g,q[,gq[
75,f,E,fE
76,|,8eV,|8eV
77,_,Y,_Y
78,B,s,Bs
79,A,l,Al
80,],i,]i
81,*~,d,*~d
82,m,2,m2
83,q,[,q[
84,\p,z,\pz
85,"Z""",N,"Z""N"
86,@,h`,@h`
87,!,u,!u
88,8,eV,8eV
89,e,V,eV
90,*,~,*~
91,h,`,h`
92,Z,"""","Z"""
93,\,p,\p
