,left,right,combine
0,#=Y?s-`KEwG}2q^m8WMV bAJ~c|)TQ91F\N5:.Pl{,"(ux,;3oB%7e*j6IXOD'!4g$>L""zt/&[rfChia_nSHRkyp0UZd@v<+]","#=Y?s-`KEwG}2q^m8WMV bAJ~c|)TQ91F\N5:.Pl{(ux,;3oB%7e*j6IXOD'!4g$>L""zt/&[rfChia_nSHRkyp0UZd@v<+]"
1,"(ux,;3oB%7e*j6IXOD'!","4g$>L""zt/&[rfChia_nSHRkyp0UZd@v<+]","(ux,;3oB%7e*j6IXOD'!4g$>L""zt/&[rfChia_nSHRkyp0UZd@v<+]"
2,#=Y?s-`KEwG}2q^m8W,MV bAJ~c|)TQ91F\N5:.Pl{,#=Y?s-`KEwG}2q^m8WMV bAJ~c|)TQ91F\N5:.Pl{
3,"4g$>L""zt/&[rfChia_",nSHRkyp0UZd@v<+],"4g$>L""zt/&[rfChia_nSHRkyp0UZd@v<+]"
4,"(ux,;3oB",%7e*j6IXOD'!,"(ux,;3oB%7e*j6IXOD'!"
5,MV bAJ~c|),TQ91F\N5:.Pl{,MV bAJ~c|)TQ91F\N5:.Pl{
6,#=Y?s-`KE,wG}2q^m8W,#=Y?s-`KEwG}2q^m8W
7,nSHRkyp,0UZd@v<+],nSHRkyp0UZd@v<+]
8,"4g$>L""zt",/&[rfChia_,"4g$>L""zt/&[rfChia_"
9,%7e*j6,IXOD'!,%7e*j6IXOD'!
10,"(ux,",;3oB,"(ux,;3oB"
11,TQ91F\N,5:.Pl{,TQ91F\N5:.Pl{
12,MV ,bAJ~c|),MV bAJ~c|)
13,wG}2q,^m8W,wG}2q^m8W
14,#=Y?s,-`KE,#=Y?s-`KE
15,0UZd@,v<+],0UZd@v<+]
16,nSHR,kyp,nSHRkyp
17,/&[rfC,hia_,/&[rfChia_
18,4g$>,"L""zt","4g$>L""zt"
19,%7e,*j6,%7e*j6
20,IX,OD'!,IXOD'!
21,;3,oB,;3oB
22,(u,"x,","(ux,"
23,TQ91F,\N,TQ91F\N
24,5:.,Pl{,5:.Pl{
25,bAJ~,c|),bAJ~c|)
26,MV, ,MV 
27,^m,8W,^m8W
28,wG,}2q,wG}2q
29,-`,KE,-`KE
30,#=,Y?s,#=Y?s
31,0UZ,d@,0UZd@
32,v<,+],v<+]
33,k,yp,kyp
34,nS,HR,nSHR
35,/&[r,fC,/&[rfC
36,hi,a_,hia_
37,"L""",zt,"L""zt"
38,I,X,IX
39,4g,$>,4g$>
40,OD',!,OD'!
41,*j,6,*j6
42,%,7e,%7e
43,o,B,oB
44,;,3,;3
45,x,",","x,"
46,(,u,(u
47,T,Q91F,TQ91F
48,5,:.,5:.
49,c,|),c|)
50,bA,J~,bAJ~
51,Pl,{,Pl{
52,\,N,\N
53,}2,q,}2q
54,8,W,8W
55,^,m,^m
56,w,G,wG
57,M,V,MV
58,K,E,KE
59,+,],+]
60,d,@,d@
61,y,p,yp
62,Y,?s,Y?s
63,0,UZ,0UZ
64,v,<,v<
65,-,`,-`
66,#,=,#=
67,H,R,HR
68,f,C,fC
69,L,"""","L"""
70,/,&[r,/&[r
71,a,_,a_
72,n,S,nS
73,z,t,zt
74,h,i,hi
75,*,j,*j
76,7,e,7e
77,$,>,$>
78,OD,',OD'
79,4,g,4g
80,:,.,:.
81,J,~,J~
82,b,A,bA
83,|,),|)
84,P,l,Pl
85,Q91,F,Q91F
86,},2,}2
87,U,Z,UZ
88,?,s,?s
89,&,[r,&[r
90,O,D,OD
91,Q,91,Q91
92,[,r,[r
93,9,1,91
