,left,right,combine
0,bni?BgR.T7d{OupZ}\]KhS>j%Q;9Ul'v:a5t,"2""xr=YX&`G/4Vz)oL6_wC*!c0+N-m<~e|y$(3DFJqE @I[P^H,k1fAM8s#W","bni?BgR.T7d{OupZ}\]KhS>j%Q;9Ul'v:a5t2""xr=YX&`G/4Vz)oL6_wC*!c0+N-m<~e|y$(3DFJqE @I[P^H,k1fAM8s#W"
1,"2""xr=YX&`G/4Vz)oL6_wC*!c0+N-m<~e","|y$(3DFJqE @I[P^H,k1fAM8s#W","2""xr=YX&`G/4Vz)oL6_wC*!c0+N-m<~e|y$(3DFJqE @I[P^H,k1fAM8s#W"
2,bni?BgR.T7d{OupZ}\],KhS>j%Q;9Ul'v:a5t,bni?BgR.T7d{OupZ}\]KhS>j%Q;9Ul'v:a5t
3,|y$(3DFJqE @,"I[P^H,k1fAM8s#W","|y$(3DFJqE @I[P^H,k1fAM8s#W"
4,"2""xr=YX&`G/4Vz)",oL6_wC*!c0+N-m<~e,"2""xr=YX&`G/4Vz)oL6_wC*!c0+N-m<~e"
5,KhS>j%Q;9,Ul'v:a5t,KhS>j%Q;9Ul'v:a5t
6,bni?BgR.T7,d{OupZ}\],bni?BgR.T7d{OupZ}\]
7,"I[P^H,k1",fAM8s#W,"I[P^H,k1fAM8s#W"
8,|y$(3D,FJqE @,|y$(3DFJqE @
9,oL6_wC*!,c0+N-m<~e,oL6_wC*!c0+N-m<~e
10,"2""xr",=YX&`G/4Vz),"2""xr=YX&`G/4Vz)"
11,Ul'v,:a5t,Ul'v:a5t
12,bni?Bg,R.T7,bni?BgR.T7
13,d{O,upZ}\],d{OupZ}\]
14,KhS>j,%Q;9,KhS>j%Q;9
15,fAM8,s#W,fAM8s#W
16,I[P^,"H,k1","I[P^H,k1"
17,FJqE, @,FJqE @
18,oL6_w,C*!,oL6_wC*!
19,=YX&,`G/4Vz),=YX&`G/4Vz)
20,|y$,(3D,|y$(3D
21,c0+,N-m<~e,c0+N-m<~e
22,"2""",xr,"2""xr"
23,:a,5t,:a5t
24,Ul,'v,Ul'v
25,bni,?Bg,bni?Bg
26,upZ,}\],upZ}\]
27,%Q;,9,%Q;9
28,d{,O,d{O
29,KhS,>j,KhS>j
30,R.,T7,R.T7
31,s,#W,s#W
32,I[,P^,I[P^
33,fA,M8,fAM8
34,"H,",k1,"H,k1"
35,F,JqE,FJqE
36, ,@, @
37,=Y,X&,=YX&
38,|y,$,|y$
39,oL,6_w,oL6_w
40,`G/4V,z),`G/4Vz)
41,N-,m<~e,N-m<~e
42,(,3D,(3D
43,c0,+,c0+
44,C,*!,C*!
45,',v,'v
46,:,a,:a
47,5,t,5t
48,U,l,Ul
49,2,"""","2"""
50,x,r,xr
51,T,7,T7
52,?,Bg,?Bg
53,d,{,d{
54,up,Z,upZ
55,>,j,>j
56,bn,i,bni
57,Kh,S,KhS
58,}\,],}\]
59,#,W,#W
60,R,.,R.
61,%,Q;,%Q;
62,M,8,M8
63,P,^,P^
64,k,1,k1
65,H,",","H,"
66,I,[,I[
67,f,A,fA
68,J,qE,JqE
69,N,-,N-
70,`,G/4V,`G/4V
71,X,&,X&
72,m<,~e,m<~e
73,6,_w,6_w
74,3,D,3D
75,c,0,c0
76,o,L,oL
77,*,!,*!
78,=,Y,=Y
79,z,),z)
80,|,y,|y
81,b,n,bn
82,u,p,up
83,Q,;,Q;
84,B,g,Bg
85,},\,}\
86,K,h,Kh
87,q,E,qE
88,m,<,m<
89,_,w,_w
90,~,e,~e
91,G/,4V,G/4V
92,G,/,G/
93,4,V,4V
