,left,right,combine
0,"+gCLGVZor7'U,O{t?dyWTEmq ib$wzk}*\",">3.h""~4_=^Mu9FBsD2QAxSv@P(Ya-1)0J6]fn!cIl#pje[8<&X5K:R`H/|%;N","+gCLGVZor7'U,O{t?dyWTEmq ib$wzk}*\>3.h""~4_=^Mu9FBsD2QAxSv@P(Ya-1)0J6]fn!cIl#pje[8<&X5K:R`H/|%;N"
1,">3.h""~4_=^Mu9FBsD2QAxSv@P(Ya-1)",0J6]fn!cIl#pje[8<&X5K:R`H/|%;N,">3.h""~4_=^Mu9FBsD2QAxSv@P(Ya-1)0J6]fn!cIl#pje[8<&X5K:R`H/|%;N"
2,"+gCLGVZor7'U,O{t?d",yWTEmq ib$wzk}*\,"+gCLGVZor7'U,O{t?dyWTEmq ib$wzk}*\"
3,0J6]fn!cIl#pje[,8<&X5K:R`H/|%;N,0J6]fn!cIl#pje[8<&X5K:R`H/|%;N
4,">3.h""~4_=^Mu9FBsD",2QAxSv@P(Ya-1),">3.h""~4_=^Mu9FBsD2QAxSv@P(Ya-1)"
5,yWTEmq ,ib$wzk}*\,yWTEmq ib$wzk}*\
6,+gCLGVZor,"7'U,O{t?d","+gCLGVZor7'U,O{t?d"
7,8<&X5K,:R`H/|%;N,8<&X5K:R`H/|%;N
8,0J6]fn!,cIl#pje[,0J6]fn!cIl#pje[
9,2QAxSv@,P(Ya-1),2QAxSv@P(Ya-1)
10,">3.h""~4",_=^Mu9FBsD,">3.h""~4_=^Mu9FBsD"
11,ib$w,zk}*\,ib$wzk}*\
12,yWT,Emq ,yWTEmq 
13,:R`H/,|%;N,:R`H/|%;N
14,+gCL,GVZor,+gCLGVZor
15,"7'U,",O{t?d,"7'U,O{t?d"
16,8<&X,5K,8<&X5K
17,cIl#,pje[,cIl#pje[
18,0J6,]fn!,0J6]fn!
19,P(Ya-,1),P(Ya-1)
20,>3.,"h""~4",">3.h""~4"
21,_=^M,u9FBsD,_=^Mu9FBsD
22,2QAx,Sv@,2QAxSv@
23,zk},*\,zk}*\
24,Em,q ,Emq 
25,ib,$w,ib$w
26,y,WT,yWT
27,O{,t?d,O{t?d
28,7',"U,","7'U,"
29,+g,CL,+gCL
30,|%,;N,|%;N
31,:R,`H/,:R`H/
32,GV,Zor,GVZor
33,5,K,5K
34,8,<&X,8<&X
35,pj,e[,pje[
36,]f,n!,]fn!
37,cI,l#,cIl#
38,0,J6,0J6
39,1,),1)
40,P(Ya,-,P(Ya-
41,_=,^M,_=^M
42,h,"""~4","h""~4"
43,S,v@,Sv@
44,2,QAx,2QAx
45,>3,.,>3.
46,u9,FBsD,u9FBsD
47,$,w,$w
48,E,m,Em
49,*,\,*\
50,W,T,WT
51,q, ,q 
52,zk,},zk}
53,i,b,ib
54,:,R,:R
55,G,V,GV
56,|,%,|%
57,`H,/,`H/
58,t?,d,t?d
59,+,g,+g
60,7,',7'
61,Zo,r,Zor
62,;,N,;N
63,C,L,CL
64,O,{,O{
65,U,",","U,"
66,<,&X,<&X
67,],f,]f
68,n,!,n!
69,c,I,cI
70,l,#,l#
71,J,6,J6
72,p,j,pj
73,e,[,e[
74,QA,x,QAx
75,P(Y,a,P(Ya
76,v,@,v@
77,>,3,>3
78,_,=,_=
79,"""",~4,"""~4"
80,FB,sD,FBsD
81,^,M,^M
82,u,9,u9
83,z,k,zk
84,`,H,`H
85,t,?,t?
86,Z,o,Zo
87,&,X,&X
88,Q,A,QA
89,~,4,~4
90,s,D,sD
91,F,B,FB
92,P(,Y,P(Y
93,P,(,P(
