,left,right,combine
0,"*CK%#H0GxM5hq:r6+NAQv4BXOm_Dl&,@Eg[L?F","Zydws/\8'k$""n!^}~{IT] e-JR|cSYUui.f`bWo7Pazp<)t=2V9j>31;(","*CK%#H0GxM5hq:r6+NAQv4BXOm_Dl&,@Eg[L?FZydws/\8'k$""n!^}~{IT] e-JR|cSYUui.f`bWo7Pazp<)t=2V9j>31;("
1,"Zydws/\8'k$""n!^}~{IT] e",-JR|cSYUui.f`bWo7Pazp<)t=2V9j>31;(,"Zydws/\8'k$""n!^}~{IT] e-JR|cSYUui.f`bWo7Pazp<)t=2V9j>31;("
2,*CK%#H0GxM5hq:r6,"+NAQv4BXOm_Dl&,@Eg[L?F","*CK%#H0GxM5hq:r6+NAQv4BXOm_Dl&,@Eg[L?F"
3,-JR|cSYUui.f`bWo7,Pazp<)t=2V9j>31;(,-JR|cSYUui.f`bWo7Pazp<)t=2V9j>31;(
4,Zydws/\8'k$,"""n!^}~{IT] e","Zydws/\8'k$""n!^}~{IT] e"
5,+NAQv4BX,"Om_Dl&,@Eg[L?F","+NAQv4BXOm_Dl&,@Eg[L?F"
6,*CK%#H0G,xM5hq:r6,*CK%#H0GxM5hq:r6
7,Pazp<)t=,2V9j>31;(,Pazp<)t=2V9j>31;(
8,-JR|cSY,Uui.f`bWo7,-JR|cSYUui.f`bWo7
9,"""n!^}~{",IT] e,"""n!^}~{IT] e"
10,Zydws/\,8'k$,Zydws/\8'k$
11,Om_Dl&,",@Eg[L?F","Om_Dl&,@Eg[L?F"
12,+NAQ,v4BX,+NAQv4BX
13,xM5h,q:r6,xM5hq:r6
14,*CK%,#H0G,*CK%#H0G
15,Pazp<,)t=,Pazp<)t=
16,2V9j>3,1;(,2V9j>31;(
17,Uui.f,`bWo7,Uui.f`bWo7
18,IT], e,IT] e
19,-JR|,cSY,-JR|cSY
20,"""n",!^}~{,"""n!^}~{"
21,8',k$,8'k$
22,Om_,Dl&,Om_Dl&
23,Zydws,/\,Zydws/\
24,v,4BX,v4BX
25,",@Eg[",L?F,",@Eg[L?F"
26,+N,AQ,+NAQ
27,xM,5h,xM5h
28,q:,r6,q:r6
29,#H,0G,#H0G
30,P,azp<,Pazp<
31,1,;(,1;(
32,)t,=,)t=
33,`bW,o7,`bWo7
34,2V9,j>3,2V9j>3
35,*C,K%,*CK%
36,Uu,i.f,Uui.f
37, ,e, e
38,IT,],IT]
39,!^,}~{,!^}~{
40,cS,Y,cSY
41,-J,R|,-JR|
42,k,$,k$
43,"""",n,"""n"
44,8,',8'
45,",@",Eg[,",@Eg["
46,L,?F,L?F
47,/,\,/\
48,Zyd,ws,Zydws
49,4B,X,4BX
50,A,Q,AQ
51,Om,_,Om_
52,D,l&,Dl&
53,r,6,r6
54,x,M,xM
55,+,N,+N
56,5,h,5h
57,0,G,0G
58,q,:,q:
59,#,H,#H
60,i.,f,i.f
61,o,7,o7
62,2V,9,2V9
63,`,bW,`bW
64,K,%,K%
65,azp,<,azp<
66,;,(,;(
67,*,C,*C
68,),t,)t
69,j>,3,j>3
70,c,S,cS
71,R,|,R|
72,},~{,}~{
73,I,T,IT
74,U,u,Uu
75,-,J,-J
76,!,^,!^
77,O,m,Om
78,l,&,l&
79,4,B,4B
80,E,g[,Eg[
81,Z,yd,Zyd
82,w,s,ws
83,?,F,?F
84,",",@,",@"
85,2,V,2V
86,j,>,j>
87,b,W,bW
88,az,p,azp
89,i,.,i.
90,~,{,~{
91,y,d,yd
92,g,[,g[
93,a,z,az
