,left,right,combine
0,"4=8,kc<26?]F>XS_Pd}GR^""vU );.nB'ltpMA\w{",$eDYC70NL:*KqVa1huox|rE%mW`jgIH-O(QJy3/i&s9~ZTb#fz[@+5!,"4=8,kc<26?]F>XS_Pd}GR^""vU );.nB'ltpMA\w{$eDYC70NL:*KqVa1huox|rE%mW`jgIH-O(QJy3/i&s9~ZTb#fz[@+5!"
1,$eDYC70NL:*KqVa1huox|rE%mW,`jgIH-O(QJy3/i&s9~ZTb#fz[@+5!,$eDYC70NL:*KqVa1huox|rE%mW`jgIH-O(QJy3/i&s9~ZTb#fz[@+5!
2,"4=8,kc<26?]F>XS_Pd}GR^""vU", );.nB'ltpMA\w{,"4=8,kc<26?]F>XS_Pd}GR^""vU );.nB'ltpMA\w{"
3,`jgIH-O(QJ,y3/i&s9~ZTb#fz[@+5!,`jgIH-O(QJy3/i&s9~ZTb#fz[@+5!
4,$eDYC70NL:*,KqVa1huox|rE%mW,$eDYC70NL:*KqVa1huox|rE%mW
5, );.nB',ltpMA\w{, );.nB'ltpMA\w{
6,y3/i&s9~,ZTb#fz[@+5!,y3/i&s9~ZTb#fz[@+5!
7,"4=8,kc<26?]F>","XS_Pd}GR^""vU","4=8,kc<26?]F>XS_Pd}GR^""vU"
8,`jgIH,-O(QJ,`jgIH-O(QJ
9,KqVa1hu,ox|rE%mW,KqVa1huox|rE%mW
10,$eDYC7,0NL:*,$eDYC70NL:*
11,ltpM,A\w{,ltpMA\w{
12, );,.nB', );.nB'
13,"4=8,kc<2",6?]F>,"4=8,kc<26?]F>"
14,XS_Pd},"GR^""vU","XS_Pd}GR^""vU"
15,y3/,i&s9~,y3/i&s9~
16,ZTb#fz[@,+5!,ZTb#fz[@+5!
17,-O,(QJ,-O(QJ
18,KqV,a1hu,KqVa1hu
19,0N,L:*,0NL:*
20,`jg,IH,`jgIH
21,ox|rE,%mW,ox|rE%mW
22,$e,DYC7,$eDYC7
23,.n,B',.nB'
24,lt,pM,ltpM
25,A\,w{,A\w{
26, ,);, );
27,4=8,",kc<2","4=8,kc<2"
28,+5,!,+5!
29,GR,"^""vU","GR^""vU"
30,6?],F>,6?]F>
31,XS,_Pd},XS_Pd}
32,i&s,9~,i&s9~
33,ZTb#f,z[@,ZTb#fz[@
34,y3,/,y3/
35,-,O,-O
36,(Q,J,(QJ
37,a1,hu,a1hu
38,DY,C7,DYC7
39,ox|r,E,ox|rE
40,L:,*,L:*
41,`j,g,`jg
42,0,N,0N
43,%m,W,%mW
44,Kq,V,KqV
45,I,H,IH
46,p,M,pM
47,$,e,$e
48,A,\,A\
49,B,',B'
50,w,{,w{
51,l,t,lt
52,.,n,.n
53,),;,);
54,6?,],6?]
55,4=,8,4=8
56,ZTb,#f,ZTb#f
57,y,3,y3
58,9,~,9~
59,",kc<",2,",kc<2"
60,+,5,+5
61,F,>,F>
62,i,&s,i&s
63,X,S,XS
64,_,Pd},_Pd}
65,z[,@,z[@
66,^,"""vU","^""vU"
67,G,R,GR
68,(,Q,(Q
69,D,Y,DY
70,C,7,C7
71,ox|,r,ox|r
72,%,m,%m
73,h,u,hu
74,K,q,Kq
75,a,1,a1
76,L,:,L:
77,`,j,`j
78,&,s,&s
79,4,=,4=
80,z,[,z[
81,6,?,6?
82,P,d},Pd}
83,ZT,b,ZTb
84,",k",c<,",kc<"
85,#,f,#f
86,"""v",U,"""vU"
87,o,x|,ox|
88,x,|,x|
89,",",k,",k"
90,Z,T,ZT
91,"""",v,"""v"
92,c,<,c<
93,d,},d}
