,left,right,combine
0,"Vz3fj:Akns""Ogl58<)IE=4Jpxq&cdo7Qw-v1}U #mCa","WD%!;Ti\t02RNF.bL@^Z'/MB_9`>[Xy6(~|]GK$P+reHuS,Yh*{?","Vz3fj:Akns""Ogl58<)IE=4Jpxq&cdo7Qw-v1}U #mCaWD%!;Ti\t02RNF.bL@^Z'/MB_9`>[Xy6(~|]GK$P+reHuS,Yh*{?"
1,WD%!;Ti\t02RNF.bL@^Z'/M,"B_9`>[Xy6(~|]GK$P+reHuS,Yh*{?","WD%!;Ti\t02RNF.bL@^Z'/MB_9`>[Xy6(~|]GK$P+reHuS,Yh*{?"
2,"Vz3fj:Akns""Ogl58<)IE=",4Jpxq&cdo7Qw-v1}U #mCa,"Vz3fj:Akns""Ogl58<)IE=4Jpxq&cdo7Qw-v1}U #mCa"
3,B_9`>[Xy6(~|]GK,"$P+reHuS,Yh*{?","B_9`>[Xy6(~|]GK$P+reHuS,Yh*{?"
4,WD%!;Ti\t02R,NF.bL@^Z'/M,WD%!;Ti\t02RNF.bL@^Z'/M
5,4Jpxq&cdo7Q,w-v1}U #mCa,4Jpxq&cdo7Qw-v1}U #mCa
6,Vz3fj:Akn,"s""Ogl58<)IE=","Vz3fj:Akns""Ogl58<)IE="
7,$P+reH,"uS,Yh*{?","$P+reHuS,Yh*{?"
8,B_9`>[,Xy6(~|]GK,B_9`>[Xy6(~|]GK
9,NF.bL,@^Z'/M,NF.bL@^Z'/M
10,WD%!;,Ti\t02R,WD%!;Ti\t02R
11,w-v1}U ,#mCa,w-v1}U #mCa
12,"s""Ogl",58<)IE=,"s""Ogl58<)IE="
13,4Jpx,q&cdo7Q,4Jpxq&cdo7Q
14,Vz3f,j:Akn,Vz3fj:Akn
15,"uS,Y",h*{?,"uS,Yh*{?"
16,$P+r,eH,$P+reH
17,Xy6(~,|]GK,Xy6(~|]GK
18,B_,9`>[,B_9`>[
19,@^Z,'/M,@^Z'/M
20,Ti\t,02R,Ti\t02R
21,NF.,bL,NF.bL
22,WD,%!;,WD%!;
23,#m,Ca,#mCa
24,w-v1},U ,w-v1}U 
25,q&,cdo7Q,q&cdo7Q
26,58<),IE=,58<)IE=
27,"s""",Ogl,"s""Ogl"
28,4J,px,4Jpx
29,j:,Akn,j:Akn
30,Vz,3f,Vz3f
31,uS,",Y","uS,Y"
32,h*,{?,h*{?
33,e,H,eH
34,|],GK,|]GK
35,$P,+r,$P+r
36,Xy,6(~,Xy6(~
37,9,`>[,9`>[
38,B,_,B_
39,'/,M,'/M
40,N,F.,NF.
41,@^,Z,@^Z
42,b,L,bL
43,0,2R,02R
44,Ti,\t,Ti\t
45,%,!;,%!;
46,#,m,#m
47,W,D,WD
48,U, ,U 
49,C,a,Ca
50,Ak,n,Akn
51,c,do7Q,cdo7Q
52,s,"""","s"""
53,O,gl,Ogl
54,4,J,4J
55,w-v1,},w-v1}
56,q,&,q&
57,IE,=,IE=
58,p,x,px
59,58,<),58<)
60,3,f,3f
61,j,:,j:
62,{,?,{?
63,",",Y,",Y"
64,h,*,h*
65,V,z,Vz
66,u,S,uS
67,X,y,Xy
68,+,r,+r
69,|,],|]
70,$,P,$P
71,G,K,GK
72,`>,[,`>[
73,6,(~,6(~
74,2,R,2R
75,F,.,F.
76,',/,'/
77,\,t,\t
78,@,^,@^
79,T,i,Ti
80,!,;,!;
81,w-,v1,w-v1
82,g,l,gl
83,5,8,58
84,A,k,Ak
85,do7,Q,do7Q
86,<,),<)
87,I,E,IE
88,`,>,`>
89,(,~,(~
90,w,-,w-
91,v,1,v1
92,do,7,do7
93,d,o,do
