,left,right,combine
0,"HY<Wj/~MRV$T8z*Ftp&#I+kb]\lC,>Og 90u5v3hye4s}x""-[",Er{%(Q?JoZUL_.2fiqBd6:aS@)`wNXmA'=|7!KPG;D^nc1,"HY<Wj/~MRV$T8z*Ftp&#I+kb]\lC,>Og 90u5v3hye4s}x""-[Er{%(Q?JoZUL_.2fiqBd6:aS@)`wNXmA'=|7!KPG;D^nc1"
1,Er{%(Q?JoZUL_.2,fiqBd6:aS@)`wNXmA'=|7!KPG;D^nc1,Er{%(Q?JoZUL_.2fiqBd6:aS@)`wNXmA'=|7!KPG;D^nc1
2,HY<Wj/~MRV$T8z*Ftp&#I+kb]\,"lC,>Og 90u5v3hye4s}x""-[","HY<Wj/~MRV$T8z*Ftp&#I+kb]\lC,>Og 90u5v3hye4s}x""-["
3,fiqBd6:aS@)`wNXmA,'=|7!KPG;D^nc1,fiqBd6:aS@)`wNXmA'=|7!KPG;D^nc1
4,Er{%(Q?,JoZUL_.2,Er{%(Q?JoZUL_.2
5,HY<Wj/~MRV$,T8z*Ftp&#I+kb]\,HY<Wj/~MRV$T8z*Ftp&#I+kb]\
6,"lC,>Og 90u5","v3hye4s}x""-[","lC,>Og 90u5v3hye4s}x""-["
7,'=|7!K,PG;D^nc1,'=|7!KPG;D^nc1
8,fiqBd6:a,S@)`wNXmA,fiqBd6:aS@)`wNXmA
9,JoZU,L_.2,JoZUL_.2
10,Er{%,(Q?,Er{%(Q?
11,"lC,>Og", 90u5,"lC,>Og 90u5"
12,v3hye4s,"}x""-[","v3hye4s}x""-["
13,HY<Wj,/~MRV$,HY<Wj/~MRV$
14,T8z*Ftp&,#I+kb]\,T8z*Ftp&#I+kb]\
15,PG,;D^nc1,PG;D^nc1
16,fiqB,d6:a,fiqBd6:a
17,S@)`w,NXmA,S@)`wNXmA
18,'=|,7!K,'=|7!K
19,L_,.2,L_.2
20,Jo,ZU,JoZU
21,(,Q?,(Q?
22,HY<,Wj,HY<Wj
23,"}x""",-[,"}x""-["
24,"lC,",>Og,"lC,>Og"
25,#I,+kb]\,#I+kb]\
26, ,90u5, 90u5
27,E,r{%,Er{%
28,v3hy,e4s,v3hye4s
29,/~M,RV$,/~MRV$
30,T8z*F,tp&,T8z*Ftp&
31,;,D^nc1,;D^nc1
32,P,G,PG
33,7,!K,7!K
34,fi,qB,fiqB
35,NX,mA,NXmA
36,S,@)`w,S@)`w
37,d6,:a,d6:a
38,'=,|,'=|
39,.,2,.2
40,Z,U,ZU
41,J,o,Jo
42,L,_,L_
43,Q,?,Q?
44,}x,"""","}x"""
45,v3,hy,v3hy
46,#,I,#I
47,9,0u5,90u5
48,+,kb]\,+kb]\
49,-,[,-[
50,>,Og,>Og
51,R,V$,RV$
52,H,Y<,HY<
53,T8z,*F,T8z*F
54,r{,%,r{%
55,lC,",","lC,"
56,e,4s,e4s
57,/~,M,/~M
58,t,p&,tp&
59,W,j,Wj
60,D^,nc1,D^nc1
61,@)`,w,@)`w
62,f,i,fi
63,N,X,NX
64,d,6,d6
65,q,B,qB
66,:,a,:a
67,',=,'=
68,!,K,!K
69,m,A,mA
70,*,F,*F
71,4,s,4s
72,v,3,v3
73,r,{,r{
74,0,u5,0u5
75,D,^,D^
76,/,~,/~
77,nc,1,nc1
78,l,C,lC
79,Y,<,Y<
80,V,$,V$
81,T,8z,T8z
82,kb,]\,kb]\
83,h,y,hy
84,O,g,Og
85,},x,}x
86,p,&,p&
87,@,)`,@)`
88,),`,)`
89,k,b,kb
90,u,5,u5
91,n,c,nc
92,8,z,8z
93,],\,]\
