,left,right,combine
0,HwM\0.z`m!3]AtfUy@~V97iOZoFh1{+<=#[_C,";cd$Bq5W/K""|I2*Q6-&anXYpsRrL'4?DE}GPub%:8 kx(^SlNe)TJ,jgv>","HwM\0.z`m!3]AtfUy@~V97iOZoFh1{+<=#[_C;cd$Bq5W/K""|I2*Q6-&anXYpsRrL'4?DE}GPub%:8 kx(^SlNe)TJ,jgv>"
1,";cd$Bq5W/K""|I2*Q6-&anXYpsRrL","'4?DE}GPub%:8 kx(^SlNe)TJ,jgv>",";cd$Bq5W/K""|I2*Q6-&anXYpsRrL'4?DE}GPub%:8 kx(^SlNe)TJ,jgv>"
2,HwM\0.z`m!3]AtfUy@,~V97iOZoFh1{+<=#[_C,HwM\0.z`m!3]AtfUy@~V97iOZoFh1{+<=#[_C
3,'4?DE}GPub%:8 ,"kx(^SlNe)TJ,jgv>","'4?DE}GPub%:8 kx(^SlNe)TJ,jgv>"
4,";cd$Bq5W/K""|",I2*Q6-&anXYpsRrL,";cd$Bq5W/K""|I2*Q6-&anXYpsRrL"
5,~V97iOZoFh1,{+<=#[_C,~V97iOZoFh1{+<=#[_C
6,HwM\0.z`m!,3]AtfUy@,HwM\0.z`m!3]AtfUy@
7,kx(^SlN,"e)TJ,jgv>","kx(^SlNe)TJ,jgv>"
8,'4?DE}G,Pub%:8 ,'4?DE}GPub%:8 
9,I2*Q6,-&anXYpsRrL,I2*Q6-&anXYpsRrL
10,;cd$B,"q5W/K""|",";cd$Bq5W/K""|"
11,{+<=,#[_C,{+<=#[_C
12,~V97i,OZoFh1,~V97iOZoFh1
13,3]At,fUy@,3]AtfUy@
14,HwM\0,.z`m!,HwM\0.z`m!
15,"e)TJ,",jgv>,"e)TJ,jgv>"
16,kx(,^SlN,kx(^SlN
17,Pub%,:8 ,Pub%:8 
18,'4?D,E}G,'4?DE}G
19,I2*,Q6,I2*Q6
20,-&anX,YpsRrL,-&anXYpsRrL
21,q5,"W/K""|","q5W/K""|"
22,;cd,$B,;cd$B
23,#[,_C,#[_C
24,OZ,oFh1,OZoFh1
25,~V,97i,~V97i
26,{+,<=,{+<=
27,fU,y@,fUy@
28,3],At,3]At
29,.z`,m!,.z`m!
30,Hw,M\0,HwM\0
31,e)T,"J,","e)TJ,"
32,^S,lN,^SlN
33,jgv,>,jgv>
34,kx,(,kx(
35,Pu,b%,Pub%
36,:8, ,:8 
37,E},G,E}G
38,Q,6,Q6
39,'4,?D,'4?D
40,W/K,"""|","W/K""|"
41,I2,*,I2*
42,YpsR,rL,YpsRrL
43,-&,anX,-&anX
44,;c,d,;cd
45,$,B,$B
46,q,5,q5
47,_,C,_C
48,#,[,#[
49,O,Z,OZ
50,oF,h1,oFh1
51,y,@,y@
52,{,+,{+
53,<,=,<=
54,~,V,~V
55,9,7i,97i
56,3,],3]
57,A,t,At
58,m,!,m!
59,f,U,fU
60,J,",","J,"
61,H,w,Hw
62,^,S,^S
63,.,z`,.z`
64,e),T,e)T
65,M\,0,M\0
66,l,N,lN
67,jg,v,jgv
68,:,8,:8
69,k,x,kx
70,P,u,Pu
71,b,%,b%
72,E,},E}
73,W,/K,W/K
74,',4,'4
75,-,&,-&
76,?,D,?D
77,a,nX,anX
78,"""",|,"""|"
79,Y,psR,YpsR
80,I,2,I2
81,r,L,rL
82,;,c,;c
83,7,i,7i
84,h,1,h1
85,o,F,oF
86,j,g,jg
87,e,),e)
88,z,`,z`
89,M,\,M\
90,n,X,nX
91,/,K,/K
92,ps,R,psR
93,p,s,ps
