,left,right,combine
0,"mG)rc,~*X4B!M7Nu'$Ll3nTgkPyK|V(6J;ZS","}qoI=^w2-f`pCse@%1H ihFQ:E[8tOb/z?x+WA_vRD]{j.Y<\a#""5d9>0&U","mG)rc,~*X4B!M7Nu'$Ll3nTgkPyK|V(6J;ZS}qoI=^w2-f`pCse@%1H ihFQ:E[8tOb/z?x+WA_vRD]{j.Y<\a#""5d9>0&U"
1,}qoI=^w2-f`pCse@%1H ihF,"Q:E[8tOb/z?x+WA_vRD]{j.Y<\a#""5d9>0&U","}qoI=^w2-f`pCse@%1H ihFQ:E[8tOb/z?x+WA_vRD]{j.Y<\a#""5d9>0&U"
2,"mG)rc,~*X4B!",M7Nu'$Ll3nTgkPyK|V(6J;ZS,"mG)rc,~*X4B!M7Nu'$Ll3nTgkPyK|V(6J;ZS"
3,Q:E[8tOb/z?x+WA_vR,"D]{j.Y<\a#""5d9>0&U","Q:E[8tOb/z?x+WA_vRD]{j.Y<\a#""5d9>0&U"
4,}qoI=^w2-f`p,Cse@%1H ihF,}qoI=^w2-f`pCse@%1H ihF
5,M7Nu'$Ll3nT,gkPyK|V(6J;ZS,M7Nu'$Ll3nTgkPyK|V(6J;ZS
6,mG)rc,",~*X4B!","mG)rc,~*X4B!"
7,"D]{j.Y<\a#""5",d9>0&U,"D]{j.Y<\a#""5d9>0&U"
8,Q:E[8tOb/z,?x+WA_vR,Q:E[8tOb/z?x+WA_vR
9,Cse@%1H, ihF,Cse@%1H ihF
10,gkPyK,|V(6J;ZS,gkPyK|V(6J;ZS
11,}qoI=,^w2-f`p,}qoI=^w2-f`p
12,M7Nu',$Ll3nT,M7Nu'$Ll3nT
13,",~*",X4B!,",~*X4B!"
14,mG,)rc,mG)rc
15,d9,>0&U,d9>0&U
16,?x+,WA_vR,?x+WA_vR
17,D]{j.Y,"<\a#""5","D]{j.Y<\a#""5"
18,Q:E[8t,Ob/z,Q:E[8tOb/z
19, i,hF, ihF
20,Cse,@%1H,Cse@%1H
21,gkP,yK,gkPyK
22,}q,oI=,}qoI=
23,|V(6J,;ZS,|V(6J;ZS
24,^w2-,f`p,^w2-f`p
25,$Ll,3nT,$Ll3nT
26,M7,Nu',M7Nu'
27,X4,B!,X4B!
28,",~",*,",~*"
29,),rc,)rc
30,m,G,mG
31,>0,&U,>0&U
32,WA,_vR,WA_vR
33,O,b/z,Ob/z
34,d,9,d9
35,D],{j.Y,D]{j.Y
36,?,x+,?x+
37,<\a,"#""5","<\a#""5"
38,Q,:E[8t,Q:E[8t
39, ,i, i
40,h,F,hF
41,@%,1H,@%1H
42,y,K,yK
43,3n,T,3nT
44,^w,2-,^w2-
45,|,V(6J,|V(6J
46,;,ZS,;ZS
47,gk,P,gkP
48,},q,}q
49,f`,p,f`p
50,$L,l,$Ll
51,o,I=,oI=
52,C,se,Cse
53,N,u',Nu'
54,",",~,",~"
55,X,4,X4
56,M,7,M7
57,B,!,B!
58,r,c,rc
59,&,U,&U
60,b,/z,b/z
61,<\,a,<\a
62,{j,.Y,{j.Y
63,>,0,>0
64,D,],D]
65,_,vR,_vR
66,:E,[8t,:E[8t
67,W,A,WA
68,x,+,x+
69,"#""",5,"#""5"
70,1,H,1H
71,u,',u'
72,^,w,^w
73,@,%,@%
74,g,k,gk
75,$,L,$L
76,V(6,J,V(6J
77,3,n,3n
78,I,=,I=
79,Z,S,ZS
80,s,e,se
81,f,`,f`
82,2,-,2-
83,v,R,vR
84,:,E,:E
85,/,z,/z
86,#,"""","#"""
87,.,Y,.Y
88,[,8t,[8t
89,{,j,{j
90,<,\,<\
91,V,(6,V(6
92,(,6,(6
93,8,t,8t
