,left,right,combine
0,yIWH-SsO=ev :`|rQB}x;l#mk7T~pYXwo8,"*,KPVL^n&@GNAqc.Z[/{z+4?t0gRb_5j1%F(hu36\]<)$Eia>M9dUJf2'""DC!","yIWH-SsO=ev :`|rQB}x;l#mk7T~pYXwo8*,KPVL^n&@GNAqc.Z[/{z+4?t0gRb_5j1%F(hu36\]<)$Eia>M9dUJf2'""DC!"
1,"*,KPVL^n&@GNAqc.Z[/{z+","4?t0gRb_5j1%F(hu36\]<)$Eia>M9dUJf2'""DC!","*,KPVL^n&@GNAqc.Z[/{z+4?t0gRb_5j1%F(hu36\]<)$Eia>M9dUJf2'""DC!"
2,yIWH-SsO=ev :`,|rQB}x;l#mk7T~pYXwo8,yIWH-SsO=ev :`|rQB}x;l#mk7T~pYXwo8
3,4?t0gRb_5j1%F(hu36\]<)$E,"ia>M9dUJf2'""DC!","4?t0gRb_5j1%F(hu36\]<)$Eia>M9dUJf2'""DC!"
4,"*,KPVL^n&@GNA",qc.Z[/{z+,"*,KPVL^n&@GNAqc.Z[/{z+"
5,|rQB}x;l#,mk7T~pYXwo8,|rQB}x;l#mk7T~pYXwo8
6,yIWH-SsO,=ev :`,yIWH-SsO=ev :`
7,ia>M9dUJf,"2'""DC!","ia>M9dUJf2'""DC!"
8,4?t0gRb_5j1%,F(hu36\]<)$E,4?t0gRb_5j1%F(hu36\]<)$E
9,qc.Z,[/{z+,qc.Z[/{z+
10,"*,KPVL",^n&@GNA,"*,KPVL^n&@GNA"
11,|rQB},x;l#,|rQB}x;l#
12,mk7T~,pYXwo8,mk7T~pYXwo8
13,=ev, :`,=ev :`
14,yIWH,-SsO,yIWH-SsO
15,2',"""DC!","2'""DC!"
16,4?t0gRb_,5j1%,4?t0gRb_5j1%
17,F(hu36\],<)$E,F(hu36\]<)$E
18,ia>M9,dUJf,ia>M9dUJf
19,[/,{z+,[/{z+
20,qc,.Z,qc.Z
21,^n&,@GNA,^n&@GNA
22,"*,KP",VL,"*,KPVL"
23,|r,QB},|rQB}
24,pYX,wo8,pYXwo8
25,x;,l#,x;l#
26,mk,7T~,mk7T~
27, ,:`, :`
28,=,ev,=ev
29,-S,sO,-SsO
30,yI,WH,yIWH
31,"""",DC!,"""DC!"
32,2,',2'
33,<),$E,<)$E
34,ia,>M9,ia>M9
35,F(hu,36\],F(hu36\]
36,5j,1%,5j1%
37,4?t0,gRb_,4?t0gRb_
38,dU,Jf,dUJf
39,{,z+,{z+
40,[,/,[/
41,q,c,qc
42,.,Z,.Z
43,@GN,A,@GNA
44,^n,&,^n&
45,x,;,x;
46,7T,~,7T~
47,"*,",KP,"*,KP"
48,|,r,|r
49,:,`,:`
50,p,YX,pYX
51,m,k,mk
52,Q,B},QB}
53,V,L,VL
54,l,#,l#
55,w,o8,wo8
56,s,O,sO
57,y,I,yI
58,e,v,ev
59,-,S,-S
60,D,C!,DC!
61,W,H,WH
62,5,j,5j
63,d,U,dU
64,$,E,$E
65,z,+,z+
66,F(h,u,F(hu
67,J,f,Jf
68,i,a,ia
69,1,%,1%
70,gR,b_,gRb_
71,36\,],36\]
72,4,?t0,4?t0
73,>M,9,>M9
74,<,),<)
75,@,GN,@GN
76,^,n,^n
77,*,",","*,"
78,B,},B}
79,K,P,KP
80,o,8,o8
81,Y,X,YX
82,7,T,7T
83,C,!,C!
84,>,M,>M
85,g,R,gR
86,G,N,GN
87,?t,0,?t0
88,b,_,b_
89,F,(h,F(h
90,36,\,36\
91,3,6,36
92,?,t,?t
93,(,h,(h
