,left,right,combine
0,B2s7W|JL/fjO`;]5(wE:!Felb=Ro9r\4Dta@hYkV>,"m6+KQ""^1#,uS$PcGdg~yMni?U}%Z3{vX[zp)<0x.Cq'N_ &I8*HAT-","B2s7W|JL/fjO`;]5(wE:!Felb=Ro9r\4Dta@hYkV>m6+KQ""^1#,uS$PcGdg~yMni?U}%Z3{vX[zp)<0x.Cq'N_ &I8*HAT-"
1,"m6+KQ""^1#,uS$PcGdg~yMni?U",}%Z3{vX[zp)<0x.Cq'N_ &I8*HAT-,"m6+KQ""^1#,uS$PcGdg~yMni?U}%Z3{vX[zp)<0x.Cq'N_ &I8*HAT-"
2,B2s7W|JL/fjO`;]5(w,E:!Felb=Ro9r\4Dta@hYkV>,B2s7W|JL/fjO`;]5(wE:!Felb=Ro9r\4Dta@hYkV>
3,}%Z3{vX[zp)<0x,.Cq'N_ &I8*HAT-,}%Z3{vX[zp)<0x.Cq'N_ &I8*HAT-
4,"m6+KQ""^1#",",uS$PcGdg~yMni?U","m6+KQ""^1#,uS$PcGdg~yMni?U"
5,E:!Felb=Ro9,r\4Dta@hYkV>,E:!Felb=Ro9r\4Dta@hYkV>
6,B2s7W|JL,/fjO`;]5(w,B2s7W|JL/fjO`;]5(w
7,.Cq'N_ ,&I8*HAT-,.Cq'N_ &I8*HAT-
8,}%Z3{vX,[zp)<0x,}%Z3{vX[zp)<0x
9,",uS$PcGd",g~yMni?U,",uS$PcGdg~yMni?U"
10,m6+K,"Q""^1#","m6+KQ""^1#"
11,r\4Dta,@hYkV>,r\4Dta@hYkV>
12,E:!Fe,lb=Ro9,E:!Felb=Ro9
13,/fjO`,;]5(w,/fjO`;]5(w
14,B2s7,W|JL,B2s7W|JL
15,&I8*,HAT-,&I8*HAT-
16,.Cq',N_ ,.Cq'N_ 
17,[zp,)<0x,[zp)<0x
18,}%Z3,{vX,}%Z3{vX
19,g~yMni,?U,g~yMni?U
20,"Q""^",1#,"Q""^1#"
21,",uS$",PcGd,",uS$PcGd"
22,m6,+K,m6+K
23,lb,=Ro9,lb=Ro9
24,r\,4Dta,r\4Dta
25,@hY,kV>,@hYkV>
26,E:,!Fe,E:!Fe
27,;]5,(w,;]5(w
28,HA,T-,HAT-
29,/f,jO`,/fjO`
30,W|,JL,W|JL
31,B2,s7,B2s7
32,.C,q',.Cq'
33,N_, ,N_ 
34,&I,8*,&I8*
35,)<,0x,)<0x
36,{v,X,{vX
37,[,zp,[zp
38,},%Z3,}%Z3
39,?,U,?U
40,g~yM,ni,g~yMni
41,Pc,Gd,PcGd
42,"Q""",^,"Q""^"
43,",u",S$,",uS$"
44,1,#,1#
45,+,K,+K
46,m,6,m6
47,r,\,r\
48,@h,Y,@hY
49,kV,>,kV>
50,l,b,lb
51,=,Ro9,=Ro9
52,4D,ta,4Dta
53,E,:,E:
54,!F,e,!Fe
55,(,w,(w
56,s,7,s7
57,H,A,HA
58,B,2,B2
59,;,]5,;]5
60,W,|,W|
61,/,f,/f
62,J,L,JL
63,T,-,T-
64,jO,`,jO`
65,8,*,8*
66,.,C,.C
67,0,x,0x
68,N,_,N_
69,q,',q'
70,&,I,&I
71,),<,)<
72,{,v,{v
73,z,p,zp
74,%,Z3,%Z3
75,g,~yM,g~yM
76,n,i,ni
77,P,c,Pc
78,",",u,",u"
79,G,d,Gd
80,S,$,S$
81,Q,"""","Q"""
82,t,a,ta
83,@,h,@h
84,k,V,kV
85,Ro,9,Ro9
86,4,D,4D
87,!,F,!F
88,j,O,jO
89,],5,]5
90,Z,3,Z3
91,~,yM,~yM
92,R,o,Ro
93,y,M,yM
