,left,right,combine
0,"Ci}TnIwX,_ @.&M\k""y>lDz{1B#7p%8fev0+R!",xYcLm]:KaJu23gsNSh|r$'q6^FAd*4(H?t9o;U/OZ<)-=WGV`Pbj~Q[E5,"Ci}TnIwX,_ @.&M\k""y>lDz{1B#7p%8fev0+R!xYcLm]:KaJu23gsNSh|r$'q6^FAd*4(H?t9o;U/OZ<)-=WGV`Pbj~Q[E5"
1,xYcLm]:KaJu23gsNSh|r$'q6^F,Ad*4(H?t9o;U/OZ<)-=WGV`Pbj~Q[E5,xYcLm]:KaJu23gsNSh|r$'q6^FAd*4(H?t9o;U/OZ<)-=WGV`Pbj~Q[E5
2,"Ci}TnIwX,_ @.&M\","k""y>lDz{1B#7p%8fev0+R!","Ci}TnIwX,_ @.&M\k""y>lDz{1B#7p%8fev0+R!"
3,Ad*4(H?t9o;U,/OZ<)-=WGV`Pbj~Q[E5,Ad*4(H?t9o;U/OZ<)-=WGV`Pbj~Q[E5
4,xYcLm]:KaJu,23gsNSh|r$'q6^F,xYcLm]:KaJu23gsNSh|r$'q6^F
5,"k""y>lDz{1B",#7p%8fev0+R!,"k""y>lDz{1B#7p%8fev0+R!"
6,Ci}TnIw,"X,_ @.&M\","Ci}TnIwX,_ @.&M\"
7,/OZ<)-=W,GV`Pbj~Q[E5,/OZ<)-=WGV`Pbj~Q[E5
8,Ad*4(H?,t9o;U,Ad*4(H?t9o;U
9,23gsNSh|,r$'q6^F,23gsNSh|r$'q6^F
10,xYcL,m]:KaJu,xYcLm]:KaJu
11,#7p%8fev,0+R!,#7p%8fev0+R!
12,"X,_ ",@.&M\,"X,_ @.&M\"
13,"k""y>lD",z{1B,"k""y>lDz{1B"
14,Ci},TnIw,Ci}TnIw
15,GV`Pbj~Q,[E5,GV`Pbj~Q[E5
16,/OZ<,)-=W,/OZ<)-=W
17,t9,o;U,t9o;U
18,r$',q6^F,r$'q6^F
19,23gs,NSh|,23gsNSh|
20,Ad*,4(H?,Ad*4(H?
21,m],:KaJu,m]:KaJu
22,xY,cL,xYcL
23,0+,R!,0+R!
24,"k""y",>lD,"k""y>lD"
25,"X,_", ,"X,_ "
26,#7p%,8fev,#7p%8fev
27,@.&,M\,@.&M\
28,z,{1B,z{1B
29,T,nIw,TnIw
30,C,i},Ci}
31,[E,5,[E5
32,/O,Z<,/OZ<
33,)-,=W,)-=W
34,GV,`Pbj~Q,GV`Pbj~Q
35,o,;U,o;U
36,t,9,t9
37,r,$',r$'
38,q6,^F,q6^F
39,:KaJ,u,:KaJu
40,23,gs,23gs
41,N,Sh|,NSh|
42,Ad,*,Ad*
43,4,(H?,4(H?
44,m,],m]
45,x,Y,xY
46,c,L,cL
47,R,!,R!
48,"X,",_,"X,_"
49,k,"""y","k""y"
50,8f,ev,8fev
51,0,+,0+
52,M,\,M\
53,>,lD,>lD
54,{1,B,{1B
55,@,.&,@.&
56,#7,p%,#7p%
57,n,Iw,nIw
58,i,},i}
59,`,Pbj~Q,`Pbj~Q
60,[,E,[E
61,/,O,/O
62,Z,<,Z<
63,G,V,GV
64,),-,)-
65,=,W,=W
66,;,U,;U
67,g,s,gs
68,:K,aJ,:KaJ
69,$,',$'
70,S,h|,Sh|
71,q,6,q6
72,(H,?,(H?
73,A,d,Ad
74,^,F,^F
75,2,3,23
76,p,%,p%
77,#,7,#7
78,X,",","X,"
79,{,1,{1
80,I,w,Iw
81,e,v,ev
82,8,f,8f
83,.,&,.&
84,"""",y,"""y"
85,l,D,lD
86,Pb,j~Q,Pbj~Q
87,(,H,(H
88,a,J,aJ
89,h,|,h|
90,:,K,:K
91,j,~Q,j~Q
92,~,Q,~Q
93,P,b,Pb
