,left,right,combine
0,"Pse5F10E&3;d:,!l]J+bovm9D)I?C`*4H|OajfQ Ah","uxrWKZzYS.q8$n2<'[/@cN~(y7>LX_""^pB{-\M#V=Rt6UiT%}gwkG","Pse5F10E&3;d:,!l]J+bovm9D)I?C`*4H|OajfQ AhuxrWKZzYS.q8$n2<'[/@cN~(y7>LX_""^pB{-\M#V=Rt6UiT%}gwkG"
1,uxrWKZzYS.q8$n2<'[/@cN~(y7,">LX_""^pB{-\M#V=Rt6UiT%}gwkG","uxrWKZzYS.q8$n2<'[/@cN~(y7>LX_""^pB{-\M#V=Rt6UiT%}gwkG"
2,"Pse5F10E&3;d:,!l]J+bovm9",D)I?C`*4H|OajfQ Ah,"Pse5F10E&3;d:,!l]J+bovm9D)I?C`*4H|OajfQ Ah"
3,">LX_""^pB{-\M",#V=Rt6UiT%}gwkG,">LX_""^pB{-\M#V=Rt6UiT%}gwkG"
4,uxrWKZzYS.q8$,n2<'[/@cN~(y7,uxrWKZzYS.q8$n2<'[/@cN~(y7
5,D)I?C`*4,H|OajfQ Ah,D)I?C`*4H|OajfQ Ah
6,"Pse5F10E&3;d:,!",l]J+bovm9,"Pse5F10E&3;d:,!l]J+bovm9"
7,#V=Rt6,UiT%}gwkG,#V=Rt6UiT%}gwkG
8,">LX_""",^pB{-\M,">LX_""^pB{-\M"
9,uxrWKZ,zYS.q8$,uxrWKZzYS.q8$
10,n2<'[/@,cN~(y7,n2<'[/@cN~(y7
11,H|Oa,jfQ Ah,H|OajfQ Ah
12,D)I?,C`*4,D)I?C`*4
13,l]J+,bovm9,l]J+bovm9
14,UiT%,}gwkG,UiT%}gwkG
15,Pse5F10E,"&3;d:,!","Pse5F10E&3;d:,!"
16,#V,=Rt6,#V=Rt6
17,^p,B{-\M,^pB{-\M
18,uxr,WKZ,uxrWKZ
19,n2<,'[/@,n2<'[/@
20,>LX,"_""",">LX_"""
21,cN~,(y7,cN~(y7
22,zYS,.q8$,zYS.q8$
23,jfQ, Ah,jfQ Ah
24,D),I?,D)I?
25,bo,vm9,bovm9
26,H|,Oa,H|Oa
27,C`,*4,C`*4
28,l],J+,l]J+
29,UiT,%,UiT%
30,}gw,kG,}gwkG
31,Pse5,F10E,Pse5F10E
32,&3;d:,",!","&3;d:,!"
33,=,Rt6,=Rt6
34,^,p,^p
35,B{-\,M,B{-\M
36,#,V,#V
37, ,Ah, Ah
38,_,"""","_"""
39,u,xr,uxr
40,zY,S,zYS
41,cN,~,cN~
42,WK,Z,WKZ
43,n,2<,n2<
44,.q,8$,.q8$
45,>,LX,>LX
46,(,y7,(y7
47,'[,/@,'[/@
48,j,fQ,jfQ
49,v,m9,vm9
50,D,),D)
51,*,4,*4
52,b,o,bo
53,O,a,Oa
54,C,`,C`
55,J,+,J+
56,I,?,I?
57,H,|,H|
58,l,],l]
59,Rt,6,Rt6
60,",",!,",!"
61,U,iT,UiT
62,P,se5,Pse5
63,&3;,d:,&3;d:
64,F,10E,F10E
65,k,G,kG
66,}g,w,}gw
67,B,{-\,B{-\
68,A,h,Ah
69,8,$,8$
70,z,Y,zY
71,f,Q,fQ
72,2,<,2<
73,c,N,cN
74,/,@,/@
75,x,r,xr
76,.,q,.q
77,L,X,LX
78,W,K,WK
79,',[,'[
80,y,7,y7
81,m,9,m9
82,{-,\,{-\
83,},g,}g
84,i,T,iT
85,d,:,d:
86,R,t,Rt
87,&3,;,&3;
88,10,E,10E
89,se,5,se5
90,s,e,se
91,1,0,10
92,&,3,&3
93,{,-,{-
