,left,right,combine
0,"3_?R$B/#)>^+9oJ|`xfd }yEKhPn&L54,kTw2@","OF.Wir{bCZUz=Icm7[H]0N8%DVA:;!""1eQu<MGvpaj~S-sg\XtY6l(*q'","3_?R$B/#)>^+9oJ|`xfd }yEKhPn&L54,kTw2@OF.Wir{bCZUz=Icm7[H]0N8%DVA:;!""1eQu<MGvpaj~S-sg\XtY6l(*q'"
1,OF.Wir{bCZUz=Icm7[H]0N8%DVA:,";!""1eQu<MGvpaj~S-sg\XtY6l(*q'","OF.Wir{bCZUz=Icm7[H]0N8%DVA:;!""1eQu<MGvpaj~S-sg\XtY6l(*q'"
2,3_?R$B/#)>^+9oJ|`,"xfd }yEKhPn&L54,kTw2@","3_?R$B/#)>^+9oJ|`xfd }yEKhPn&L54,kTw2@"
3,";!""1eQu<MGvpaj~",S-sg\XtY6l(*q',";!""1eQu<MGvpaj~S-sg\XtY6l(*q'"
4,OF.Wir{bCZU,z=Icm7[H]0N8%DVA:,OF.Wir{bCZUz=Icm7[H]0N8%DVA:
5,xfd }yEKhPn,"&L54,kTw2@","xfd }yEKhPn&L54,kTw2@"
6,3_?R$B,/#)>^+9oJ|`,3_?R$B/#)>^+9oJ|`
7,S-sg\X,tY6l(*q',S-sg\XtY6l(*q'
8,";!""1eQu<MG",vpaj~,";!""1eQu<MGvpaj~"
9,z=Icm7[H],0N8%DVA:,z=Icm7[H]0N8%DVA:
10,OF.W,ir{bCZU,OF.Wir{bCZU
11,"&L54,k",Tw2@,"&L54,kTw2@"
12,/#)>^,+9oJ|`,/#)>^+9oJ|`
13,xfd },yEKhPn,xfd }yEKhPn
14,3_?R,$B,3_?R$B
15,tY6l,(*q',tY6l(*q'
16,S-,sg\X,S-sg\X
17,vpa,j~,vpaj~
18,0N8,%DVA:,0N8%DVA:
19,z=I,cm7[H],z=Icm7[H]
20,";!""1",eQu<MG,";!""1eQu<MG"
21,ir{bC,ZU,ir{bCZU
22,OF,.W,OF.W
23,Tw,2@,Tw2@
24,/#,)>^,/#)>^
25,yEK,hPn,yEKhPn
26,xf,d },xfd }
27,+9,oJ|`,+9oJ|`
28,&L5,"4,k","&L54,k"
29,$,B,$B
30,3_,?R,3_?R
31,sg,\X,sg\X
32,tY,6l,tY6l
33,(*,q',(*q'
34,S,-,S-
35,j,~,j~
36,cm7,[H],cm7[H]
37,0N,8,0N8
38,%DV,A:,%DVA:
39,eQu<,MG,eQu<MG
40,;,"!""1",";!""1"
41,z=,I,z=I
42,v,pa,vpa
43,Z,U,ZU
44,i,r{bC,ir{bC
45,2,@,2@
46,.,W,.W
47,T,w,Tw
48,O,F,OF
49,y,EK,yEK
50,),>^,)>^
51,x,f,xf
52,+,9,+9
53,hP,n,hPn
54,&L,5,&L5
55,/,#,/#
56,oJ,|`,oJ|`
57,"4,",k,"4,k"
58,d, },d }
59,?,R,?R
60,(,*,(*
61,\,X,\X
62,q,',q'
63,6,l,6l
64,s,g,sg
65,t,Y,tY
66,3,_,3_
67,!,"""1","!""1"
68,0,N,0N
69,z,=,z=
70,M,G,MG
71,p,a,pa
72,[,H],[H]
73,c,m7,cm7
74,A,:,A:
75,%D,V,%DV
76,eQu,<,eQu<
77,r,{bC,r{bC
78, ,}, }
79,4,",","4,"
80,o,J,oJ
81,E,K,EK
82,>,^,>^
83,&,L,&L
84,|,`,|`
85,h,P,hP
86,"""",1,"""1"
87,m,7,m7
88,H,],H]
89,%,D,%D
90,eQ,u,eQu
91,{b,C,{bC
92,{,b,{b
93,e,Q,eQ
