,left,right,combine
0,"r6*7yS=!qoL5s3l4Eg~8CH+pnc""_1?j]^-xNT/dV(2} v","`GJfZ%):>.tw&YRbF#['K|AD0WIX$BhOuz{Q,M9a@ieP<U\mk;","r6*7yS=!qoL5s3l4Eg~8CH+pnc""_1?j]^-xNT/dV(2} v`GJfZ%):>.tw&YRbF#['K|AD0WIX$BhOuz{Q,M9a@ieP<U\mk;"
1,`GJfZ%):>.tw&YRbF#['K,"|AD0WIX$BhOuz{Q,M9a@ieP<U\mk;","`GJfZ%):>.tw&YRbF#['K|AD0WIX$BhOuz{Q,M9a@ieP<U\mk;"
2,"r6*7yS=!qoL5s3l4Eg~8CH+pnc""_1",?j]^-xNT/dV(2} v,"r6*7yS=!qoL5s3l4Eg~8CH+pnc""_1?j]^-xNT/dV(2} v"
3,|AD0WIX$BhOuz,"{Q,M9a@ieP<U\mk;","|AD0WIX$BhOuz{Q,M9a@ieP<U\mk;"
4,`GJfZ%):,>.tw&YRbF#['K,`GJfZ%):>.tw&YRbF#['K
5,?j]^-x,NT/dV(2} v,?j]^-xNT/dV(2} v
6,r6*7yS=!qoL5s3l,"4Eg~8CH+pnc""_1","r6*7yS=!qoL5s3l4Eg~8CH+pnc""_1"
7,"{Q,M9a",@ieP<U\mk;,"{Q,M9a@ieP<U\mk;"
8,|AD0WIX$,BhOuz,|AD0WIX$BhOuz
9,>.tw&,YRbF#['K,>.tw&YRbF#['K
10,NT/dV(,2} v,NT/dV(2} v
11,`GJf,Z%):,`GJfZ%):
12,?j],^-x,?j]^-x
13,@ieP<U\,mk;,@ieP<U\mk;
14,r6*7yS=!qo,L5s3l,r6*7yS=!qoL5s3l
15,4Eg~8CH+p,"nc""_1","4Eg~8CH+pnc""_1"
16,"{Q,",M9a,"{Q,M9a"
17,BhO,uz,BhOuz
18,YRbF,#['K,YRbF#['K
19,|AD0,WIX$,|AD0WIX$
20,>.,tw&,>.tw&
21,`G,Jf,`GJf
22,Z%,):,Z%):
23,2}, v,2} v
24,NT/d,V(,NT/dV(
25,^-,x,^-x
26,L5,s3l,L5s3l
27,mk,;,mk;
28,?,j],?j]
29,nc,"""_1","nc""_1"
30,r6*7yS,=!qo,r6*7yS=!qo
31,4Eg~8,CH+p,4Eg~8CH+p
32,@ieP<,U\,@ieP<U\
33,M,9a,M9a
34,{,"Q,","{Q,"
35,u,z,uz
36,Bh,O,BhO
37,|A,D0,|AD0
38,WI,X$,WIX$
39,tw,&,tw&
40,#[,'K,#['K
41,YR,bF,YRbF
42,NT/,d,NT/d
43,V,(,V(
44,),:,):
45,`,G,`G
46,>,.,>.
47,J,f,Jf
48,Z,%,Z%
49, ,v, v
50,2,},2}
51,@i,eP<,@ieP<
52,^,-,^-
53,r6*,7yS,r6*7yS
54,CH+,p,CH+p
55,9,a,9a
56,n,c,nc
57,=!q,o,=!qo
58,U,\,U\
59,"""_",1,"""_1"
60,s3,l,s3l
61,m,k,mk
62,4Eg,~8,4Eg~8
63,L,5,L5
64,j,],j]
65,Q,",","Q,"
66,#,[,#[
67,|,A,|A
68,B,h,Bh
69,b,F,bF
70,',K,'K
71,X,$,X$
72,Y,R,YR
73,D,0,D0
74,W,I,WI
75,t,w,tw
76,NT,/,NT/
77,s,3,s3
78,"""",_,"""_"
79,@,i,@i
80,r6,*,r6*
81,4E,g,4Eg
82,7y,S,7yS
83,~,8,~8
84,CH,+,CH+
85,e,P<,eP<
86,=!,q,=!q
87,=,!,=!
88,r,6,r6
89,7,y,7y
90,N,T,NT
91,C,H,CH
92,4,E,4E
93,P,<,P<
