,left,right,combine
0,2:D}O^TS~3;|lt_qJsGUn*v5Hg9\C+bRp-K]XIM6$,")e1F,h4ox?N!@7`'W.az{iy%(L=fmw0QAr >dEu/&B#""<Pkj8[cYVZ","2:D}O^TS~3;|lt_qJsGUn*v5Hg9\C+bRp-K]XIM6$)e1F,h4ox?N!@7`'W.az{iy%(L=fmw0QAr >dEu/&B#""<Pkj8[cYVZ"
1,")e1F,h4ox?N!@7`'W.az{iy%(L=fm","w0QAr >dEu/&B#""<Pkj8[cYVZ",")e1F,h4ox?N!@7`'W.az{iy%(L=fmw0QAr >dEu/&B#""<Pkj8[cYVZ"
2,2:D}O^TS~3;|lt_qJsG,Un*v5Hg9\C+bRp-K]XIM6$,2:D}O^TS~3;|lt_qJsGUn*v5Hg9\C+bRp-K]XIM6$
3,w0QAr >dEu/,"&B#""<Pkj8[cYVZ","w0QAr >dEu/&B#""<Pkj8[cYVZ"
4,")e1F,h4ox?N!@",7`'W.az{iy%(L=fm,")e1F,h4ox?N!@7`'W.az{iy%(L=fm"
5,Un*v5Hg9\C+bR,p-K]XIM6$,Un*v5Hg9\C+bRp-K]XIM6$
6,2:D}O^T,S~3;|lt_qJsG,2:D}O^TS~3;|lt_qJsG
7,"&B#""<Pk",j8[cYVZ,"&B#""<Pkj8[cYVZ"
8,w0QAr >,dEu/,w0QAr >dEu/
9,")e1F,h",4ox?N!@,")e1F,h4ox?N!@"
10,7`'W.az{,iy%(L=fm,7`'W.az{iy%(L=fm
11,p-K],XIM6$,p-K]XIM6$
12,S~3;|,lt_qJsG,S~3;|lt_qJsG
13,Un*v5,Hg9\C+bR,Un*v5Hg9\C+bR
14,2:D,}O^T,2:D}O^T
15,&B#,"""<Pk","&B#""<Pk"
16,j8[c,YVZ,j8[cYVZ
17,dE,u/,dEu/
18,w0QAr, >,w0QAr >
19,iy%,(L=fm,iy%(L=fm
20,7`'W.,az{,7`'W.az{
21,4ox,?N!@,4ox?N!@
22,)e1,"F,h",")e1F,h"
23,XI,M6$,XIM6$
24,p-,K],p-K]
25,lt_,qJsG,lt_qJsG
26,S~3,;|,S~3;|
27,Hg9\C+,bR,Hg9\C+bR
28,Un,*v5,Un*v5
29,},O^T,}O^T
30,2:,D,2:D
31,j8,[c,j8[c
32,YV,Z,YVZ
33,&,B#,&B#
34,"""<",Pk,"""<Pk"
35,u,/,u/
36,d,E,dE
37, ,>, >
38,)e,1,)e1
39,4o,x,4ox
40,?N,!@,?N!@
41,(L=,fm,(L=fm
42,7`'W,.,7`'W.
43,a,z{,az{
44,w0Q,Ar,w0QAr
45,"F,",h,"F,h"
46,iy,%,iy%
47,X,I,XI
48,p,-,p-
49,M6,$,M6$
50,K,],K]
51,b,R,bR
52,S,~3,S~3
53,U,n,Un
54,lt,_,lt_
55,*,v5,*v5
56,O^,T,O^T
57,Hg9\,C+,Hg9\C+
58,;,|,;|
59,qJ,sG,qJsG
60,[,c,[c
61,2,:,2:
62,"""",<,"""<"
63,Y,V,YV
64,P,k,Pk
65,j,8,j8
66,B,#,B#
67,4,o,4o
68,f,m,fm
69,i,y,iy
70,!,@,!@
71,F,",","F,"
72,A,r,Ar
73,?,N,?N
74,z,{,z{
75,(L,=,(L=
76,w0,Q,w0Q
77,7,`'W,7`'W
78,),e,)e
79,M,6,M6
80,l,t,lt
81,q,J,qJ
82,O,^,O^
83,s,G,sG
84,v,5,v5
85,~,3,~3
86,Hg9,\,Hg9\
87,C,+,C+
88,w,0,w0
89,(,L,(L
90,`',W,`'W
91,H,g9,Hg9
92,g,9,g9
93,`,',`'
