,left,right,combine
0,"i-f<gN2pm8}*My]^.dcP/4qb;@=ahR#{J,7+(0 ","Le[$j!oVA'Q>%TGDw1k)XlrsF"":O\vUtz|_K6u`YxIB3?5nCZH&9~SEW","i-f<gN2pm8}*My]^.dcP/4qb;@=ahR#{J,7+(0 Le[$j!oVA'Q>%TGDw1k)XlrsF"":O\vUtz|_K6u`YxIB3?5nCZH&9~SEW"
1,Le[$j!oVA'Q>%TGDw1k)Xlr,"sF"":O\vUtz|_K6u`YxIB3?5nCZH&9~SEW","Le[$j!oVA'Q>%TGDw1k)XlrsF"":O\vUtz|_K6u`YxIB3?5nCZH&9~SEW"
2,i-f<gN2pm8}*My]^.dcP/4,"qb;@=ahR#{J,7+(0 ","i-f<gN2pm8}*My]^.dcP/4qb;@=ahR#{J,7+(0 "
3,"sF"":O\vUtz|_K6u",`YxIB3?5nCZH&9~SEW,"sF"":O\vUtz|_K6u`YxIB3?5nCZH&9~SEW"
4,Le[$j!oVA'Q>%,TGDw1k)Xlr,Le[$j!oVA'Q>%TGDw1k)Xlr
5,qb;@=ahR,"#{J,7+(0 ","qb;@=ahR#{J,7+(0 "
6,i-f<gN2pm8}*My,]^.dcP/4,i-f<gN2pm8}*My]^.dcP/4
7,`YxIB3,?5nCZH&9~SEW,`YxIB3?5nCZH&9~SEW
8,"sF"":O",\vUtz|_K6u,"sF"":O\vUtz|_K6u"
9,TGDw1,k)Xlr,TGDw1k)Xlr
10,Le[$j!,oVA'Q>%,Le[$j!oVA'Q>%
11,"#{J,",7+(0 ,"#{J,7+(0 "
12,qb;@,=ahR,qb;@=ahR
13,]^,.dcP/4,]^.dcP/4
14,`Y,xIB3,`YxIB3
15,?5nCZ,H&9~SEW,?5nCZH&9~SEW
16,i-f<gN2p,m8}*My,i-f<gN2pm8}*My
17,\vU,tz|_K6u,\vUtz|_K6u
18,sF,""":O","sF"":O"
19,k)X,lr,k)Xlr
20,Le,[$j!,Le[$j!
21,oVA,'Q>%,oVA'Q>%
22,TG,Dw1,TGDw1
23,7+,(0 ,7+(0 
24,#{,"J,","#{J,"
25,qb,;@,qb;@
26,=a,hR,=ahR
27,.dcP/,4,.dcP/4
28,H&9,~SEW,H&9~SEW
29,tz|_K,6u,tz|_K6u
30,?5,nCZ,?5nCZ
31,xI,B3,xIB3
32,`,Y,`Y
33,m8,}*My,m8}*My
34,],^,]^
35,i-f<g,N2p,i-f<gN2p
36,\,vU,\vU
37,""":",O,""":O"
38,s,F,sF
39,l,r,lr
40,T,G,TG
41,L,e,Le
42,o,VA,oVA
43,D,w1,Dw1
44,k),X,k)X
45,'Q,>%,'Q>%
46,[$,j!,[$j!
47,(0, ,(0 
48,h,R,hR
49,#,{,#{
50,=,a,=a
51,J,",","J,"
52,7,+,7+
53,;,@,;@
54,q,b,qb
55,.dcP,/,.dcP/
56,x,I,xI
57,}*,My,}*My
58,6,u,6u
59,i-,f<g,i-f<g
60,~SE,W,~SEW
61,?,5,?5
62,N2,p,N2p
63,m,8,m8
64,tz,|_K,tz|_K
65,H&,9,H&9
66,B,3,B3
67,nC,Z,nCZ
68,v,U,vU
69,"""",:,""":"
70,(,0,(0
71,[,$,[$
72,k,),k)
73,',Q,'Q
74,V,A,VA
75,>,%,>%
76,w,1,w1
77,j,!,j!
78,M,y,My
79,.d,cP,.dcP
80,~,SE,~SE
81,|,_K,|_K
82,i,-,i-
83,N,2,N2
84,H,&,H&
85,n,C,nC
86,},*,}*
87,t,z,tz
88,f<,g,f<g
89,f,<,f<
90,c,P,cP
91,.,d,.d
92,S,E,SE
93,_,K,_K
