,left,right,combine
0,"EvOlM)W0D7K@3a9^{F,-Grn]6\b!?<|T+P5C","x*=mydp%c#L'1w; tk(j}iqu[&$Rzg`YSA4>.Xf8~/IJUhNVHZsoQ:""2B_e","EvOlM)W0D7K@3a9^{F,-Grn]6\b!?<|T+P5Cx*=mydp%c#L'1w; tk(j}iqu[&$Rzg`YSA4>.Xf8~/IJUhNVHZsoQ:""2B_e"
1,x*=mydp%c#L'1w; tk(j}iqu[&$,"Rzg`YSA4>.Xf8~/IJUhNVHZsoQ:""2B_e","x*=mydp%c#L'1w; tk(j}iqu[&$Rzg`YSA4>.Xf8~/IJUhNVHZsoQ:""2B_e"
2,EvOlM)W0D7K@3a,"9^{F,-Grn]6\b!?<|T+P5C","EvOlM)W0D7K@3a9^{F,-Grn]6\b!?<|T+P5C"
3,Rzg`YSA4>.Xf8~/IJ,"UhNVHZsoQ:""2B_e","Rzg`YSA4>.Xf8~/IJUhNVHZsoQ:""2B_e"
4,x*=mydp%c#L,'1w; tk(j}iqu[&$,x*=mydp%c#L'1w; tk(j}iqu[&$
5,"9^{F,-Grn]6",\b!?<|T+P5C,"9^{F,-Grn]6\b!?<|T+P5C"
6,EvOlM),W0D7K@3a,EvOlM)W0D7K@3a
7,UhNVHZso,"Q:""2B_e","UhNVHZsoQ:""2B_e"
8,Rzg`YSA,4>.Xf8~/IJ,Rzg`YSA4>.Xf8~/IJ
9,'1w; ,tk(j}iqu[&$,'1w; tk(j}iqu[&$
10,\b!?<|,T+P5C,\b!?<|T+P5C
11,x*=mydp,%c#L,x*=mydp%c#L
12,9^{F,",-Grn]6","9^{F,-Grn]6"
13,W0D7,K@3a,W0D7K@3a
14,Ev,OlM),EvOlM)
15,"Q:""2B",_e,"Q:""2B_e"
16,Rzg`,YSA,Rzg`YSA
17,tk(j}iq,u[&$,tk(j}iqu[&$
18,4>.X,f8~/IJ,4>.Xf8~/IJ
19,UhNV,HZso,UhNVHZso
20,'1,w; ,'1w; 
21,\b!?,<|,\b!?<|
22,%c,#L,%c#L
23,T+,P5C,T+P5C
24,x*=m,ydp,x*=mydp
25,",-",Grn]6,",-Grn]6"
26,Ol,M),OlM)
27,K@,3a,K@3a
28,9^,{F,9^{F
29,W0,D7,W0D7
30,E,v,Ev
31,_,e,_e
32,4>.,X,4>.X
33,R,zg`,Rzg`
34,HZ,so,HZso
35,Uh,NV,UhNV
36,u,[&$,u[&$
37,tk(j,}iq,tk(j}iq
38,Q,":""2B","Q:""2B"
39,f8,~/IJ,f8~/IJ
40,YS,A,YSA
41,w;, ,w; 
42,',1,'1
43,\b,!?,\b!?
44,%,c,%c
45,<,|,<|
46,x*,=m,x*=m
47,#,L,#L
48,y,dp,ydp
49,G,rn]6,Grn]6
50,T,+,T+
51,P5,C,P5C
52,9,^,9^
53,W,0,W0
54,K,@,K@
55,",",-,",-"
56,D,7,D7
57,3,a,3a
58,M,),M)
59,{,F,{F
60,O,l,Ol
61,f,8,f8
62,H,Z,HZ
63,N,V,NV
64,s,o,so
65,tk(,j,tk(j
66,zg,`,zg`
67,U,h,Uh
68,~,/IJ,~/IJ
69,:,"""2B",":""2B"
70,Y,S,YS
71,}i,q,}iq
72,[&,$,[&$
73,4,>.,4>.
74,w,;,w;
75,x,*,x*
76,!,?,!?
77,=,m,=m
78,r,n]6,rn]6
79,d,p,dp
80,P,5,P5
81,\,b,\b
82,>,.,>.
83,[,&,[&
84,z,g,zg
85,tk,(,tk(
86,/I,J,/IJ
87,"""",2B,"""2B"
88,},i,}i
89,n,]6,n]6
90,],6,]6
91,2,B,2B
92,/,I,/I
93,t,k,tk
