,left,right,combine
0,"LHl,o""PXd0.]I5%xQFsEp[|Y~9B!{T*1ir`+gZ'j-<tS",GvzNMn?_wb C/>mVO2ueUayR6c}WJ:7D#\)A&k;8$^(f4K=hq3@,"LHl,o""PXd0.]I5%xQFsEp[|Y~9B!{T*1ir`+gZ'j-<tSGvzNMn?_wb C/>mVO2ueUayR6c}WJ:7D#\)A&k;8$^(f4K=hq3@"
1,GvzNMn?_wb C/>mVO2ueUayR6c,}WJ:7D#\)A&k;8$^(f4K=hq3@,GvzNMn?_wb C/>mVO2ueUayR6c}WJ:7D#\)A&k;8$^(f4K=hq3@
2,"LHl,o""PXd0.]I5%xQFs",Ep[|Y~9B!{T*1ir`+gZ'j-<tS,"LHl,o""PXd0.]I5%xQFsEp[|Y~9B!{T*1ir`+gZ'j-<tS"
3,}WJ:7D#\)A&k,;8$^(f4K=hq3@,}WJ:7D#\)A&k;8$^(f4K=hq3@
4,GvzNMn?_wb ,C/>mVO2ueUayR6c,GvzNMn?_wb C/>mVO2ueUayR6c
5,Ep[|Y~9B!{T*1ir,`+gZ'j-<tS,Ep[|Y~9B!{T*1ir`+gZ'j-<tS
6,"LHl,o""PXd",0.]I5%xQFs,"LHl,o""PXd0.]I5%xQFs"
7,;8$^(f4,K=hq3@,;8$^(f4K=hq3@
8,}WJ:7,D#\)A&k,}WJ:7D#\)A&k
9,C/>mVO2u,eUayR6c,C/>mVO2ueUayR6c
10,GvzNM,n?_wb ,GvzNMn?_wb 
11,`+gZ'j,-<tS,`+gZ'j-<tS
12,Ep[|Y~9,B!{T*1ir,Ep[|Y~9B!{T*1ir
13,0.]I,5%xQFs,0.]I5%xQFs
14,"LHl,","o""PXd","LHl,o""PXd"
15,K=hq,3@,K=hq3@
16,D#\,)A&k,D#\)A&k
17,;8$,^(f4,;8$^(f4
18,}W,J:7,}WJ:7
19,C/>mV,O2u,C/>mVO2u
20,n?_w,b ,n?_wb 
21,eUa,yR6c,eUayR6c
22,Gv,zNM,GvzNM
23,-<,tS,-<tS
24,`+gZ,'j,`+gZ'j
25,Ep,[|Y~9,Ep[|Y~9
26,B!{,T*1ir,B!{T*1ir
27,5%,xQFs,5%xQFs
28,0.,]I,0.]I
29,LH,"l,","LHl,"
30,"o""",PXd,"o""PXd"
31,3,@,3@
32,K=,hq,K=hq
33,;,8$,;8$
34,^(,f4,^(f4
35,)A,&k,)A&k
36,D,#\,D#\
37,J:,7,J:7
38,n?,_w,n?_w
39,O,2u,O2u
40,b, ,b 
41,},W,}W
42,yR,6c,yR6c
43,eU,a,eUa
44,C/>,mV,C/>mV
45,z,NM,zNM
46,G,v,Gv
47,t,S,tS
48,-,<,-<
49,',j,'j
50,`,+gZ,`+gZ
51,[|Y~,9,[|Y~9
52,B!,{,B!{
53,xQ,Fs,xQFs
54,T*1,ir,T*1ir
55,E,p,Ep
56,P,Xd,PXd
57,5,%,5%
58,],I,]I
59,o,"""","o"""
60,L,H,LH
61,l,",","l,"
62,0,.,0.
63,h,q,hq
64,),A,)A
65,8,$,8$
66,f,4,f4
67,&,k,&k
68,K,=,K=
69,^,(,^(
70,#,\,#\
71,J,:,J:
72,6,c,6c
73,2,u,2u
74,e,U,eU
75,_,w,_w
76,C,/>,C/>
77,n,?,n?
78,y,R,yR
79,m,V,mV
80,N,M,NM
81,+g,Z,+gZ
82,F,s,Fs
83,x,Q,xQ
84,B,!,B!
85,[,|Y~,[|Y~
86,T,*1,T*1
87,i,r,ir
88,X,d,Xd
89,/,>,/>
90,*,1,*1
91,+,g,+g
92,|Y,~,|Y~
93,|,Y,|Y
