,left,right,combine
0,"^zF}o),9'Ml8&XKN+VHucD#AJ[2!hU4wm|?",";r`_gx@<""%y$.EYW>6R0jid5TOBP/~=Sn*p(QfaIve7s3{:G-ZLbk1\t]qC ","^zF}o),9'Ml8&XKN+VHucD#AJ[2!hU4wm|?;r`_gx@<""%y$.EYW>6R0jid5TOBP/~=Sn*p(QfaIve7s3{:G-ZLbk1\t]qC "
1,";r`_gx@<""%y$.EYW>6R0jid5",TOBP/~=Sn*p(QfaIve7s3{:G-ZLbk1\t]qC ,";r`_gx@<""%y$.EYW>6R0jid5TOBP/~=Sn*p(QfaIve7s3{:G-ZLbk1\t]qC "
2,"^zF}o),9'Ml8&XKN+V",HucD#AJ[2!hU4wm|?,"^zF}o),9'Ml8&XKN+VHucD#AJ[2!hU4wm|?"
3,TOBP/~=Sn*p(QfaI,ve7s3{:G-ZLbk1\t]qC ,TOBP/~=Sn*p(QfaIve7s3{:G-ZLbk1\t]qC 
4,";r`_gx@<""%y$.",EYW>6R0jid5,";r`_gx@<""%y$.EYW>6R0jid5"
5,HucD#AJ[2,!hU4wm|?,HucD#AJ[2!hU4wm|?
6,"^zF}o),9'M",l8&XKN+V,"^zF}o),9'Ml8&XKN+V"
7,ve7s3{:G-Z,Lbk1\t]qC ,ve7s3{:G-ZLbk1\t]qC 
8,TOBP/~,=Sn*p(QfaI,TOBP/~=Sn*p(QfaI
9,EYW>6,R0jid5,EYW>6R0jid5
10,;r`_g,"x@<""%y$.",";r`_gx@<""%y$."
11,HucD,#AJ[2,HucD#AJ[2
12,!hU4,wm|?,!hU4wm|?
13,l8&,XKN+V,l8&XKN+V
14,ve7s3,{:G-Z,ve7s3{:G-Z
15,Lbk1\t]q,C ,Lbk1\t]qC 
16,^zF}o),",9'M","^zF}o),9'M"
17,=Sn,*p(QfaI,=Sn*p(QfaI
18,TOB,P/~,TOBP/~
19,EYW,>6,EYW>6
20,"x@<""",%y$.,"x@<""%y$."
21,R0ji,d5,R0jid5
22,;r,`_g,;r`_g
23,wm,|?,wm|?
24,!h,U4,!hU4
25,#AJ,[2,#AJ[2
26,Hu,cD,HucD
27,XKN+,V,XKN+V
28,C, ,C 
29,Lbk,1\t]q,Lbk1\t]q
30,^zF,}o),^zF}o)
31,",9",'M,",9'M"
32,l,8&,l8&
33,{:G,-Z,{:G-Z
34,ve,7s3,ve7s3
35,*p(Qf,aI,*p(QfaI
36,=,Sn,=Sn
37,P/,~,P/~
38,x@,"<""","x@<"""
39,%y,$.,%y$.
40,>,6,>6
41,TO,B,TOB
42,`,_g,`_g
43,d,5,d5
44,R0,ji,R0ji
45,EY,W,EYW
46,#A,J,#AJ
47,U,4,U4
48,H,u,Hu
49,|,?,|?
50,c,D,cD
51,;,r,;r
52,[,2,[2
53,w,m,wm
54,!,h,!h
55,XKN,+,XKN+
56,8,&,8&
57,a,I,aI
58,',M,'M
59,1\,t]q,1\t]q
60,^z,F,^zF
61,{,:G,{:G
62,}o,),}o)
63,S,n,Sn
64,*p(Q,f,*p(Qf
65,-,Z,-Z
66,",",9,",9"
67,v,e,ve
68,7s,3,7s3
69,Lb,k,Lbk
70,P,/,P/
71,_,g,_g
72,%,y,%y
73,R,0,R0
74,j,i,ji
75,x,@,x@
76,<,"""","<"""
77,T,O,TO
78,$,.,$.
79,E,Y,EY
80,#,A,#A
81,1,\,1\
82,:,G,:G
83,L,b,Lb
84,X,KN,XKN
85,*p,(Q,*p(Q
86,},o,}o
87,7,s,7s
88,^,z,^z
89,t],q,t]q
90,t,],t]
91,(,Q,(Q
92,*,p,*p
93,K,N,KN
