,left,right,combine
0,Sm>wrgtp6x^UMA4n9FD`W5h;!B*kc&|7@oG+$,"Hy8-l%uv}C\[O'<]""d/=zJ)Xi:0eER(,Nq_L.3jZ?TsaIY{1fK2Q#P~ bV","Sm>wrgtp6x^UMA4n9FD`W5h;!B*kc&|7@oG+$Hy8-l%uv}C\[O'<]""d/=zJ)Xi:0eER(,Nq_L.3jZ?TsaIY{1fK2Q#P~ bV"
1,"Hy8-l%uv}C\[O'<]""d/=","zJ)Xi:0eER(,Nq_L.3jZ?TsaIY{1fK2Q#P~ bV","Hy8-l%uv}C\[O'<]""d/=zJ)Xi:0eER(,Nq_L.3jZ?TsaIY{1fK2Q#P~ bV"
2,Sm>wrgtp6x^UMA4n,9FD`W5h;!B*kc&|7@oG+$,Sm>wrgtp6x^UMA4n9FD`W5h;!B*kc&|7@oG+$
3,"zJ)Xi:0eER(,Nq_L.3",jZ?TsaIY{1fK2Q#P~ bV,"zJ)Xi:0eER(,Nq_L.3jZ?TsaIY{1fK2Q#P~ bV"
4,Hy8-l%uv},"C\[O'<]""d/=","Hy8-l%uv}C\[O'<]""d/="
5,9FD`W5h;!B*k,c&|7@oG+$,9FD`W5h;!B*kc&|7@oG+$
6,Sm>wrgt,p6x^UMA4n,Sm>wrgtp6x^UMA4n
7,jZ?TsaIY{1,fK2Q#P~ bV,jZ?TsaIY{1fK2Q#P~ bV
8,zJ)Xi:0e,"ER(,Nq_L.3","zJ)Xi:0eER(,Nq_L.3"
9,C\[O'<,"]""d/=","C\[O'<]""d/="
10,9FD`W5,h;!B*k,9FD`W5h;!B*k
11,c&|7@,oG+$,c&|7@oG+$
12,Hy8-,l%uv},Hy8-l%uv}
13,p6x^,UMA4n,p6x^UMA4n
14,Sm>,wrgt,Sm>wrgt
15,fK2Q#P~, bV,fK2Q#P~ bV
16,zJ),Xi:0e,zJ)Xi:0e
17,"ER(,Nq",_L.3,"ER(,Nq_L.3"
18,jZ?Ts,aIY{1,jZ?TsaIY{1
19,"]""",d/=,"]""d/="
20,C\,[O'<,C\[O'<
21,oG,+$,oG+$
22,l%,uv},l%uv}
23,h;,!B*k,h;!B*k
24,c&,|7@,c&|7@
25,H,y8-,Hy8-
26,9FD`,W5,9FD`W5
27,U,MA4n,UMA4n
28,wr,gt,wrgt
29,p6,x^,p6x^
30,Sm,>,Sm>
31, ,bV, bV
32,X,i:0e,Xi:0e
33,_L,.3,_L.3
34,fK,2Q#P~,fK2Q#P~
35,z,J),zJ)
36,jZ,?Ts,jZ?Ts
37,aIY,{1,aIY{1
38,ER(,",Nq","ER(,Nq"
39,d,/=,d/=
40,],"""","]"""
41,[,O'<,[O'<
42,C,\,C\
43,9F,D`,9FD`
44,W,5,W5
45,o,G,oG
46,u,v},uv}
47,|,7@,|7@
48,h,;,h;
49,!B,*k,!B*k
50,MA,4n,MA4n
51,l,%,l%
52,y8,-,y8-
53,+,$,+$
54,c,&,c&
55,w,r,wr
56,p,6,p6
57,b,V,bV
58,S,m,Sm
59,g,t,gt
60,x,^,x^
61,2Q,#P~,2Q#P~
62,?T,s,?Ts
63,.,3,.3
64,f,K,fK
65,i,:0e,i:0e
66,J,),J)
67,aI,Y,aIY
68,_,L,_L
69,E,R(,ER(
70,",N",q,",Nq"
71,{,1,{1
72,j,Z,jZ
73,/,=,/=
74,O,'<,O'<
75,y,8,y8
76,v,},v}
77,*,k,*k
78,7,@,7@
79,M,A,MA
80,9,F,9F
81,D,`,D`
82,4,n,4n
83,!,B,!B
84,2,Q,2Q
85,',<,'<
86,a,I,aI
87,",",N,",N"
88,?,T,?T
89,#,P~,#P~
90,R,(,R(
91,:0,e,:0e
92,:,0,:0
93,P,~,P~
