,left,right,combine
0,"1b Ak5QRIf(w0Cx{^YiX}m\?-~=;s8v"">3*M!pu","GKqz7DP%lJ_r+&$OZ#WHe)9EV'.n2dFaN4j6yh,/t@T|gcBLoS[U]:<`","1b Ak5QRIf(w0Cx{^YiX}m\?-~=;s8v"">3*M!puGKqz7DP%lJ_r+&$OZ#WHe)9EV'.n2dFaN4j6yh,/t@T|gcBLoS[U]:<`"
1,GKqz7DP%lJ_r+&$OZ#WHe),"9EV'.n2dFaN4j6yh,/t@T|gcBLoS[U]:<`","GKqz7DP%lJ_r+&$OZ#WHe)9EV'.n2dFaN4j6yh,/t@T|gcBLoS[U]:<`"
2,1b Ak5QRIf(w0C,"x{^YiX}m\?-~=;s8v"">3*M!pu","1b Ak5QRIf(w0Cx{^YiX}m\?-~=;s8v"">3*M!pu"
3,9EV'.n2dFaN4j6y,"h,/t@T|gcBLoS[U]:<`","9EV'.n2dFaN4j6yh,/t@T|gcBLoS[U]:<`"
4,GKqz7DP%lJ,_r+&$OZ#WHe),GKqz7DP%lJ_r+&$OZ#WHe)
5,x{^YiX}m\?-~,"=;s8v"">3*M!pu","x{^YiX}m\?-~=;s8v"">3*M!pu"
6,1b Ak,5QRIf(w0C,1b Ak5QRIf(w0C
7,"h,/t@T|gcB",LoS[U]:<`,"h,/t@T|gcBLoS[U]:<`"
8,9EV'.n,2dFaN4j6y,9EV'.n2dFaN4j6y
9,_r+&$,OZ#WHe),_r+&$OZ#WHe)
10,GKqz,7DP%lJ,GKqz7DP%lJ
11,"=;s8v"">",3*M!pu,"=;s8v"">3*M!pu"
12,x{^YiX},m\?-~,x{^YiX}m\?-~
13,5QRI,f(w0C,5QRIf(w0C
14,1b, Ak,1b Ak
15,LoS[,U]:<`,LoS[U]:<`
16,2dFa,N4j6y,2dFaN4j6y
17,"h,/t@",T|gcB,"h,/t@T|gcB"
18,9EV',.n,9EV'.n
19,_r,+&$,_r+&$
20,OZ#,WHe),OZ#WHe)
21,7D,P%lJ,7DP%lJ
22,GK,qz,GKqz
23,3*M!,pu,3*M!pu
24,x{^Y,iX},x{^YiX}
25,m\?,-~,m\?-~
26,=;s,"8v"">","=;s8v"">"
27,f(,w0C,f(w0C
28, ,Ak, Ak
29,5Q,RI,5QRI
30,1,b,1b
31,U]:<,`,U]:<`
32,2d,Fa,2dFa
33,N4,j6y,N4j6y
34,"h,/t",@,"h,/t@"
35,T|g,cB,T|gcB
36,Lo,S[,LoS[
37,.,n,.n
38,_,r,_r
39,P%,lJ,P%lJ
40,+,&$,+&$
41,9E,V',9EV'
42,O,Z#,OZ#
43,WH,e),WHe)
44,q,z,qz
45,7,D,7D
46,G,K,GK
47,p,u,pu
48,iX,},iX}
49,8v,""">","8v"">"
50,x,{^Y,x{^Y
51,=;,s,=;s
52,-,~,-~
53,m,\?,m\?
54,3*,M!,3*M!
55,w,0C,w0C
56,f,(,f(
57,5,Q,5Q
58,A,k,Ak
59,R,I,RI
60,F,a,Fa
61,T|,g,T|g
62,N,4,N4
63,"h,/",t,"h,/t"
64,c,B,cB
65,U],:<,U]:<
66,2,d,2d
67,j,6y,j6y
68,L,o,Lo
69,S,[,S[
70,W,H,WH
71,9,E,9E
72,&,$,&$
73,V,',V'
74,e,),e)
75,P,%,P%
76,l,J,lJ
77,Z,#,Z#
78,i,X,iX
79,8,v,8v
80,3,*,3*
81,M,!,M!
82,\,?,\?
83,0,C,0C
84,"""",>,""">"
85,{^,Y,{^Y
86,=,;,=;
87,6,y,6y
88,T,|,T|
89,:,<,:<
90,U,],U]
91,h,",/","h,/"
92,{,^,{^
93,",",/,",/"
