,left,right,combine
0,"gV}IJ=kPu3wC:y|6""`rmH+5v;#eo.)TK~$BN%h","OGxW<fdQasA-/9EFb c4{DZp&1R>t[?qM8_(@L*72z!\,]l^S'iYUjXn0","gV}IJ=kPu3wC:y|6""`rmH+5v;#eo.)TK~$BN%hOGxW<fdQasA-/9EFb c4{DZp&1R>t[?qM8_(@L*72z!\,]l^S'iYUjXn0"
1,OGxW<fdQasA-/9EFb c4{DZp&1R>t,"[?qM8_(@L*72z!\,]l^S'iYUjXn0","OGxW<fdQasA-/9EFb c4{DZp&1R>t[?qM8_(@L*72z!\,]l^S'iYUjXn0"
2,gV}IJ=kPu3wC:y|,"6""`rmH+5v;#eo.)TK~$BN%h","gV}IJ=kPu3wC:y|6""`rmH+5v;#eo.)TK~$BN%h"
3,[?qM8_(@L*72,"z!\,]l^S'iYUjXn0","[?qM8_(@L*72z!\,]l^S'iYUjXn0"
4,OGxW<fdQasA-,/9EFb c4{DZp&1R>t,OGxW<fdQasA-/9EFb c4{DZp&1R>t
5,"6""`rmH+5v;#eo",.)TK~$BN%h,"6""`rmH+5v;#eo.)TK~$BN%h"
6,gV}IJ=,kPu3wC:y|,gV}IJ=kPu3wC:y|
7,"z!\,]l^S",'iYUjXn0,"z!\,]l^S'iYUjXn0"
8,[?qM8,_(@L*72,[?qM8_(@L*72
9,/9EFb ,c4{DZp&1R>t,/9EFb c4{DZp&1R>t
10,OGxW,<fdQasA-,OGxW<fdQasA-
11,.)TK~$,BN%h,.)TK~$BN%h
12,"6""`r",mH+5v;#eo,"6""`rmH+5v;#eo"
13,kPu3,wC:y|,kPu3wC:y|
14,gV}I,J=,gV}IJ=
15,_(@L,*72,_(@L*72
16,"z!\,",]l^S,"z!\,]l^S"
17,'iYUj,Xn0,'iYUjXn0
18,[?,qM8,[?qM8
19,/9E,Fb ,/9EFb 
20,c4{DZp,&1R>t,c4{DZp&1R>t
21,<f,dQasA-,<fdQasA-
22,BN,%h,BN%h
23,OG,xW,OGxW
24,"6""",`r,"6""`r"
25,wC,:y|,wC:y|
26,.)T,K~$,.)TK~$
27,mH+5v;,#eo,mH+5v;#eo
28,k,Pu3,kPu3
29,J,=,J=
30,]l,^S,]l^S
31,X,n0,Xn0
32,z!,"\,","z!\,"
33,gV,}I,gV}I
34,_(,@L,_(@L
35,'i,YUj,'iYUj
36,*7,2,*72
37,qM,8,qM8
38,[,?,[?
39,c4{,DZp,c4{DZp
40,dQa,sA-,dQasA-
41,&,1R>t,&1R>t
42,Fb, ,Fb 
43,/9,E,/9E
44,x,W,xW
45,%,h,%h
46,B,N,BN
47,O,G,OG
48,<,f,<f
49,:,y|,:y|
50,Pu,3,Pu3
51,mH+5,v;,mH+5v;
52,.),T,.)T
53,w,C,wC
54,K,~$,K~$
55,6,"""","6"""
56,`,r,`r
57,#,eo,#eo
58,@,L,@L
59,*,7,*7
60,g,V,gV
61,},I,}I
62,\,",","\,"
63,z,!,z!
64,',i,'i
65,_,(,_(
66,^,S,^S
67,Y,Uj,YUj
68,n,0,n0
69,],l,]l
70,q,M,qM
71,1R>,t,1R>t
72,c,4{,c4{
73,F,b,Fb
74,DZ,p,DZp
75,sA,-,sA-
76,d,Qa,dQa
77,/,9,/9
78,e,o,eo
79,P,u,Pu
80,.,),.)
81,m,H+5,mH+5
82,v,;,v;
83,~,$,~$
84,y,|,y|
85,U,j,Uj
86,4,{,4{
87,D,Z,DZ
88,s,A,sA
89,1R,>,1R>
90,Q,a,Qa
91,H,+5,H+5
92,+,5,+5
93,1,R,1R
