,left,right,combine
0,45&XSa%wGU>l)Aj nI|F3oxZ'?tW^~\@z,"v0/:iB1y}[rE!OVM+8*9qJgC$kYm(f<c.#`R]7DL_TsNhKu"",;2=ed6P{QpHb-","45&XSa%wGU>l)Aj nI|F3oxZ'?tW^~\@zv0/:iB1y}[rE!OVM+8*9qJgC$kYm(f<c.#`R]7DL_TsNhKu"",;2=ed6P{QpHb-"
1,v0/:iB1y}[rE!OVM+8*9qJgC$kY,"m(f<c.#`R]7DL_TsNhKu"",;2=ed6P{QpHb-","v0/:iB1y}[rE!OVM+8*9qJgC$kYm(f<c.#`R]7DL_TsNhKu"",;2=ed6P{QpHb-"
2,45&XSa%wGU>l)Aj, nI|F3oxZ'?tW^~\@z,45&XSa%wGU>l)Aj nI|F3oxZ'?tW^~\@z
3,m(f<c.#`R]7DL_TsNh,"Ku"",;2=ed6P{QpHb-","m(f<c.#`R]7DL_TsNhKu"",;2=ed6P{QpHb-"
4,v0/:iB1y}[rE,!OVM+8*9qJgC$kY,v0/:iB1y}[rE!OVM+8*9qJgC$kY
5, nI|F3oxZ,'?tW^~\@z, nI|F3oxZ'?tW^~\@z
6,45&XSa%,wGU>l)Aj,45&XSa%wGU>l)Aj
7,"Ku"",;2=ed",6P{QpHb-,"Ku"",;2=ed6P{QpHb-"
8,m(f<c.#,`R]7DL_TsNh,m(f<c.#`R]7DL_TsNh
9,!OVM+,8*9qJgC$kY,!OVM+8*9qJgC$kY
10,v0/:iB1,y}[rE,v0/:iB1y}[rE
11,'?tW^,~\@z,'?tW^~\@z
12, nI,|F3oxZ, nI|F3oxZ
13,wGU>,l)Aj,wGU>l)Aj
14,6P{Q,pHb-,6P{QpHb-
15,45&X,Sa%,45&XSa%
16,"Ku"",;",2=ed,"Ku"",;2=ed"
17,8*9q,JgC$kY,8*9qJgC$kY
18,`R],7DL_TsNh,`R]7DL_TsNh
19,m(f<,c.#,m(f<c.#
20,!O,VM+,!OVM+
21,y}[,rE,y}[rE
22,'?t,W^,'?tW^
23,~\,@z,~\@z
24,|F3,oxZ,|F3oxZ
25,v0/:i,B1,v0/:iB1
26, ,nI, nI
27,l,)Aj,l)Aj
28,45,&X,45&X
29,wG,U>,wGU>
30,Sa,%,Sa%
31,6P,{Q,6P{Q
32,pH,b-,pHb-
33,2=e,d,2=ed
34,V,M+,VM+
35,Jg,C$kY,JgC$kY
36,7D,L_TsNh,7DL_TsNh
37,c,.#,c.#
38,`R,],`R]
39,"Ku""",",;","Ku"",;"
40,8*,9q,8*9q
41,m(f,<,m(f<
42,!,O,!O
43,r,E,rE
44,y},[,y}[
45,B,1,B1
46,W,^,W^
47,|F,3,|F3
48,ox,Z,oxZ
49,@,z,@z
50,n,I,nI
51,v0/:,i,v0/:i
52,',?t,'?t
53,~,\,~\
54,),Aj,)Aj
55,S,a,Sa
56,p,H,pH
57,w,G,wG
58,{,Q,{Q
59,b,-,b-
60,U,>,U>
61,4,5,45
62,&,X,&X
63,6,P,6P
64,2=,e,2=e
65,C$,kY,C$kY
66,`,R,`R
67,K,"u""","Ku"""
68,8,*,8*
69,m,(f,m(f
70,.,#,.#
71,9,q,9q
72,L_T,sNh,L_TsNh
73,7,D,7D
74,",",;,",;"
75,J,g,Jg
76,M,+,M+
77,?,t,?t
78,A,j,Aj
79,v,0/:,v0/:
80,o,x,ox
81,y,},y}
82,|,F,|F
83,L_,T,L_T
84,2,=,2=
85,(,f,(f
86,k,Y,kY
87,u,"""","u"""
88,C,$,C$
89,s,Nh,sNh
90,0,/:,0/:
91,/,:,/:
92,L,_,L_
93,N,h,Nh
