,left,right,combine
0,"otN\h*ws:m~""p2$8_BvuXQMnerK`ci kS^3Cl]","T7dYU#IV6ax}.D;b-F|1/('z4j!9RE[yJ@>qH?P5,L&O%<AW=g0+{ZfG)","otN\h*ws:m~""p2$8_BvuXQMnerK`ci kS^3Cl]T7dYU#IV6ax}.D;b-F|1/('z4j!9RE[yJ@>qH?P5,L&O%<AW=g0+{ZfG)"
1,T7dYU#IV6ax}.D;b-F|1,"/('z4j!9RE[yJ@>qH?P5,L&O%<AW=g0+{ZfG)","T7dYU#IV6ax}.D;b-F|1/('z4j!9RE[yJ@>qH?P5,L&O%<AW=g0+{ZfG)"
2,"otN\h*ws:m~""p2$8_BvuXQ",MnerK`ci kS^3Cl],"otN\h*ws:m~""p2$8_BvuXQMnerK`ci kS^3Cl]"
3,/('z4j!9RE[yJ,"@>qH?P5,L&O%<AW=g0+{ZfG)","/('z4j!9RE[yJ@>qH?P5,L&O%<AW=g0+{ZfG)"
4,T7dYU#IV,6ax}.D;b-F|1,T7dYU#IV6ax}.D;b-F|1
5,MnerK`ci, kS^3Cl],MnerK`ci kS^3Cl]
6,"@>qH?P5,L&O%",<AW=g0+{ZfG),"@>qH?P5,L&O%<AW=g0+{ZfG)"
7,otN\h*ws:m,"~""p2$8_BvuXQ","otN\h*ws:m~""p2$8_BvuXQ"
8,/('z4j,!9RE[yJ,/('z4j!9RE[yJ
9,6ax}.,D;b-F|1,6ax}.D;b-F|1
10, kS^,3Cl], kS^3Cl]
11,T7dY,U#IV,T7dYU#IV
12,MnerK,`ci,MnerK`ci
13,otN,\h*ws:m,otN\h*ws:m
14,"~""p2",$8_BvuXQ,"~""p2$8_BvuXQ"
15,@>qH?,"P5,L&O%","@>qH?P5,L&O%"
16,<AW=g0,+{ZfG),<AW=g0+{ZfG)
17,!9,RE[yJ,!9RE[yJ
18,/(',z4j,/('z4j
19,D;b,-F|1,D;b-F|1
20,6ax,}.,6ax}.
21, k,S^, kS^
22,T7,dY,T7dY
23,3C,l],3Cl]
24,U#,IV,U#IV
25,`,ci,`ci
26,+{Z,fG),+{ZfG)
27,<AW,=g0,<AW=g0
28,"P5,",L&O%,"P5,L&O%"
29,@>,qH?,@>qH?
30,$8,_BvuXQ,$8_BvuXQ
31,o,tN,otN
32,M,nerK,MnerK
33,"~""",p2,"~""p2"
34,\h*w,s:m,\h*ws:m
35,RE[y,J,RE[yJ
36,!,9,!9
37,z4,j,z4j
38,},.,}.
39,/,(',/('
40,D;,b,D;b
41,-F,|1,-F|1
42,6,ax,6ax
43,I,V,IV
44,d,Y,dY
45, ,k, k
46,S,^,S^
47,T,7,T7
48,3,C,3C
49,l,],l]
50,U,#,U#
51,c,i,ci
52,<,AW,<AW
53,P,"5,","P5,"
54,ner,K,nerK
55,_B,vuXQ,_BvuXQ
56,~,"""","~"""
57,+,{Z,+{Z
58,@,>,@>
59,=,g0,=g0
60,f,G),fG)
61,\,h*w,\h*w
62,s,:m,s:m
63,$,8,$8
64,qH,?,qH?
65,t,N,tN
66,p,2,p2
67,L&O,%,L&O%
68,R,E[y,RE[y
69,-,F,-F
70,z,4,z4
71,D,;,D;
72,|,1,|1
73,(,',('
74,a,x,ax
75,g,0,g0
76,A,W,AW
77,q,H,qH
78,E[,y,E[y
79,{,Z,{Z
80,_,B,_B
81,:,m,:m
82,vu,XQ,vuXQ
83,L&,O,L&O
84,h*,w,h*w
85,G,),G)
86,5,",","5,"
87,ne,r,ner
88,n,e,ne
89,X,Q,XQ
90,L,&,L&
91,E,[,E[
92,v,u,vu
93,h,*,h*
