,left,right,combine
0,V'E.BmPx{H]l 7MIZ~;1kvO\Xyn9hj6o}C=*-R&,"rGdDp4aw$qJc^)(?+u#2`@!/NF8""3K0i>tbS5WesY_f|A%,zUQTLg[:<","V'E.BmPx{H]l 7MIZ~;1kvO\Xyn9hj6o}C=*-R&rGdDp4aw$qJc^)(?+u#2`@!/NF8""3K0i>tbS5WesY_f|A%,zUQTLg[:<"
1,rGdDp4aw$qJc^)(?+u#2`,"@!/NF8""3K0i>tbS5WesY_f|A%,zUQTLg[:<","rGdDp4aw$qJc^)(?+u#2`@!/NF8""3K0i>tbS5WesY_f|A%,zUQTLg[:<"
2,V'E.BmPx{H]l 7MIZ,~;1kvO\Xyn9hj6o}C=*-R&,V'E.BmPx{H]l 7MIZ~;1kvO\Xyn9hj6o}C=*-R&
3,"@!/NF8""3K0i>tbS","5WesY_f|A%,zUQTLg[:<","@!/NF8""3K0i>tbS5WesY_f|A%,zUQTLg[:<"
4,rGdDp4aw$qJc^,)(?+u#2`,rGdDp4aw$qJc^)(?+u#2`
5,~;1kvO\X,yn9hj6o}C=*-R&,~;1kvO\Xyn9hj6o}C=*-R&
6,V'E.BmPx{H],l 7MIZ,V'E.BmPx{H]l 7MIZ
7,"5WesY_f|A%,zU",QTLg[:<,"5WesY_f|A%,zUQTLg[:<"
8,@!/NF,"8""3K0i>tbS","@!/NF8""3K0i>tbS"
9,)(?,+u#2`,)(?+u#2`
10,rGdDp4a,w$qJc^,rGdDp4aw$qJc^
11,yn9hj6o,}C=*-R&,yn9hj6o}C=*-R&
12,~;1k,vO\X,~;1kvO\X
13,l ,7MIZ,l 7MIZ
14,V'E.B,mPx{H],V'E.BmPx{H]
15,"8""3K0i",>tbS,"8""3K0i>tbS"
16,5WesY,"_f|A%,zU","5WesY_f|A%,zU"
17,QT,Lg[:<,QTLg[:<
18,@!,/NF,@!/NF
19,+u,#2`,+u#2`
20,),(?,)(?
21,}C=,*-R&,}C=*-R&
22,rGdD,p4a,rGdDp4a
23,w$q,Jc^,w$qJc^
24,yn9,hj6o,yn9hj6o
25,vO,\X,vO\X
26,7M,IZ,7MIZ
27,~;,1k,~;1k
28,l, ,l 
29,mPx,{H],mPx{H]
30,Q,T,QT
31,/,NF,/NF
32,_f|,"A%,zU","_f|A%,zU"
33,>t,bS,>tbS
34,5W,esY,5WesY
35,V'E,.B,V'E.B
36,"8""3K",0i,"8""3K0i"
37,Lg[:,<,Lg[:<
38,@,!,@!
39,#,2`,#2`
40,+,u,+u
41,(,?,(?
42,},C=,}C=
43,p4,a,p4a
44,Jc,^,Jc^
45,w,$q,w$q
46,hj,6o,hj6o
47,*-,R&,*-R&
48,rG,dD,rGdD
49,y,n9,yn9
50,v,O,vO
51,~,;,~;
52,1,k,1k
53,I,Z,IZ
54,7,M,7M
55,\,X,\X
56,{H,],{H]
57,8,"""3K","8""3K"
58,V',E,V'E
59,b,S,bS
60,A%,",zU","A%,zU"
61,5,W,5W
62,0,i,0i
63,N,F,NF
64,>,t,>t
65,.,B,.B
66,e,sY,esY
67,_f,|,_f|
68,mP,x,mPx
69,Lg[,:,Lg[:
70,2,`,2`
71,$,q,$q
72,p,4,p4
73,R,&,R&
74,d,D,dD
75,n,9,n9
76,J,c,Jc
77,C,=,C=
78,6,o,6o
79,*,-,*-
80,h,j,hj
81,r,G,rG
82,L,g[,Lg[
83,A,%,A%
84,V,',V'
85,{,H,{H
86,_,f,_f
87,"""3",K,"""3K"
88,m,P,mP
89,s,Y,sY
90,",z",U,",zU"
91,",",z,",z"
92,"""",3,"""3"
93,g,[,g[
