,left,right,combine
0,[Bv.{7MnW8t^Df:%l2JpU3OVxIE_=&Z>ao<Kue(c,"NsPb#gyGq)5w6Q?z9"";LHiXTrC,'0d4|YjR$~\*SFkh}-/mA1]@!` +","[Bv.{7MnW8t^Df:%l2JpU3OVxIE_=&Z>ao<Kue(cNsPb#gyGq)5w6Q?z9"";LHiXTrC,'0d4|YjR$~\*SFkh}-/mA1]@!` +"
1,"NsPb#gyGq)5w6Q?z9"";LHiXTrC",",'0d4|YjR$~\*SFkh}-/mA1]@!` +","NsPb#gyGq)5w6Q?z9"";LHiXTrC,'0d4|YjR$~\*SFkh}-/mA1]@!` +"
2,[Bv.{7MnW8t^Df:%l2JpU,3OVxIE_=&Z>ao<Kue(c,[Bv.{7MnW8t^Df:%l2JpU3OVxIE_=&Z>ao<Kue(c
3,",'0d4|YjR$~\*SFkh",}-/mA1]@!` +,",'0d4|YjR$~\*SFkh}-/mA1]@!` +"
4,NsPb#gyGq),"5w6Q?z9"";LHiXTrC","NsPb#gyGq)5w6Q?z9"";LHiXTrC"
5,3OVxIE_=&Z>,ao<Kue(c,3OVxIE_=&Z>ao<Kue(c
6,[Bv.{7,MnW8t^Df:%l2JpU,[Bv.{7MnW8t^Df:%l2JpU
7,}-/mA1,]@!` +,}-/mA1]@!` +
8,",'0d4|YjR",$~\*SFkh,",'0d4|YjR$~\*SFkh"
9,5w6Q?z,"9"";LHiXTrC","5w6Q?z9"";LHiXTrC"
10,NsPb#,gyGq),NsPb#gyGq)
11,ao<K,ue(c,ao<Kue(c
12,3OVxI,E_=&Z>,3OVxIE_=&Z>
13,MnW8t^Df:,%l2JpU,MnW8t^Df:%l2JpU
14,[B,v.{7,[Bv.{7
15,]@!`, +,]@!` +
16,$~\*,SFkh,$~\*SFkh
17,}-/,mA1,}-/mA1
18,",'0d4|",YjR,",'0d4|YjR"
19,5w6,Q?z,5w6Q?z
20,gy,Gq),gyGq)
21,"9"";LH",iXTrC,"9"";LHiXTrC"
22,Ns,Pb#,NsPb#
23,ao,<K,ao<K
24,ue,(c,ue(c
25,E_=,&Z>,E_=&Z>
26,%l2,JpU,%l2JpU
27,v.,{7,v.{7
28,3OV,xI,3OVxI
29,MnW8,t^Df:,MnW8t^Df:
30,[,B,[B
31, ,+, +
32,],@!`,]@!`
33,m,A1,mA1
34,},-/,}-/
35,SF,kh,SFkh
36,$~,\*,$~\*
37,Y,jR,YjR
38,",'0d",4|,",'0d4|"
39,g,y,gy
40,G,q),Gq)
41,Q,?z,Q?z
42,"9"";",LH,"9"";LH"
43,iXT,rC,iXTrC
44,Pb,#,Pb#
45,5,w6,5w6
46,u,e,ue
47,(,c,(c
48,&Z,>,&Z>
49,<,K,<K
50,N,s,Ns
51,a,o,ao
52,3,OV,3OV
53,t,^Df:,t^Df:
54,{,7,{7
55,J,pU,JpU
56,v,.,v.
57,%,l2,%l2
58,x,I,xI
59,Mn,W8,MnW8
60,E_,=,E_=
61,S,F,SF
62,-,/,-/
63,k,h,kh
64,\,*,\*
65,A,1,A1
66,$,~,$~
67,j,R,jR
68,@!,`,@!`
69,4,|,4|
70,P,b,Pb
71,9,""";","9"";"
72,q,),q)
73,iX,T,iXT
74,",'0",d,",'0d"
75,?,z,?z
76,r,C,rC
77,L,H,LH
78,w,6,w6
79,&,Z,&Z
80,W,8,W8
81,O,V,OV
82,p,U,pU
83,M,n,Mn
84,l,2,l2
85,E,_,E_
86,^Df,:,^Df:
87,@,!,@!
88,"""",;,""";"
89,i,X,iX
90,",'",0,",'0"
91,^,Df,^Df
92,D,f,Df
93,",",',",'"
