,left,right,combine
0,"Y}3]`0WN[ZoX|z7Ovg<difUSxqKG :9>uB,PH-F?mnk","%~@""54RL;!t&\w=Ej*lD.1I^Qpa'#{b(+CT8$A/cysVeJ)2_6hrM","Y}3]`0WN[ZoX|z7Ovg<difUSxqKG :9>uB,PH-F?mnk%~@""54RL;!t&\w=Ej*lD.1I^Qpa'#{b(+CT8$A/cysVeJ)2_6hrM"
1,"%~@""54RL;!t&\w=Ej*lD.1I^Q",pa'#{b(+CT8$A/cysVeJ)2_6hrM,"%~@""54RL;!t&\w=Ej*lD.1I^Qpa'#{b(+CT8$A/cysVeJ)2_6hrM"
2,Y}3]`0WN[ZoX|z7Ovg<d,"ifUSxqKG :9>uB,PH-F?mnk","Y}3]`0WN[ZoX|z7Ovg<difUSxqKG :9>uB,PH-F?mnk"
3,pa'#{b(+CT8$A,/cysVeJ)2_6hrM,pa'#{b(+CT8$A/cysVeJ)2_6hrM
4,"%~@""54RL;!t&\w",=Ej*lD.1I^Q,"%~@""54RL;!t&\w=Ej*lD.1I^Q"
5,ifUSxqKG ,":9>uB,PH-F?mnk","ifUSxqKG :9>uB,PH-F?mnk"
6,Y}3]`0WN[ZoX,|z7Ovg<d,Y}3]`0WN[ZoX|z7Ovg<d
7,/cysVeJ),2_6hrM,/cysVeJ)2_6hrM
8,pa'#{b,(+CT8$A,pa'#{b(+CT8$A
9,=Ej*l,D.1I^Q,=Ej*lD.1I^Q
10,"%~@""5",4RL;!t&\w,"%~@""54RL;!t&\w"
11,":9>uB,",PH-F?mnk,":9>uB,PH-F?mnk"
12,ifUSxq,KG ,ifUSxqKG 
13,|z7Ov,g<d,|z7Ovg<d
14,Y}3]`0W,N[ZoX,Y}3]`0WN[ZoX
15,2_,6hrM,2_6hrM
16,pa'#,{b,pa'#{b
17,(+C,T8$A,(+CT8$A
18,/cys,VeJ),/cysVeJ)
19,D.,1I^Q,D.1I^Q
20,=Ej,*l,=Ej*l
21,4RL;,!t&\w,4RL;!t&\w
22,PH-,F?mnk,PH-F?mnk
23,%~@,"""5","%~@""5"
24,:9>u,"B,",":9>uB,"
25,KG, ,KG 
26,ifUS,xq,ifUSxq
27,g,<d,g<d
28,|z,7Ov,|z7Ov
29,N[,ZoX,N[ZoX
30,Y}3],`0W,Y}3]`0W
31,6h,rM,6hrM
32,2,_,2_
33,1I,^Q,1I^Q
34,pa,'#,pa'#
35,(+,C,(+C
36,T8,$A,T8$A
37,/c,ys,/cys
38,Ve,J),VeJ)
39,{,b,{b
40,*,l,*l
41,=,Ej,=Ej
42,D,.,D.
43,!t&\,w,!t&\w
44,P,H-,PH-
45,B,",","B,"
46,F?,mnk,F?mnk
47,4R,L;,4RL;
48,"""",5,"""5"
49,%,~@,%~@
50,:,9>u,:9>u
51,K,G,KG
52,i,fUS,ifUS
53,x,q,xq
54,<,d,<d
55,Y},3],Y}3]
56,7,Ov,7Ov
57,r,M,rM
58,Z,oX,ZoX
59,|,z,|z
60,`0,W,`0W
61,N,[,N[
62,6,h,6h
63,(,+,(+
64,1,I,1I
65,$,A,$A
66,',#,'#
67,/,c,/c
68,T,8,T8
69,p,a,pa
70,y,s,ys
71,J,),J)
72,^,Q,^Q
73,V,e,Ve
74,E,j,Ej
75,L,;,L;
76,~,@,~@
77,9,>u,9>u
78,4,R,4R
79,!t&,\,!t&\
80,m,nk,mnk
81,F,?,F?
82,H,-,H-
83,f,US,fUS
84,Y,},Y}
85,`,0,`0
86,O,v,Ov
87,o,X,oX
88,3,],3]
89,n,k,nk
90,U,S,US
91,>,u,>u
92,!t,&,!t&
93,!,t,!t
