,left,right,combine
0,"W+{u/a.zO'!cM4Uor,5s:j^\G%lQ-#Zg;wX~LC`D0Hk6","3x}fd_q1hK9Ab""B(@*7v>yJ?t]2FRi<& IPnm=YN$e[8STVp)|E","W+{u/a.zO'!cM4Uor,5s:j^\G%lQ-#Zg;wX~LC`D0Hk63x}fd_q1hK9Ab""B(@*7v>yJ?t]2FRi<& IPnm=YN$e[8STVp)|E"
1,"3x}fd_q1hK9Ab""B(@*7v>",yJ?t]2FRi<& IPnm=YN$e[8STVp)|E,"3x}fd_q1hK9Ab""B(@*7v>yJ?t]2FRi<& IPnm=YN$e[8STVp)|E"
2,W+{u/a.zO'!cM4Uor,",5s:j^\G%lQ-#Zg;wX~LC`D0Hk6","W+{u/a.zO'!cM4Uor,5s:j^\G%lQ-#Zg;wX~LC`D0Hk6"
3,yJ?t]2FRi<&, IPnm=YN$e[8STVp)|E,yJ?t]2FRi<& IPnm=YN$e[8STVp)|E
4,3x}fd_q1,"hK9Ab""B(@*7v>","3x}fd_q1hK9Ab""B(@*7v>"
5,",5s:j^\G%lQ-#Zg;",wX~LC`D0Hk6,",5s:j^\G%lQ-#Zg;wX~LC`D0Hk6"
6,W+{u/a.zO,'!cM4Uor,W+{u/a.zO'!cM4Uor
7, IPnm=YN$e,[8STVp)|E, IPnm=YN$e[8STVp)|E
8,yJ?t]2,FRi<&,yJ?t]2FRi<&
9,"hK9Ab""B",(@*7v>,"hK9Ab""B(@*7v>"
10,3x}f,d_q1,3x}fd_q1
11,wX~LC`D,0Hk6,wX~LC`D0Hk6
12,",5s:j^\G%",lQ-#Zg;,",5s:j^\G%lQ-#Zg;"
13,'!cM,4Uor,'!cM4Uor
14,W+{u/,a.zO,W+{u/a.zO
15,[8ST,Vp)|E,[8STVp)|E
16, IPnm=,YN$e, IPnm=YN$e
17,FR,i<&,FRi<&
18,(@*,7v>,(@*7v>
19,hK9A,"b""B","hK9Ab""B"
20,yJ,?t]2,yJ?t]2
21,d_,q1,d_q1
22,3x,}f,3x}f
23,0H,k6,0Hk6
24,wX~,LC`D,wX~LC`D
25,lQ-#,Zg;,lQ-#Zg;
26,",5",s:j^\G%,",5s:j^\G%"
27,4U,or,4Uor
28,'!,cM,'!cM
29,a.,zO,a.zO
30,W+{,u/,W+{u/
31,[8,ST,[8ST
32,Vp,)|E,Vp)|E
33,Y,N$e,YN$e
34, ,IPnm=, IPnm=
35,i<,&,i<&
36,(@,*,(@*
37,y,J,yJ
38,7,v>,7v>
39,F,R,FR
40,hK,9A,hK9A
41,b,"""B","b""B"
42,?t,]2,?t]2
43,3,x,3x
44,q,1,q1
45,},f,}f
46,d,_,d_
47,w,X~,wX~
48,s:j,^\G%,s:j^\G%
49,lQ,-#,lQ-#
50,LC,`D,LC`D
51,0,H,0H
52,k,6,k6
53,Z,g;,Zg;
54,o,r,or
55,c,M,cM
56,a,.,a.
57,z,O,zO
58,4,U,4U
59,u,/,u/
60,',!,'!
61,",",5,",5"
62,V,p,Vp
63,[,8,[8
64,S,T,ST
65,N$,e,N$e
66,W+,{,W+{
67,)|,E,)|E
68,I,Pnm=,IPnm=
69,v,>,v>
70,?,t,?t
71,"""",B,"""B"
72,(,@,(@
73,],2,]2
74,h,K,hK
75,i,<,i<
76,9,A,9A
77,X,~,X~
78,-,#,-#
79,l,Q,lQ
80,`,D,`D
81,L,C,LC
82,s:,j,s:j
83,g,;,g;
84,^\,G%,^\G%
85,),|,)|
86,W,+,W+
87,Pnm,=,Pnm=
88,N,$,N$
89,s,:,s:
90,G,%,G%
91,^,\,^\
92,P,nm,Pnm
93,n,m,nm
