,left,right,combine
0,l/V.Wr[%Lx!h+sSc8AeI^k=Zm'f*9M{w&1bt\y(d6z,"]PFODY""iKRjaQn$|~TC7X)23H;q@o`v,N>uBU_E#Jpg-<:?4 G50}","l/V.Wr[%Lx!h+sSc8AeI^k=Zm'f*9M{w&1bt\y(d6z]PFODY""iKRjaQn$|~TC7X)23H;q@o`v,N>uBU_E#Jpg-<:?4 G50}"
1,"]PFODY""iKRjaQn$|~TC7X)23","H;q@o`v,N>uBU_E#Jpg-<:?4 G50}","]PFODY""iKRjaQn$|~TC7X)23H;q@o`v,N>uBU_E#Jpg-<:?4 G50}"
2,l/V.Wr[%Lx!h+sSc,8AeI^k=Zm'f*9M{w&1bt\y(d6z,l/V.Wr[%Lx!h+sSc8AeI^k=Zm'f*9M{w&1bt\y(d6z
3,"H;q@o`v,N>uB",U_E#Jpg-<:?4 G50},"H;q@o`v,N>uBU_E#Jpg-<:?4 G50}"
4,"]PFODY""iK",RjaQn$|~TC7X)23,"]PFODY""iKRjaQn$|~TC7X)23"
5,8AeI^k=Zm'f*9,M{w&1bt\y(d6z,8AeI^k=Zm'f*9M{w&1bt\y(d6z
6,l/V.Wr[%,Lx!h+sSc,l/V.Wr[%Lx!h+sSc
7,U_E#Jpg-,<:?4 G50},U_E#Jpg-<:?4 G50}
8,H;q@o,"`v,N>uB","H;q@o`v,N>uB"
9,RjaQn,$|~TC7X)23,RjaQn$|~TC7X)23
10,]PFOD,"Y""iK","]PFODY""iK"
11,M{w&1b,t\y(d6z,M{w&1bt\y(d6z
12,8AeI^k=,Zm'f*9,8AeI^k=Zm'f*9
13,Lx!h,+sSc,Lx!h+sSc
14,l/V.,Wr[%,l/V.Wr[%
15,"`v,N",>uB,"`v,N>uB"
16,U_E#,Jpg-,U_E#Jpg-
17,<:?4 ,G50},<:?4 G50}
18,H;q,@o,H;q@o
19,$|~T,C7X)23,$|~TC7X)23
20,Rj,aQn,RjaQn
21,"Y""",iK,"Y""iK"
22,]P,FOD,]PFOD
23,Zm',f*9,Zm'f*9
24,M{w,&1b,M{w&1b
25,t\y,(d6z,t\y(d6z
26,8Ae,I^k=,8AeI^k=
27,Lx,!h,Lx!h
28,+s,Sc,+sSc
29,Wr,[%,Wr[%
30,l/,V.,l/V.
31,Jp,g-,Jpg-
32,"`v,",N,"`v,N"
33,>,uB,>uB
34,<:?4, ,<:?4 
35,G5,0},G50}
36,U_,E#,U_E#
37,H,;q,H;q
38,@,o,@o
39,C7,X)23,C7X)23
40,$|,~T,$|~T
41,a,Qn,aQn
42,R,j,Rj
43,Y,"""","Y"""
44,F,OD,FOD
45,i,K,iK
46,&,1b,&1b
47,],P,]P
48,(d,6z,(d6z
49,t,\y,t\y
50,Zm,',Zm'
51,I^,k=,I^k=
52,f,*9,f*9
53,M{,w,M{w
54,8,Ae,8Ae
55,V,.,V.
56,+,s,+s
57,!,h,!h
58,S,c,Sc
59,W,r,Wr
60,L,x,Lx
61,[,%,[%
62,l,/,l/
63,0,},0}
64,u,B,uB
65,`,"v,","`v,"
66,E,#,E#
67,<:,?4,<:?4
68,G,5,G5
69,J,p,Jp
70,g,-,g-
71,U,_,U_
72,;,q,;q
73,C,7,C7
74,$,|,$|
75,Q,n,Qn
76,~,T,~T
77,X,)23,X)23
78,O,D,OD
79,\,y,\y
80,6,z,6z
81,A,e,Ae
82,*,9,*9
83,M,{,M{
84,1,b,1b
85,I,^,I^
86,Z,m,Zm
87,(,d,(d
88,k,=,k=
89,<,:,<:
90,v,",","v,"
91,?,4,?4
92,),23,)23
93,2,3,23
