,left,right,combine
0,JvH1=;e8f\mxKA.U!2iXV%]Bd#y-GpqoF:Ilht/9^?w,"NOb@R6kzE7nu*<4`~$(3Q""D){[Wr|M_gj},05PLc> C'aY+Z&STs","JvH1=;e8f\mxKA.U!2iXV%]Bd#y-GpqoF:Ilht/9^?wNOb@R6kzE7nu*<4`~$(3Q""D){[Wr|M_gj},05PLc> C'aY+Z&STs"
1,"NOb@R6kzE7nu*<4`~$(3Q""D){[Wr","|M_gj},05PLc> C'aY+Z&STs","NOb@R6kzE7nu*<4`~$(3Q""D){[Wr|M_gj},05PLc> C'aY+Z&STs"
2,JvH1=;e8f\mxKA.U!2iX,V%]Bd#y-GpqoF:Ilht/9^?w,JvH1=;e8f\mxKA.U!2iXV%]Bd#y-GpqoF:Ilht/9^?w
3,"|M_gj},0",5PLc> C'aY+Z&STs,"|M_gj},05PLc> C'aY+Z&STs"
4,NOb@R6kzE7nu*<,"4`~$(3Q""D){[Wr","NOb@R6kzE7nu*<4`~$(3Q""D){[Wr"
5,V%]Bd#y-Gpq,oF:Ilht/9^?w,V%]Bd#y-GpqoF:Ilht/9^?w
6,JvH1=;e8f\,mxKA.U!2iX,JvH1=;e8f\mxKA.U!2iX
7,5PLc> C,'aY+Z&STs,5PLc> C'aY+Z&STs
8,|M_g,"j},0","|M_gj},0"
9,4`~$(3Q,"""D){[Wr","4`~$(3Q""D){[Wr"
10,NOb@R,6kzE7nu*<,NOb@R6kzE7nu*<
11,oF:I,lht/9^?w,oF:Ilht/9^?w
12,mxKA.U,!2iX,mxKA.U!2iX
13,V%]Bd,#y-Gpq,V%]Bd#y-Gpq
14,JvH1,=;e8f\,JvH1=;e8f\
15,5PLc,> C,5PLc> C
16,'aY+,Z&STs,'aY+Z&STs
17,j},",0","j},0"
18,|M,_g,|M_g
19,4`~$,(3Q,4`~$(3Q
20,6kzE7n,u*<,6kzE7nu*<
21,"""D){",[Wr,"""D){[Wr"
22,NO,b@R,NOb@R
23,lh,t/9^?w,lht/9^?w
24,oF,:I,oF:I
25,=;e,8f\,=;e8f\
26,#y-,Gpq,#y-Gpq
27,mxK,A.U,mxKA.U
28,!2,iX,!2iX
29,V%,]Bd,V%]Bd
30,Jv,H1,JvH1
31,5P,Lc,5PLc
32,Z&S,Ts,Z&STs
33,> ,C,> C
34,'a,Y+,'aY+
35,_,g,_g
36,",",0,",0"
37,j,},j}
38,4`,~$,4`~$
39,u*,<,u*<
40,6k,zE7n,6kzE7n
41,|,M,|M
42,[,Wr,[Wr
43,"""D)",{,"""D){"
44,(3,Q,(3Q
45,b,@R,b@R
46,l,h,lh
47,t/9^?,w,t/9^?w
48,:,I,:I
49,N,O,NO
50,!,2,!2
51,8,f\,8f\
52,=;,e,=;e
53,G,pq,Gpq
54,V,%,V%
55,mx,K,mxK
56,o,F,oF
57,i,X,iX
58,#,y-,#y-
59,]B,d,]Bd
60,H,1,H1
61,A,.U,A.U
62,T,s,Ts
63,L,c,Lc
64,',a,'a
65,Z&,S,Z&S
66,Y,+,Y+
67,>, ,> 
68,J,v,Jv
69,5,P,5P
70,@,R,@R
71,(,3,(3
72,z,E7n,zE7n
73,6,k,6k
74,"""",D),"""D)"
75,W,r,Wr
76,u,*,u*
77,~,$,~$
78,4,`,4`
79,t,/9^?,t/9^?
80,],B,]B
81,f,\,f\
82,.,U,.U
83,y,-,y-
84,=,;,=;
85,p,q,pq
86,m,x,mx
87,Z,&,Z&
88,D,),D)
89,E7,n,E7n
90,/9,^?,/9^?
91,/,9,/9
92,^,?,^?
93,E,7,E7
