,left,right,combine
0,(|oG@0b{+aj7u^'_&*eAK]3-y[;QRJ\< /kEX,"OUL}1>4gF`~hwPl#M5tsBW:m=.I2H)VrNcniCY""qpdT9%zx,v?$Z!Sf68D","(|oG@0b{+aj7u^'_&*eAK]3-y[;QRJ\< /kEXOUL}1>4gF`~hwPl#M5tsBW:m=.I2H)VrNcniCY""qpdT9%zx,v?$Z!Sf68D"
1,OUL}1>4gF`~hwPl#M5,"tsBW:m=.I2H)VrNcniCY""qpdT9%zx,v?$Z!Sf68D","OUL}1>4gF`~hwPl#M5tsBW:m=.I2H)VrNcniCY""qpdT9%zx,v?$Z!Sf68D"
2,(|oG@0b{+aj7u^'_&*e,AK]3-y[;QRJ\< /kEX,(|oG@0b{+aj7u^'_&*eAK]3-y[;QRJ\< /kEX
3,"tsBW:m=.I2H)VrNcniCY""","qpdT9%zx,v?$Z!Sf68D","tsBW:m=.I2H)VrNcniCY""qpdT9%zx,v?$Z!Sf68D"
4,OUL}1>4gF,`~hwPl#M5,OUL}1>4gF`~hwPl#M5
5,AK]3-y[;,QRJ\< /kEX,AK]3-y[;QRJ\< /kEX
6,(|oG@0b{,+aj7u^'_&*e,(|oG@0b{+aj7u^'_&*e
7,"qpdT9%zx,v?$Z",!Sf68D,"qpdT9%zx,v?$Z!Sf68D"
8,tsBW:m=.I2,"H)VrNcniCY""","tsBW:m=.I2H)VrNcniCY"""
9,`~hw,Pl#M5,`~hwPl#M5
10,OUL},1>4gF,OUL}1>4gF
11,AK]3-,y[;,AK]3-y[;
12,QRJ\<, /kEX,QRJ\< /kEX
13,+aj7,u^'_&*e,+aj7u^'_&*e
14,(|oG,@0b{,(|oG@0b{
15,!S,f68D,!Sf68D
16,tsB,W:m=.I2,tsBW:m=.I2
17,H)VrNc,"niCY""","H)VrNcniCY"""
18,qpdT9%zx,",v?$Z","qpdT9%zx,v?$Z"
19,Pl,#M5,Pl#M5
20,1>4,gF,1>4gF
21,`~,hw,`~hw
22,OU,L},OUL}
23, /,kEX, /kEX
24,AK],3-,AK]3-
25,y,[;,y[;
26,QRJ,\<,QRJ\<
27,u^',_&*e,u^'_&*e
28,+a,j7,+aj7
29,f6,8D,f68D
30,@0,b{,@0b{
31,(|,oG,(|oG
32,!,S,!S
33,",v",?$Z,",v?$Z"
34,W:m=,.I2,W:m=.I2
35,H)V,rNc,H)VrNc
36,ni,"CY""","niCY"""
37,qpd,T9%zx,qpdT9%zx
38,#M,5,#M5
39,ts,B,tsB
40,1>,4,1>4
41,P,l,Pl
42,g,F,gF
43,`,~,`~
44,h,w,hw
45,L,},L}
46,A,K],AK]
47,QR,J,QRJ
48, ,/, /
49,_&,*e,_&*e
50,[,;,[;
51,O,U,OU
52,u^,',u^'
53,3,-,3-
54,j,7,j7
55,\,<,\<
56,k,EX,kEX
57,8,D,8D
58,(,|,(|
59,f,6,f6
60,o,G,oG
61,+,a,+a
62,b,{,b{
63,@,0,@0
64,.,I2,.I2
65,qp,d,qpd
66,T9%,zx,T9%zx
67,n,i,ni
68,W:,m=,W:m=
69,C,"Y""","CY"""
70,?,$Z,?$Z
71,",",v,",v"
72,t,s,ts
73,H),V,H)V
74,#,M,#M
75,r,Nc,rNc
76,1,>,1>
77,_,&,_&
78,E,X,EX
79,Q,R,QR
80,u,^,u^
81,K,],K]
82,*,e,*e
83,$,Z,$Z
84,q,p,qp
85,Y,"""","Y"""
86,N,c,Nc
87,I,2,I2
88,W,:,W:
89,H,),H)
90,m,=,m=
91,z,x,zx
92,T9,%,T9%
93,T,9,T9
