,left,right,combine
0,"QSa1$?0d`r_8N6@!xv|9W^,l:Z\jTb3JE-[BymR",";cfGVIo/<(OML{zFX]g2w.'+~*Ct)}5A7kqKUpish&%u>Pe=nDY#H4"" ","QSa1$?0d`r_8N6@!xv|9W^,l:Z\jTb3JE-[BymR;cfGVIo/<(OML{zFX]g2w.'+~*Ct)}5A7kqKUpish&%u>Pe=nDY#H4"" "
1,;cfGVIo/<(OML{zFX]g2w.'+~*C,"t)}5A7kqKUpish&%u>Pe=nDY#H4"" ",";cfGVIo/<(OML{zFX]g2w.'+~*Ct)}5A7kqKUpish&%u>Pe=nDY#H4"" "
2,QSa1$?0d`r_8N6@!xv,"|9W^,l:Z\jTb3JE-[BymR","QSa1$?0d`r_8N6@!xv|9W^,l:Z\jTb3JE-[BymR"
3,t)}5A7kqKUpish&,"%u>Pe=nDY#H4"" ","t)}5A7kqKUpish&%u>Pe=nDY#H4"" "
4,;cfGVIo/<(OML{,zFX]g2w.'+~*C,;cfGVIo/<(OML{zFX]g2w.'+~*C
5,"|9W^,l:Z\",jTb3JE-[BymR,"|9W^,l:Z\jTb3JE-[BymR"
6,QSa1$?0d,`r_8N6@!xv,QSa1$?0d`r_8N6@!xv
7,%u>Pe=n,"DY#H4"" ","%u>Pe=nDY#H4"" "
8,t)}5A7kq,KUpish&,t)}5A7kqKUpish&
9,zFX],g2w.'+~*C,zFX]g2w.'+~*C
10,;cfGVIo,/<(OML{,;cfGVIo/<(OML{
11,"|9W^,",l:Z\,"|9W^,l:Z\"
12,jTb3J,E-[BymR,jTb3JE-[BymR
13,`r_8,N6@!xv,`r_8N6@!xv
14,DY#H,"4"" ","DY#H4"" "
15,QSa1,$?0d,QSa1$?0d
16,%u>P,e=n,%u>Pe=n
17,KUp,ish&,KUpish&
18,t)},5A7kq,t)}5A7kq
19,g2w.,'+~*C,g2w.'+~*C
20,zF,X],zFX]
21,/<,(OML{,/<(OML{
22,|9W,"^,","|9W^,"
23,jT,b3J,jTb3J
24,;cfG,VIo,;cfGVIo
25,N6@!,xv,N6@!xv
26,E-,[BymR,E-[BymR
27,l:,Z\,l:Z\
28,`,r_8,`r_8
29,$?,0d,$?0d
30,e,=n,e=n
31,DY,#H,DY#H
32,QS,a1,QSa1
33,"4""", ,"4"" "
34,%u,>P,%u>P
35,',+~*C,'+~*C
36,KU,p,KUp
37,t),},t)}
38,is,h&,ish&
39,5A7,kq,5A7kq
40,g,2w.,g2w.
41,z,F,zF
42,X,],X]
43,(,OML{,(OML{
44,/,<,/<
45,|9,W,|9W
46,l,:,l:
47,E,-,E-
48,Z,\,Z\
49,[,BymR,[BymR
50,j,T,jT
51,N6,@!,N6@!
52,x,v,xv
53,b,3J,b3J
54,VI,o,VIo
55,;c,fG,;cfG
56,r,_8,r_8
57,^,",","^,"
58,>,P,>P
59,#,H,#H
60,0,d,0d
61,a,1,a1
62,$,?,$?
63,Q,S,QS
64,=,n,=n
65,4,"""","4"""
66,D,Y,DY
67,%,u,%u
68,k,q,kq
69,i,s,is
70,5,A7,5A7
71,t,),t)
72,2,w.,2w.
73,+,~*C,+~*C
74,h,&,h&
75,K,U,KU
76,O,ML{,OML{
77,3,J,3J
78,_,8,_8
79,;,c,;c
80,B,ymR,BymR
81,N,6,N6
82,V,I,VI
83,|,9,|9
84,f,G,fG
85,@,!,@!
86,~,*C,~*C
87,ML,{,ML{
88,A,7,A7
89,w,.,w.
90,y,mR,ymR
91,m,R,mR
92,*,C,*C
93,M,L,ML
