,left,right,combine
0,H&W $/^<G12nQlv5Ymp_r#JL[j-Ps94B=3]y?;!VdR,"7cFt:.%>)w,|8Nbzx0(Uu6IhCXOT""D`io{K'@~+ZaqMfASk*g}e\E","H&W $/^<G12nQlv5Ymp_r#JL[j-Ps94B=3]y?;!VdR7cFt:.%>)w,|8Nbzx0(Uu6IhCXOT""D`io{K'@~+ZaqMfASk*g}e\E"
1,"7cFt:.%>)w,|8Nbzx0(Uu","6IhCXOT""D`io{K'@~+ZaqMfASk*g}e\E","7cFt:.%>)w,|8Nbzx0(Uu6IhCXOT""D`io{K'@~+ZaqMfASk*g}e\E"
2,H&W $/^<G12nQlv5Ymp_r#JL[j-,Ps94B=3]y?;!VdR,H&W $/^<G12nQlv5Ymp_r#JL[j-Ps94B=3]y?;!VdR
3,"6IhCXOT""D`io{K",'@~+ZaqMfASk*g}e\E,"6IhCXOT""D`io{K'@~+ZaqMfASk*g}e\E"
4,7cFt:.%,">)w,|8Nbzx0(Uu","7cFt:.%>)w,|8Nbzx0(Uu"
5,Ps94B=3],y?;!VdR,Ps94B=3]y?;!VdR
6,H&W $/^<G12nQlv,5Ymp_r#JL[j-,H&W $/^<G12nQlv5Ymp_r#JL[j-
7,'@~+ZaqM,fASk*g}e\E,'@~+ZaqMfASk*g}e\E
8,6IhCXOT,"""D`io{K","6IhCXOT""D`io{K"
9,">)w,|8N",bzx0(Uu,">)w,|8Nbzx0(Uu"
10,7cF,t:.%,7cFt:.%
11,Ps94,B=3],Ps94B=3]
12,y?;,!VdR,y?;!VdR
13,fASk*,g}e\E,fASk*g}e\E
14,H&W $/^,<G12nQlv,H&W $/^<G12nQlv
15,5Ymp_r,#JL[j-,5Ymp_r#JL[j-
16,'@~,+ZaqM,'@~+ZaqM
17,"""D`",io{K,"""D`io{K"
18,>)w,",|8N",">)w,|8N"
19,t:,.%,t:.%
20,6IhC,XOT,6IhCXOT
21,bzx,0(Uu,bzx0(Uu
22,7,cF,7cF
23,y,?;,y?;
24,Ps,94,Ps94
25,B=,3],B=3]
26,!V,dR,!VdR
27,g}e,\E,g}e\E
28,+Za,qM,+ZaqM
29,5Ym,p_r,5Ymp_r
30,#J,L[j-,#JL[j-
31,H&W ,$/^,H&W $/^
32,fA,Sk*,fASk*
33,<G,12nQlv,<G12nQlv
34,',@~,'@~
35,i,o{K,io{K
36,XO,T,XOT
37,b,zx,bzx
38,6I,hC,6IhC
39,.,%,.%
40,>),w,>)w
41,"""",D`,"""D`"
42,",|",8N,",|8N"
43,0(,Uu,0(Uu
44,t,:,t:
45,c,F,cF
46,B,=,B=
47,!,V,!V
48,9,4,94
49,d,R,dR
50,?,;,?;
51,P,s,Ps
52,3,],3]
53,q,M,qM
54,p_,r,p_r
55,\,E,\E
56,5Y,m,5Ym
57,S,k*,Sk*
58,+,Za,+Za
59,H&W, ,H&W 
60,@,~,@~
61,12n,Qlv,12nQlv
62,$,/^,$/^
63,#,J,#J
64,<,G,<G
65,f,A,fA
66,L[j,-,L[j-
67,g,}e,g}e
68,o,{K,o{K
69,0,(,0(
70,>,),>)
71,8,N,8N
72,6,I,6I
73,h,C,hC
74,U,u,Uu
75,D,`,D`
76,X,O,XO
77,",",|,",|"
78,z,x,zx
79,Ql,v,Qlv
80,H,&W,H&W
81,5,Y,5Y
82,p,_,p_
83,{,K,{K
84,Z,a,Za
85,/,^,/^
86,},e,}e
87,L[,j,L[j
88,k,*,k*
89,12,n,12n
90,1,2,12
91,Q,l,Ql
92,L,[,L[
93,&,W,&W
