,left,right,combine
0,qG0gz[)JIx-tOs$d 8~SR_{kE9Yj!'cbAa=,"]L;?^<%Z,Xp@DHiT>.vn6w5lfu/B*F|e}1UNm+y2W""KCM4\QV(`o&7:Ph#3r","qG0gz[)JIx-tOs$d 8~SR_{kE9Yj!'cbAa=]L;?^<%Z,Xp@DHiT>.vn6w5lfu/B*F|e}1UNm+y2W""KCM4\QV(`o&7:Ph#3r"
1,"]L;?^<%Z,Xp@DHiT>.","vn6w5lfu/B*F|e}1UNm+y2W""KCM4\QV(`o&7:Ph#3r","]L;?^<%Z,Xp@DHiT>.vn6w5lfu/B*F|e}1UNm+y2W""KCM4\QV(`o&7:Ph#3r"
2,qG0gz[)JIx-tOs$,d 8~SR_{kE9Yj!'cbAa=,qG0gz[)JIx-tOs$d 8~SR_{kE9Yj!'cbAa=
3,vn6w5lfu/B*F|e}1UNm+y2,"W""KCM4\QV(`o&7:Ph#3r","vn6w5lfu/B*F|e}1UNm+y2W""KCM4\QV(`o&7:Ph#3r"
4,"]L;?^<%Z,",Xp@DHiT>.,"]L;?^<%Z,Xp@DHiT>."
5,d 8~SR_{,kE9Yj!'cbAa=,d 8~SR_{kE9Yj!'cbAa=
6,qG0gz[),JIx-tOs$,qG0gz[)JIx-tOs$
7,"W""KCM4\QV(",`o&7:Ph#3r,"W""KCM4\QV(`o&7:Ph#3r"
8,vn6w5lfu/B*F,|e}1UNm+y2,vn6w5lfu/B*F|e}1UNm+y2
9,Xp@DH,iT>.,Xp@DHiT>.
10,]L;?^,"<%Z,","]L;?^<%Z,"
11,kE9Yj!,'cbAa=,kE9Yj!'cbAa=
12,JIx-,tOs$,JIx-tOs$
13,d 8~,SR_{,d 8~SR_{
14,qG0gz,[),qG0gz[)
15,|e}1U,Nm+y2,|e}1UNm+y2
16,"W""K",CM4\QV(,"W""KCM4\QV("
17,`o&7,:Ph#3r,`o&7:Ph#3r
18,vn,6w5lfu/B*F,vn6w5lfu/B*F
19,iT,>.,iT>.
20,Xp@,DH,Xp@DH
21,]L,;?^,]L;?^
22,'c,bAa=,'cbAa=
23,<%,"Z,","<%Z,"
24,kE9,Yj!,kE9Yj!
25,d ,8~,d 8~
26,SR,_{,SR_{
27,tO,s$,tOs$
28,JI,x-,JIx-
29,[,),[)
30,:Ph#,3r,:Ph#3r
31,Nm+y,2,Nm+y2
32,"W""",K,"W""K"
33,qG0,gz,qG0gz
34,|e},1U,|e}1U
35,`o,&7,`o&7
36,6w5,lfu/B*F,6w5lfu/B*F
37,CM4\,QV(,CM4\QV(
38,>,.,>.
39,i,T,iT
40,D,H,DH
41,v,n,vn
42,Yj,!,Yj!
43,Z,",","Z,"
44,',c,'c
45,bA,a=,bAa=
46,],L,]L
47,;,?^,;?^
48,Xp,@,Xp@
49,<,%,<%
50,k,E9,kE9
51,S,R,SR
52,s,$,s$
53,d, ,d 
54,8,~,8~
55,t,O,tO
56,J,I,JI
57,x,-,x-
58,_,{,_{
59,QV,(,QV(
60,Nm+,y,Nm+y
61,6,w5,6w5
62,W,"""","W"""
63,`,o,`o
64,g,z,gz
65,&,7,&7
66,|,e},|e}
67,q,G0,qG0
68,CM4,\,CM4\
69,3,r,3r
70,1,U,1U
71,lfu/,B*F,lfu/B*F
72,:,Ph#,:Ph#
73,X,p,Xp
74,?,^,?^
75,a,=,a=
76,Y,j,Yj
77,E,9,E9
78,b,A,bA
79,Ph,#,Ph#
80,G,0,G0
81,w,5,w5
82,Q,V,QV
83,lf,u/,lfu/
84,e,},e}
85,C,M4,CM4
86,Nm,+,Nm+
87,B*,F,B*F
88,B,*,B*
89,N,m,Nm
90,M,4,M4
91,P,h,Ph
92,u,/,u/
93,l,f,lf
