,left,right,combine
0,"Itg-L_,U0a%W#luCNvsfT38M^qmEH+POd'ZVnzQF","Ap}. y{S:<)c&J[ojr|`/k6294RG\~15*;Bb?X>x$he@!KwY7i(""D=]","Itg-L_,U0a%W#luCNvsfT38M^qmEH+POd'ZVnzQFAp}. y{S:<)c&J[ojr|`/k6294RG\~15*;Bb?X>x$he@!KwY7i(""D=]"
1,Ap}. y{S:<)c&J[ojr|`/k6294,"RG\~15*;Bb?X>x$he@!KwY7i(""D=]","Ap}. y{S:<)c&J[ojr|`/k6294RG\~15*;Bb?X>x$he@!KwY7i(""D=]"
2,"Itg-L_,U0a%W#luCNv",sfT38M^qmEH+POd'ZVnzQF,"Itg-L_,U0a%W#luCNvsfT38M^qmEH+POd'ZVnzQF"
3,RG\~15*;Bb?X>,"x$he@!KwY7i(""D=]","RG\~15*;Bb?X>x$he@!KwY7i(""D=]"
4,Ap}. y{S:<),c&J[ojr|`/k6294,Ap}. y{S:<)c&J[ojr|`/k6294
5,sfT38M^qmEH+P,Od'ZVnzQF,sfT38M^qmEH+POd'ZVnzQF
6,"Itg-L_,U",0a%W#luCNv,"Itg-L_,U0a%W#luCNv"
7,x$he@!K,"wY7i(""D=]","x$he@!KwY7i(""D=]"
8,RG\~,15*;Bb?X>,RG\~15*;Bb?X>
9,Ap}. ,y{S:<),Ap}. y{S:<)
10,c&J[ojr,|`/k6294,c&J[ojr|`/k6294
11,Od'ZV,nzQF,Od'ZVnzQF
12,sfT38M^,qmEH+P,sfT38M^qmEH+P
13,0a%W,#luCNv,0a%W#luCNv
14,Itg-,"L_,U","Itg-L_,U"
15,wY7i(,"""D=]","wY7i(""D=]"
16,x$he,@!K,x$he@!K
17,15*,;Bb?X>,15*;Bb?X>
18,RG,\~,RG\~
19,|`/k,6294,|`/k6294
20,c&J[,ojr,c&J[ojr
21,y{S,:<),y{S:<)
22,Ap}., ,Ap}. 
23,nz,QF,nzQF
24,Od,'ZV,Od'ZV
25,qmEH,+P,qmEH+P
26,0a,%W,0a%W
27,#lu,CNv,#luCNv
28,sfT38,M^,sfT38M^
29,L_,",U","L_,U"
30,It,g-,Itg-
31,"""D",=],"""D=]"
32,wY7,i(,wY7i(
33,@!,K,@!K
34,x$,he,x$he
35,;Bb?,X>,;Bb?X>
36,1,5*,15*
37,\,~,\~
38,R,G,RG
39,:<,),:<)
40,62,94,6294
41,c&,J[,c&J[
42,Ap,}.,Ap}.
43,y{,S,y{S
44,oj,r,ojr
45,|`,/k,|`/k
46,'Z,V,'ZV
47,O,d,Od
48,+,P,+P
49,n,z,nz
50,Q,F,QF
51,qmE,H,qmEH
52,",",U,",U"
53,0,a,0a
54,%,W,%W
55,M,^,M^
56,sfT3,8,sfT38
57,C,Nv,CNv
58,#l,u,#lu
59,L,_,L_
60,=,],=]
61,g,-,g-
62,i,(,i(
63,I,t,It
64,"""",D,"""D"
65,wY,7,wY7
66,h,e,he
67,5,*,5*
68,X,>,X>
69,@,!,@!
70,x,$,x$
71,;B,b?,;Bb?
72,},.,}.
73,6,2,62
74,o,j,oj
75,y,{,y{
76,9,4,94
77,J,[,J[
78,|,`,|`
79,/,k,/k
80,A,p,Ap
81,c,&,c&
82,:,<,:<
83,',Z,'Z
84,N,v,Nv
85,#,l,#l
86,s,fT3,sfT3
87,qm,E,qmE
88,b,?,b?
89,w,Y,wY
90,;,B,;B
91,q,m,qm
92,fT,3,fT3
93,f,T,fT
