,left,right,combine
0,g8PIGDU&:9s{@*BEa5qWjL%;~.1yp[Z\c#honw)d,"m6T! YteXx<f2""/+>4_M=|?RONlAV^7SKQ]-iCFbr0(u}vH,kz`J$3'","g8PIGDU&:9s{@*BEa5qWjL%;~.1yp[Z\c#honw)dm6T! YteXx<f2""/+>4_M=|?RONlAV^7SKQ]-iCFbr0(u}vH,kz`J$3'"
1,"m6T! YteXx<f2""/+>4_M=|","?RONlAV^7SKQ]-iCFbr0(u}vH,kz`J$3'","m6T! YteXx<f2""/+>4_M=|?RONlAV^7SKQ]-iCFbr0(u}vH,kz`J$3'"
2,g8PIGDU&:9s{@*BEa5q,WjL%;~.1yp[Z\c#honw)d,g8PIGDU&:9s{@*BEa5qWjL%;~.1yp[Z\c#honw)d
3,?RONlAV^7SKQ]-iC,"Fbr0(u}vH,kz`J$3'","?RONlAV^7SKQ]-iCFbr0(u}vH,kz`J$3'"
4,m6T! YteX,"x<f2""/+>4_M=|","m6T! YteXx<f2""/+>4_M=|"
5,WjL%;~.1y,p[Z\c#honw)d,WjL%;~.1yp[Z\c#honw)d
6,g8PIGDU&:,9s{@*BEa5q,g8PIGDU&:9s{@*BEa5q
7,Fbr0(u}v,"H,kz`J$3'","Fbr0(u}vH,kz`J$3'"
8,?RONlA,V^7SKQ]-iC,?RONlAV^7SKQ]-iC
9,"x<f2""/+",>4_M=|,"x<f2""/+>4_M=|"
10,m6T! ,YteX,m6T! YteX
11,p[Z\c#,honw)d,p[Z\c#honw)d
12,WjL%,;~.1y,WjL%;~.1y
13,9s{@*,BEa5q,9s{@*BEa5q
14,g8P,IGDU&:,g8PIGDU&:
15,"H,kz`",J$3',"H,kz`J$3'"
16,Fbr0,(u}v,Fbr0(u}v
17,V^7SKQ,]-iC,V^7SKQ]-iC
18,?RO,NlA,?RONlA
19,>4_,M=|,>4_M=|
20,x<f,"2""/+","x<f2""/+"
21,Yt,eX,YteX
22,m6T,! ,m6T! 
23,p[Z,\c#,p[Z\c#
24,hon,w)d,honw)d
25,;~,.1y,;~.1y
26,Wj,L%,WjL%
27,BEa,5q,BEa5q
28,IGD,U&:,IGDU&:
29,9s,{@*,9s{@*
30,g,8P,g8P
31,"H,k",z`,"H,kz`"
32,J$,3',J$3'
33,(u,}v,(u}v
34,Fb,r0,Fbr0
35,V^,7SKQ,V^7SKQ
36,Nl,A,NlA
37,]-,iC,]-iC
38,?,RO,?RO
39,M=,|,M=|
40,"2""",/+,"2""/+"
41,x,<f,x<f
42,>4,_,>4_
43,e,X,eX
44,Y,t,Yt
45,!, ,! 
46,m6,T,m6T
47,\c,#,\c#
48,w,)d,w)d
49,h,on,hon
50,.1,y,.1y
51,p,[Z,p[Z
52,;,~,;~
53,L,%,L%
54,W,j,Wj
55,5,q,5q
56,B,Ea,BEa
57,I,GD,IGD
58,9,s,9s
59,{@,*,{@*
60,U,&:,U&:
61,8,P,8P
62,J,$,J$
63,3,',3'
64,(,u,(u
65,},v,}v
66,r,0,r0
67,H,",k","H,k"
68,z,`,z`
69,F,b,Fb
70,],-,]-
71,7,SKQ,7SKQ
72,i,C,iC
73,V,^,V^
74,N,l,Nl
75,R,O,RO
76,<,f,<f
77,>,4,>4
78,M,=,M=
79,2,"""","2"""
80,/,+,/+
81,o,n,on
82,[,Z,[Z
83,.,1,.1
84,\,c,\c
85,),d,)d
86,m,6,m6
87,E,a,Ea
88,G,D,GD
89,&,:,&:
90,{,@,{@
91,",",k,",k"
92,SK,Q,SKQ
93,S,K,SK
