,left,right,combine
0,"@Z5R[xwmTv#.IFH)^9!fu""y-KDa(U|%>XMEj?C,",{1n:<oSL'~}P]V*kz/YsGqg_Qt4cp27A=hi8;O6Wb0\erJN Bl+`3$&d,"@Z5R[xwmTv#.IFH)^9!fu""y-KDa(U|%>XMEj?C,{1n:<oSL'~}P]V*kz/YsGqg_Qt4cp27A=hi8;O6Wb0\erJN Bl+`3$&d"
1,{1n:<oSL'~}P]V*kz/YsGqg_Qt4c,p27A=hi8;O6Wb0\erJN Bl+`3$&d,{1n:<oSL'~}P]V*kz/YsGqg_Qt4cp27A=hi8;O6Wb0\erJN Bl+`3$&d
2,"@Z5R[xwmTv#.IFH)^9!fu""","y-KDa(U|%>XMEj?C,","@Z5R[xwmTv#.IFH)^9!fu""y-KDa(U|%>XMEj?C,"
3,p27A=hi8;O6Wb,0\erJN Bl+`3$&d,p27A=hi8;O6Wb0\erJN Bl+`3$&d
4,{1n:<oSL'~}P],V*kz/YsGqg_Qt4c,{1n:<oSL'~}P]V*kz/YsGqg_Qt4c
5,y-KDa(U,"|%>XMEj?C,","y-KDa(U|%>XMEj?C,"
6,@Z5R[xwmTv#.,"IFH)^9!fu""","@Z5R[xwmTv#.IFH)^9!fu"""
7,0\erJN ,Bl+`3$&d,0\erJN Bl+`3$&d
8,p27A=h,i8;O6Wb,p27A=hi8;O6Wb
9,V*kz/YsGq,g_Qt4c,V*kz/YsGqg_Qt4c
10,{1n:<oS,L'~}P],{1n:<oSL'~}P]
11,|%>XM,"Ej?C,","|%>XMEj?C,"
12,y-KDa,(U,y-KDa(U
13,@Z5R[xw,mTv#.,@Z5R[xwmTv#.
14,IFH)^9,"!fu""","IFH)^9!fu"""
15,Bl+,`3$&d,Bl+`3$&d
16,i8;O,6Wb,i8;O6Wb
17,0\er,JN ,0\erJN 
18,p2,7A=h,p27A=h
19,g_,Qt4c,g_Qt4c
20,L'~},P],L'~}P]
21,{1n,:<oS,{1n:<oS
22,V*kz,/YsGq,V*kz/YsGq
23,Ej,"?C,","Ej?C,"
24,|%,>XM,|%>XM
25,(,U,(U
26,y-,KDa,y-KDa
27,mTv,#.,mTv#.
28,@Z5,R[xw,@Z5R[xw
29,!f,"u""","!fu"""
30,`3$,&d,`3$&d
31,IFH),^9,IFH)^9
32,B,l+,Bl+
33,JN, ,JN 
34,0\,er,0\er
35,6,Wb,6Wb
36,i8,;O,i8;O
37,7A,=h,7A=h
38,p,2,p2
39,Qt4,c,Qt4c
40,/YsG,q,/YsGq
41,V*,kz,V*kz
42,g,_,g_
43,{,1n,{1n
44,L'~,},L'~}
45,P,],P]
46,:<o,S,:<oS
47,?,"C,","?C,"
48,E,j,Ej
49,|,%,|%
50,>X,M,>XM
51,!,f,!f
52,&,d,&d
53,R[,xw,R[xw
54,`,3$,`3$
55,m,Tv,mTv
56,IF,H),IFH)
57,y,-,y-
58,K,Da,KDa
59,u,"""","u"""
60,#,.,#.
61,^,9,^9
62,@,Z5,@Z5
63,=,h,=h
64,e,r,er
65,l,+,l+
66,0,\,0\
67,W,b,Wb
68,7,A,7A
69,i,8,i8
70,J,N,JN
71,;,O,;O
72,1,n,1n
73,L',~,L'~
74,:<,o,:<o
75,/Ys,G,/YsG
76,k,z,kz
77,C,",","C,"
78,Q,t4,Qt4
79,V,*,V*
80,>,X,>X
81,I,F,IF
82,T,v,Tv
83,D,a,Da
84,3,$,3$
85,R,[,R[
86,x,w,xw
87,Z,5,Z5
88,H,),H)
89,L,',L'
90,t,4,t4
91,:,<,:<
92,/Y,s,/Ys
93,/,Y,/Y
