,left,right,combine
0,"D/n{?cgF#P+z7ZVou|,L5O*a;yhvYw""C%~0-9",t!`)}34=(H2sWp1$ :]mJUSd@QE&6bI'KAx.iNjG8\lXf_rRqB<>Te^[Mk,"D/n{?cgF#P+z7ZVou|,L5O*a;yhvYw""C%~0-9t!`)}34=(H2sWp1$ :]mJUSd@QE&6bI'KAx.iNjG8\lXf_rRqB<>Te^[Mk"
1,t!`)}34=(H2sWp1$ :]mJUSd@Q,E&6bI'KAx.iNjG8\lXf_rRqB<>Te^[Mk,t!`)}34=(H2sWp1$ :]mJUSd@QE&6bI'KAx.iNjG8\lXf_rRqB<>Te^[Mk
2,"D/n{?cgF#P+z7ZVou|,","L5O*a;yhvYw""C%~0-9","D/n{?cgF#P+z7ZVou|,L5O*a;yhvYw""C%~0-9"
3,E&6bI'KAx.iNjG8\,lXf_rRqB<>Te^[Mk,E&6bI'KAx.iNjG8\lXf_rRqB<>Te^[Mk
4,t!`)}34=(H2sWp,1$ :]mJUSd@Q,t!`)}34=(H2sWp1$ :]mJUSd@Q
5,L5O*a;yhv,"Yw""C%~0-9","L5O*a;yhvYw""C%~0-9"
6,D/n{?cgF#,"P+z7ZVou|,","D/n{?cgF#P+z7ZVou|,"
7,lXf_rRqB,<>Te^[Mk,lXf_rRqB<>Te^[Mk
8,E&6bI'K,Ax.iNjG8\,E&6bI'KAx.iNjG8\
9,1$ :]m,JUSd@Q,1$ :]mJUSd@Q
10,t!`)}3,4=(H2sWp,t!`)}34=(H2sWp
11,"Yw""C",%~0-9,"Yw""C%~0-9"
12,L5O*,a;yhv,L5O*a;yhv
13,P+z7Z,"Vou|,","P+z7ZVou|,"
14,D/n{,?cgF#,D/n{?cgF#
15,<>T,e^[Mk,<>Te^[Mk
16,lXf_,rRqB,lXf_rRqB
17,Ax.i,NjG8\,Ax.iNjG8\
18,E&6b,I'K,E&6bI'K
19,JUS,d@Q,JUSd@Q
20,t!`,)}3,t!`)}3
21,4=(H2,sWp,4=(H2sWp
22,1$ ,:]m,1$ :]m
23,%~,0-9,%~0-9
24,Yw,"""C","Yw""C"
25,a;y,hv,a;yhv
26,P+z7,Z,P+z7Z
27,?c,gF#,?cgF#
28,L5,O*,L5O*
29,Vou,"|,","Vou|,"
30,D/,n{,D/n{
31,e^,[Mk,e^[Mk
32,<,>T,<>T
33,r,RqB,rRqB
34,Ax,.i,Ax.i
35,E&,6b,E&6b
36,NjG,8\,NjG8\
37,lX,f_,lXf_
38,I',K,I'K
39,d,@Q,d@Q
40,JU,S,JUS
41,:],m,:]m
42,sW,p,sWp
43,t,!`,t!`
44,1$, ,1$ 
45,)},3,)}3
46,0-,9,0-9
47,4=(H,2,4=(H2
48,"""",C,"""C"
49,h,v,hv
50,%,~,%~
51,Y,w,Yw
52,a;,y,a;y
53,L,5,L5
54,V,ou,Vou
55,n,{,n{
56,O,*,O*
57,?,c,?c
58,P+,z7,P+z7
59,g,F#,gF#
60,|,",","|,"
61,e,^,e^
62,>,T,>T
63,D,/,D/
64,[M,k,[Mk
65,Rq,B,RqB
66,@,Q,@Q
67,f,_,f_
68,8,\,8\
69,.,i,.i
70,Nj,G,NjG
71,A,x,Ax
72,l,X,lX
73,E,&,E&
74,I,',I'
75,6,b,6b
76,!,`,!`
77,),},)}
78,s,W,sW
79,1,$,1$
80,J,U,JU
81,:,],:]
82,0,-,0-
83,4,=(H,4=(H
84,o,u,ou
85,a,;,a;
86,z,7,z7
87,P,+,P+
88,F,#,F#
89,[,M,[M
90,N,j,Nj
91,R,q,Rq
92,=,(H,=(H
93,(,H,(H
