,left,right,combine
0,"x>6*.9=3""1Qv~-WUl^;Jq|?5FwrNn&EotDz:","PgKR2!piI)sLBX]7/%}Yk4@a[O{jZ+C V`,<0h8m#fuT\S_$Ge(dHcybA'M","x>6*.9=3""1Qv~-WUl^;Jq|?5FwrNn&EotDz:PgKR2!piI)sLBX]7/%}Yk4@a[O{jZ+C V`,<0h8m#fuT\S_$Ge(dHcybA'M"
1,PgKR2!piI)sLBX]7/%}Yk,"4@a[O{jZ+C V`,<0h8m#fuT\S_$Ge(dHcybA'M","PgKR2!piI)sLBX]7/%}Yk4@a[O{jZ+C V`,<0h8m#fuT\S_$Ge(dHcybA'M"
2,"x>6*.9=3""1Qv~-",WUl^;Jq|?5FwrNn&EotDz:,"x>6*.9=3""1Qv~-WUl^;Jq|?5FwrNn&EotDz:"
3,"4@a[O{jZ+C V`,<0h8m#f",uT\S_$Ge(dHcybA'M,"4@a[O{jZ+C V`,<0h8m#fuT\S_$Ge(dHcybA'M"
4,PgKR2!piI)s,LBX]7/%}Yk,PgKR2!piI)sLBX]7/%}Yk
5,WUl^;Jq|?5,FwrNn&EotDz:,WUl^;Jq|?5FwrNn&EotDz:
6,x>6*.9,"=3""1Qv~-","x>6*.9=3""1Qv~-"
7,uT\S_$Ge,(dHcybA'M,uT\S_$Ge(dHcybA'M
8,4@a[O{jZ+C ,"V`,<0h8m#f","4@a[O{jZ+C V`,<0h8m#f"
9,LBX],7/%}Yk,LBX]7/%}Yk
10,PgKR2!,piI)s,PgKR2!piI)s
11,FwrNn&,EotDz:,FwrNn&EotDz:
12,WUl^;,Jq|?5,WUl^;Jq|?5
13,"=3""1",Qv~-,"=3""1Qv~-"
14,x>,6*.9,x>6*.9
15,(dHcyb,A'M,(dHcybA'M
16,4@a[O,{jZ+C ,4@a[O{jZ+C 
17,"V`,<",0h8m#f,"V`,<0h8m#f"
18,uT\S,_$Ge,uT\S_$Ge
19,7/,%}Yk,7/%}Yk
20,LB,X],LBX]
21,piI,)s,piI)s
22,Eot,Dz:,EotDz:
23,Fwr,Nn&,FwrNn&
24,Jq,|?5,Jq|?5
25,PgK,R2!,PgKR2!
26,Qv,~-,Qv~-
27,WUl,^;,WUl^;
28,=3,"""1","=3""1"
29,6*,.9,6*.9
30,x,>,x>
31,A',M,A'M
32,4@a[,O,4@a[O
33,{jZ+C, ,{jZ+C 
34,uT,\S,uT\S
35,(dHcy,b,(dHcyb
36,_$G,e,_$Ge
37,"V`,",<,"V`,<"
38,0h8,m#f,0h8m#f
39,%},Yk,%}Yk
40,7,/,7/
41,L,B,LB
42,),s,)s
43,X,],X]
44,Pg,K,PgK
45,|?,5,|?5
46,E,ot,Eot
47,J,q,Jq
48,p,iI,piI
49,F,wr,Fwr
50,R2,!,R2!
51,Dz,:,Dz:
52,Nn,&,Nn&
53,6,*,6*
54,.,9,.9
55,Q,v,Qv
56,=,3,=3
57,~,-,~-
58,"""",1,"""1"
59,W,Ul,WUl
60,^,;,^;
61,{jZ,+C,{jZ+C
62,Y,k,Yk
63,A,',A'
64,\,S,\S
65,V`,",","V`,"
66,0,h8,0h8
67,m,#f,m#f
68,u,T,uT
69,_$,G,_$G
70,4@a,[,4@a[
71,(d,Hcy,(dHcy
72,%,},%}
73,P,g,Pg
74,D,z,Dz
75,|,?,|?
76,o,t,ot
77,R,2,R2
78,i,I,iI
79,N,n,Nn
80,w,r,wr
81,U,l,Ul
82,_,$,_$
83,#,f,#f
84,(,d,(d
85,{,jZ,{jZ
86,Hc,y,Hcy
87,V,`,V`
88,h,8,h8
89,+,C,+C
90,4@,a,4@a
91,4,@,4@
92,j,Z,jZ
93,H,c,Hc
