,left,right,combine
0,ty/U<&g)%HvWPZRaxk2@[8+uKJh(15n6#lYjoB,"fcC-pq?Q7{EIAD09N!sFX*,O`i_"" >z|=~wrSeTL4m;V}b'3]\G:M$^d.","ty/U<&g)%HvWPZRaxk2@[8+uKJh(15n6#lYjoBfcC-pq?Q7{EIAD09N!sFX*,O`i_"" >z|=~wrSeTL4m;V}b'3]\G:M$^d."
1,fcC-pq?Q7{EIAD09N!sFX,"*,O`i_"" >z|=~wrSeTL4m;V}b'3]\G:M$^d.","fcC-pq?Q7{EIAD09N!sFX*,O`i_"" >z|=~wrSeTL4m;V}b'3]\G:M$^d."
2,ty/U<&g)%HvWPZR,axk2@[8+uKJh(15n6#lYjoB,ty/U<&g)%HvWPZRaxk2@[8+uKJh(15n6#lYjoB
3,"*,O`i_"" >z|=~wrSeTL",4m;V}b'3]\G:M$^d.,"*,O`i_"" >z|=~wrSeTL4m;V}b'3]\G:M$^d."
4,fcC-pq?Q,7{EIAD09N!sFX,fcC-pq?Q7{EIAD09N!sFX
5,axk2@[8+u,KJh(15n6#lYjoB,axk2@[8+uKJh(15n6#lYjoB
6,ty/U<&g,)%HvWPZR,ty/U<&g)%HvWPZR
7,4m;V}b'3]\G,:M$^d.,4m;V}b'3]\G:M$^d.
8,"*,O`i_"" ",>z|=~wrSeTL,"*,O`i_"" >z|=~wrSeTL"
9,7{EIA,D09N!sFX,7{EIAD09N!sFX
10,fcC-,pq?Q,fcC-pq?Q
11,KJh(15n6,#lYjoB,KJh(15n6#lYjoB
12,axk2@,[8+u,axk2@[8+u
13,ty/U,<&g,ty/U<&g
14,)%H,vWPZR,)%HvWPZR
15,:M,$^d.,:M$^d.
16,"*,O`i","_"" ","*,O`i_"" "
17,>z|=~,wrSeTL,>z|=~wrSeTL
18,4m;V,}b'3]\G,4m;V}b'3]\G
19,D0,9N!sFX,D09N!sFX
20,pq,?Q,pq?Q
21,7{E,IA,7{EIA
22,fc,C-,fcC-
23,KJh(1,5n6,KJh(15n6
24,[8,+u,[8+u
25,#lYj,oB,#lYjoB
26,axk,2@,axk2@
27,ty,/U,ty/U
28,<,&g,<&g
29,)%,H,)%H
30,vWP,ZR,vWPZR
31,$^d,.,$^d.
32,>z|,=~,>z|=~
33,9N!,sFX,9N!sFX
34,wrSeT,L,wrSeTL
35,4,m;V,4m;V
36,}b'3,]\G,}b'3]\G
37,_,""" ","_"" "
38,:,M,:M
39,"*,",O`i,"*,O`i"
40,C,-,C-
41,7,{E,7{E
42,D,0,D0
43,?,Q,?Q
44,p,q,pq
45,I,A,IA
46,f,c,fc
47,KJh(,1,KJh(1
48,5n,6,5n6
49,#l,Yj,#lYj
50,2,@,2@
51,+,u,+u
52,o,B,oB
53,[,8,[8
54,a,xk,axk
55,/,U,/U
56,),%,)%
57,&,g,&g
58,Z,R,ZR
59,t,y,ty
60,vW,P,vWP
61,9,N!,9N!
62,],\G,]\G
63,"""", ,""" "
64,},b'3,}b'3
65,wrS,eT,wrSeT
66,m,;V,m;V
67,s,FX,sFX
68,*,",","*,"
69,=,~,=~
70,O,`i,O`i
71,>z,|,>z|
72,$,^d,$^d
73,{,E,{E
74,Y,j,Yj
75,K,Jh(,KJh(
76,x,k,xk
77,#,l,#l
78,5,n,5n
79,v,W,vW
80,>,z,>z
81,;,V,;V
82,N,!,N!
83,`,i,`i
84,e,T,eT
85,w,rS,wrS
86,b',3,b'3
87,F,X,FX
88,\,G,\G
89,^,d,^d
90,J,h(,Jh(
91,h,(,h(
92,r,S,rS
93,b,',b'
