,left,right,combine
0,O!P_W}?/zL$3iq2pmlCHag>ZdBJ kDYG^#h\|,"Q0oI<9~7b.1Es[`V8()%x{""64=:jRMe-+]f'SKy,*nUAwuF5tTv;&rc@NX","O!P_W}?/zL$3iq2pmlCHag>ZdBJ kDYG^#h\|Q0oI<9~7b.1Es[`V8()%x{""64=:jRMe-+]f'SKy,*nUAwuF5tTv;&rc@NX"
1,"Q0oI<9~7b.1Es[`V8()%x{""64=:","jRMe-+]f'SKy,*nUAwuF5tTv;&rc@NX","Q0oI<9~7b.1Es[`V8()%x{""64=:jRMe-+]f'SKy,*nUAwuF5tTv;&rc@NX"
2,O!P_W}?/zL$3iq2pmlCHa,g>ZdBJ kDYG^#h\|,O!P_W}?/zL$3iq2pmlCHag>ZdBJ kDYG^#h\|
3,"jRMe-+]f'SKy,",*nUAwuF5tTv;&rc@NX,"jRMe-+]f'SKy,*nUAwuF5tTv;&rc@NX"
4,Q0oI<9~7b.1Es[`V8,"()%x{""64=:","Q0oI<9~7b.1Es[`V8()%x{""64=:"
5,g>ZdBJ k,DYG^#h\|,g>ZdBJ kDYG^#h\|
6,O!P_W}?/zL$3,iq2pmlCHa,O!P_W}?/zL$3iq2pmlCHa
7,*nUAwuF,5tTv;&rc@NX,*nUAwuF5tTv;&rc@NX
8,jRMe-,"+]f'SKy,","jRMe-+]f'SKy,"
9,"()%x{""",64=:,"()%x{""64=:"
10,Q0oI<9~7,b.1Es[`V8,Q0oI<9~7b.1Es[`V8
11,g>Zd,BJ k,g>ZdBJ k
12,DYG^,#h\|,DYG^#h\|
13,iq2pm,lCHa,iq2pmlCHa
14,O!P_W},?/zL$3,O!P_W}?/zL$3
15,5tTv;,&rc@NX,5tTv;&rc@NX
16,+]f'S,"Ky,","+]f'SKy,"
17,*nU,AwuF,*nUAwuF
18,jRM,e-,jRMe-
19,64,=:,64=:
20,b.1Es,[`V8,b.1Es[`V8
21,()%,"x{""","()%x{"""
22,Q0oI,<9~7,Q0oI<9~7
23,#h,\|,#h\|
24,g>,Zd,g>Zd
25,BJ, k,BJ k
26,DY,G^,DYG^
27,lC,Ha,lCHa
28,iq2,pm,iq2pm
29,&rc@,NX,&rc@NX
30,O!P,_W},O!P_W}
31,?/z,L$3,?/zL$3
32,5t,Tv;,5tTv;
33,Aw,uF,AwuF
34,*n,U,*nU
35,K,"y,","Ky,"
36,+]f,'S,+]f'S
37,e,-,e-
38,=,:,=:
39,j,RM,jRM
40,6,4,64
41,[`,V8,[`V8
42,(),%,()%
43,x,"{""","x{"""
44,<9,~7,<9~7
45,b.1,Es,b.1Es
46,Q,0oI,Q0oI
47,Z,d,Zd
48,G,^,G^
49,D,Y,DY
50,\,|,\|
51,#,h,#h
52, ,k, k
53,B,J,BJ
54,g,>,g>
55,H,a,Ha
56,l,C,lC
57,_,W},_W}
58,T,v;,Tv;
59,N,X,NX
60,L$,3,L$3
61,O!,P,O!P
62,iq,2,iq2
63,p,m,pm
64,&,rc@,&rc@
65,?,/z,?/z
66,*,n,*n
67,+,]f,+]f
68,y,",","y,"
69,5,t,5t
70,',S,'S
71,u,F,uF
72,A,w,Aw
73,R,M,RM
74,b,.1,b.1
75,E,s,Es
76,(,),()
77,<,9,<9
78,{,"""","{"""
79,0o,I,0oI
80,~,7,~7
81,V,8,V8
82,[,`,[`
83,i,q,iq
84,v,;,v;
85,O,!,O!
86,/,z,/z
87,rc,@,rc@
88,L,$,L$
89,W,},W}
90,],f,]f
91,.,1,.1
92,0,o,0o
93,r,c,rc
