,left,right,combine
0,0>^@1nupJL:(q/<_ZA3F5|Oj4o9khI*}iH'z[,"R2-?%.d7Qrs]avfb\mtPDUSNX6#x&y=G)V,~!eK$EBTWwgM""c+;Y{8Cl `","0>^@1nupJL:(q/<_ZA3F5|Oj4o9khI*}iH'z[R2-?%.d7Qrs]avfb\mtPDUSNX6#x&y=G)V,~!eK$EBTWwgM""c+;Y{8Cl `"
1,R2-?%.d7Qrs]avfb\mtPDUSNX6#x&y=G,")V,~!eK$EBTWwgM""c+;Y{8Cl `","R2-?%.d7Qrs]avfb\mtPDUSNX6#x&y=G)V,~!eK$EBTWwgM""c+;Y{8Cl `"
2,0>^@1nupJL:(q/<_ZA3,F5|Oj4o9khI*}iH'z[,0>^@1nupJL:(q/<_ZA3F5|Oj4o9khI*}iH'z[
3,")V,~!eK$EBTWw","gM""c+;Y{8Cl `",")V,~!eK$EBTWwgM""c+;Y{8Cl `"
4,R2-?%.d7Qrs]avfb\m,tPDUSNX6#x&y=G,R2-?%.d7Qrs]avfb\mtPDUSNX6#x&y=G
5,F5|Oj4o9kh,I*}iH'z[,F5|Oj4o9khI*}iH'z[
6,0>^@1nup,JL:(q/<_ZA3,0>^@1nupJL:(q/<_ZA3
7,"gM""c+;Y",{8Cl `,"gM""c+;Y{8Cl `"
8,")V,~!e",K$EBTWw,")V,~!eK$EBTWw"
9,tPDUSNX6,#x&y=G,tPDUSNX6#x&y=G
10,R2-?%.d7Q,rs]avfb\m,R2-?%.d7Qrs]avfb\m
11,I*}i,H'z[,I*}iH'z[
12,JL:(q/,<_ZA3,JL:(q/<_ZA3
13,F5|Oj4,o9kh,F5|Oj4o9kh
14,0>^,@1nup,0>^@1nup
15,{8Cl, `,{8Cl `
16,K$E,BTWw,K$EBTWw
17,"gM""",c+;Y,"gM""c+;Y"
18,")V,",~!e,")V,~!e"
19,#x&y,=G,#x&y=G
20,rs]av,fb\m,rs]avfb\m
21,tPD,USNX6,tPDUSNX6
22,R2-?%,.d7Q,R2-?%.d7Q
23,H',z[,H'z[
24,I*,}i,I*}i
25,o9,kh,o9kh
26,@1n,up,@1nup
27,<_,ZA3,<_ZA3
28,JL:(,q/,JL:(q/
29,F5|,Oj4,F5|Oj4
30,0,>^,0>^
31, ,`, `
32,gM,"""","gM"""
33,c+,;Y,c+;Y
34,BT,Ww,BTWw
35,K,$E,K$E
36,{8,Cl,{8Cl
37,~,!e,~!e
38,),"V,",")V,"
39,=,G,=G
40,.d7,Q,.d7Q
41,#,x&y,#x&y
42,tP,D,tPD
43,fb,\m,fb\m
44,USN,X6,USNX6
45,rs,]av,rs]av
46,z,[,z[
47,R,2-?%,R2-?%
48,},i,}i
49,H,',H'
50,I,*,I*
51,>,^,>^
52,q,/,q/
53,JL,:(,JL:(
54,@1,n,@1n
55,ZA,3,ZA3
56,<,_,<_
57,F,5|,F5|
58,k,h,kh
59,o,9,o9
60,O,j4,Oj4
61,u,p,up
62,$,E,$E
63,W,w,Ww
64,C,l,Cl
65,;,Y,;Y
66,g,M,gM
67,B,T,BT
68,c,+,c+
69,!,e,!e
70,{,8,{8
71,V,",","V,"
72,x,&y,x&y
73,.d,7,.d7
74,\,m,\m
75,X,6,X6
76,t,P,tP
77,r,s,rs
78,US,N,USN
79,]a,v,]av
80,f,b,fb
81,2,-?%,2-?%
82,J,L,JL
83,j,4,j4
84,:,(,:(
85,5,|,5|
86,Z,A,ZA
87,@,1,@1
88,],a,]a
89,&,y,&y
90,.,d,.d
91,U,S,US
92,-?,%,-?%
93,-,?,-?
