,left,right,combine
0,d_6YIhq)%]`PF0#[rfUclZu?\O>K*i9s:e3oDJBQ2;,"R""X~7<EL-!N'Wm=8b@1/$VwTk+Cn Atjx|v},5&pg4a.zH{MyG(^S","d_6YIhq)%]`PF0#[rfUclZu?\O>K*i9s:e3oDJBQ2;R""X~7<EL-!N'Wm=8b@1/$VwTk+Cn Atjx|v},5&pg4a.zH{MyG(^S"
1,"R""X~7<EL-!N'Wm=8b@1/$V","wTk+Cn Atjx|v},5&pg4a.zH{MyG(^S","R""X~7<EL-!N'Wm=8b@1/$VwTk+Cn Atjx|v},5&pg4a.zH{MyG(^S"
2,d_6YIhq)%]`PF0#[r,fUclZu?\O>K*i9s:e3oDJBQ2;,d_6YIhq)%]`PF0#[rfUclZu?\O>K*i9s:e3oDJBQ2;
3,wTk+Cn Atjx|v,"},5&pg4a.zH{MyG(^S","wTk+Cn Atjx|v},5&pg4a.zH{MyG(^S"
4,"R""X~7<EL-!",N'Wm=8b@1/$V,"R""X~7<EL-!N'Wm=8b@1/$V"
5,fUclZu?\O,>K*i9s:e3oDJBQ2;,fUclZu?\O>K*i9s:e3oDJBQ2;
6,d_6YIhq)%,]`PF0#[r,d_6YIhq)%]`PF0#[r
7,"},5&pg4a.z",H{MyG(^S,"},5&pg4a.zH{MyG(^S"
8,wTk+Cn, Atjx|v,wTk+Cn Atjx|v
9,N'Wm=,8b@1/$V,N'Wm=8b@1/$V
10,"R""X~",7<EL-!,"R""X~7<EL-!"
11,>K*i9s:e3o,DJBQ2;,>K*i9s:e3oDJBQ2;
12,fUcl,Zu?\O,fUclZu?\O
13,d_6Y,Ihq)%,d_6YIhq)%
14,]`PF,0#[r,]`PF0#[r
15,"},5&p",g4a.z,"},5&pg4a.z"
16,H{MyG,(^S,H{MyG(^S
17, At,jx|v, Atjx|v
18,wTk,+Cn,wTk+Cn
19,N'W,m=,N'Wm=
20,8b@1,/$V,8b@1/$V
21,7<E,L-!,7<EL-!
22,"R""",X~,"R""X~"
23,DJB,Q2;,DJBQ2;
24,>K*i,9s:e3o,>K*i9s:e3o
25,Zu?,\O,Zu?\O
26,]`,PF,]`PF
27,0#,[r,0#[r
28,fU,cl,fUcl
29,Ih,q)%,Ihq)%
30,d_,6Y,d_6Y
31,(^,S,(^S
32,"},5&",p,"},5&p"
33,g4,a.z,g4a.z
34,jx,|v,jx|v
35,H{,MyG,H{MyG
36, ,At, At
37,+C,n,+Cn
38,8b,@1,8b@1
39,N',W,N'W
40,w,Tk,wTk
41,m,=,m=
42,/,$V,/$V
43,L,-!,L-!
44,7,<E,7<E
45,X,~,X~
46,R,"""","R"""
47,D,JB,DJB
48,Zu,?,Zu?
49,9,s:e3o,9s:e3o
50,Q,2;,Q2;
51,>,K*i,>K*i
52,\,O,\O
53,q),%,q)%
54,0,#,0#
55,[,r,[r
56,d,_,d_
57,f,U,fU
58,],`,]`
59,6,Y,6Y
60,I,h,Ih
61,P,F,PF
62,c,l,cl
63,A,t,At
64,"},",5&,"},5&"
65,g,4,g4
66,a,.z,a.z
67,j,x,jx
68,|,v,|v
69,M,yG,MyG
70,H,{,H{
71,(,^,(^
72,+,C,+C
73,@,1,@1
74,8,b,8b
75,T,k,Tk
76,$,V,$V
77,-,!,-!
78,N,',N'
79,<,E,<E
80,Z,u,Zu
81,2,;,2;
82,s:e3,o,s:e3o
83,K*,i,K*i
84,J,B,JB
85,q,),q)
86,y,G,yG
87,.,z,.z
88,},",","},"
89,5,&,5&
90,K,*,K*
91,s:,e3,s:e3
92,s,:,s:
93,e,3,e3
