,left,right,combine
0,+H%.T/*<r#W:50g'eL94Y>=Ey_ bQs3uAOU]Gz,"""7MSdCfDnB[R?oaZqlP{;m@iV\)w&!K2^(-p`F}k|hXJIN~x6$tc8j,1v","+H%.T/*<r#W:50g'eL94Y>=Ey_ bQs3uAOU]Gz""7MSdCfDnB[R?oaZqlP{;m@iV\)w&!K2^(-p`F}k|hXJIN~x6$tc8j,1v"
1,"""7MSdCfDnB[R?oaZqlP{;m@","iV\)w&!K2^(-p`F}k|hXJIN~x6$tc8j,1v","""7MSdCfDnB[R?oaZqlP{;m@iV\)w&!K2^(-p`F}k|hXJIN~x6$tc8j,1v"
2,+H%.T/*<r#W:50g'eL9,4Y>=Ey_ bQs3uAOU]Gz,+H%.T/*<r#W:50g'eL94Y>=Ey_ bQs3uAOU]Gz
3,iV\)w&!K2^(-p`,"F}k|hXJIN~x6$tc8j,1v","iV\)w&!K2^(-p`F}k|hXJIN~x6$tc8j,1v"
4,"""7MSdCfDnB",[R?oaZqlP{;m@,"""7MSdCfDnB[R?oaZqlP{;m@"
5,4Y>=Ey_ ,bQs3uAOU]Gz,4Y>=Ey_ bQs3uAOU]Gz
6,+H%.T/*<r,#W:50g'eL9,+H%.T/*<r#W:50g'eL9
7,F}k|hXJ,"IN~x6$tc8j,1v","F}k|hXJIN~x6$tc8j,1v"
8,iV\)w&!,K2^(-p`,iV\)w&!K2^(-p`
9,[R?oa,ZqlP{;m@,[R?oaZqlP{;m@
10,"""7MSdC",fDnB,"""7MSdCfDnB"
11,bQs3,uAOU]Gz,bQs3uAOU]Gz
12,4Y>=,Ey_ ,4Y>=Ey_ 
13,#W:50,g'eL9,#W:50g'eL9
14,IN~x6$tc,"8j,1v","IN~x6$tc8j,1v"
15,+H%.,T/*<r,+H%.T/*<r
16,F}k,|hXJ,F}k|hXJ
17,ZqlP,{;m@,ZqlP{;m@
18,K2^(,-p`,K2^(-p`
19,iV\),w&!,iV\)w&!
20,[R,?oa,[R?oa
21,fD,nB,fDnB
22,"""7",MSdC,"""7MSdC"
23,uA,OU]Gz,uAOU]Gz
24,g',eL9,g'eL9
25,Ey,_ ,Ey_ 
26,4Y,>=,4Y>=
27,bQ,s3,bQs3
28,#W,:50,#W:50
29,T/*,<r,T/*<r
30,+H,%.,+H%.
31,IN~x6,$tc,IN~x6$tc
32,"8j,",1v,"8j,1v"
33,|,hXJ,|hXJ
34,F},k,F}k
35,{;,m@,{;m@
36,Zq,lP,ZqlP
37,iV,\),iV\)
38,K2,^(,K2^(
39,w,&!,w&!
40,-p,`,-p`
41,?,oa,?oa
42,f,D,fD
43,[,R,[R
44,n,B,nB
45,MSd,C,MSdC
46,"""",7,"""7"
47,u,A,uA
48,OU]G,z,OU]Gz
49,4,Y,4Y
50,g,',g'
51,s,3,s3
52,eL,9,eL9
53,b,Q,bQ
54,E,y,Ey
55,>,=,>=
56,_, ,_ 
57,:5,0,:50
58,#,W,#W
59,IN~x,6,IN~x6
60,8,"j,","8j,"
61,+,H,+H
62,<,r,<r
63,1,v,1v
64,T,/*,T/*
65,$,tc,$tc
66,%,.,%.
67,h,XJ,hXJ
68,l,P,lP
69,-,p,-p
70,{,;,{;
71,m,@,m@
72,i,V,iV
73,K,2,K2
74,&,!,&!
75,o,a,oa
76,^,(,^(
77,\,),\)
78,F,},F}
79,Z,q,Zq
80,M,Sd,MSd
81,OU,]G,OU]G
82,e,L,eL
83,/,*,/*
84,j,",","j,"
85,X,J,XJ
86,t,c,tc
87,I,N~x,IN~x
88,:,5,:5
89,],G,]G
90,S,d,Sd
91,O,U,OU
92,N,~x,N~x
93,~,x,~x
